Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,11.319725E+6,18.114603E+6,3.744090E+6,14.105037E+6,200.000000E+0
25.000000E+0,3.251415E+6,3.458639E+6,-12.567225E+6,1.131192E+6,200.000000E+0
30.000000E+0,-904.375000E+3,12.438347E+6,6.118295E+6,23.485515E+6,200.000000E+0
40.000000E+0,-2.547115E+6,895.786278E+3,-260.936250E+3,919.442553E+3,200.000000E+0
50.000000E+0,721.960500E+3,310.215356E+3,-1.490478E+6,151.646114E+3,200.000000E+0
60.000000E+0,2.385738E+6,3.332069E+6,-3.393588E+6,2.047297E+6,200.000000E+0
75.000000E+0,-1.538872E+6,3.191881E+6,-2.152522E+6,1.141129E+6,200.000000E+0
100.000000E+0,53.245000E+3,3.495160E+6,-3.291452E+6,3.801207E+6,200.000000E+0
120.000000E+0,337.783300E+3,312.997366E+3,-2.243425E+6,210.035609E+3,200.000000E+0
150.000000E+0,-508.450250E+3,387.442462E+3,-2.159072E+6,162.048819E+3,200.000000E+0
200.000000E+0,178.402100E+3,97.303005E+3,-1.750022E+6,38.940270E+3,200.000000E+0
250.000000E+0,-186.258250E+3,13.933801E+3,-1.392818E+6,20.356635E+3,200.000000E+0
300.000000E+0,-31.753310E+3,19.805717E+3,-1.210018E+6,19.856036E+3,200.000000E+0
400.000000E+0,-21.771000E+3,71.079184E+3,-882.999000E+3,19.923902E+3,200.000000E+0
500.000000E+0,-10.020190E+3,27.431306E+3,-701.218250E+3,15.931335E+3,200.000000E+0
600.000000E+0,-19.810307E+3,14.867927E+3,-592.969500E+3,12.371174E+3,200.000000E+0
750.000000E+0,1.112020E+3,5.694186E+3,-467.295750E+3,6.742033E+3,200.000000E+0
1.000000E+3,734.924750E+0,4.160608E+3,-350.987750E+3,564.391431E+0,200.000000E+0
1.200000E+3,1.086301E+3,2.576985E+3,-294.518750E+3,688.998322E+0,200.000000E+0
1.500000E+3,533.653150E+0,796.669582E+0,-234.190250E+3,1.362540E+3,200.000000E+0
2.000000E+3,1.332017E+3,749.959789E+0,-175.724000E+3,883.507782E+0,200.000000E+0
2.500000E+3,249.035750E+0,855.430037E+0,-141.044500E+3,217.529883E+0,200.000000E+0
3.000000E+3,545.045750E+0,297.190672E+0,-116.945250E+3,294.907083E+0,200.000000E+0
4.000000E+3,596.645500E+0,58.495529E+0,-88.040800E+3,131.335011E+0,200.000000E+0
5.000000E+3,475.178500E+0,103.951032E+0,-70.508175E+3,107.355377E+0,200.000000E+0
6.000000E+3,237.181500E+0,54.438552E+0,-58.770625E+3,109.046833E+0,200.000000E+0
7.500000E+3,296.810500E+0,37.895128E+0,-47.050000E+3,11.354955E+0,200.000000E+0
10.000000E+3,204.892000E+0,28.992328E+0,-35.335425E+3,18.498294E+0,200.000000E+0
12.000000E+3,176.727000E+0,41.333433E+0,-29.454700E+3,38.197317E+0,200.000000E+0
15.000000E+3,147.250250E+0,24.317355E+0,-23.605500E+3,25.347880E+0,200.000000E+0
20.000000E+3,114.640750E+0,8.532729E+0,-17.711800E+3,8.781515E+0,200.000000E+0
25.000000E+3,87.160775E+0,5.282976E+0,-14.179025E+3,5.959184E+0,200.000000E+0
30.000000E+3,75.876975E+0,7.262058E+0,-11.832375E+3,9.631556E+0,200.000000E+0
40.000000E+3,55.000975E+0,3.856800E+0,-8.885618E+3,3.764953E+0,200.000000E+0
50.000000E+3,45.567125E+0,2.285193E+0,-7.113390E+3,3.072434E+0,200.000000E+0
60.000000E+3,40.739700E+0,2.926045E+0,-5.933420E+3,1.749200E+0,200.000000E+0
75.000000E+3,30.563100E+0,1.509799E+0,-4.751675E+3,520.888653E-3,200.000000E+0
100.000000E+3,22.345475E+0,923.642483E-3,-3.568955E+3,1.367434E+0,200.000000E+0
120.000000E+3,17.824250E+0,1.123016E+0,-2.975340E+3,260.192234E-3,200.000000E+0
150.000000E+3,11.819133E+0,1.264650E+0,-2.382630E+3,1.622452E+0,200.000000E+0
200.000000E+3,7.975767E+0,1.109147E+0,-1.788382E+3,489.304354E-3,200.000000E+0
