Tiempo (min)	T (K) 	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rrem 1 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Vinst 2 (V)	Iinst 2 (mA)	Rinst 2(Ohm)	Rrem 2 (Ohm)	Ibias 2 (mA)	Vbias 2 (V)	Ancho pulso (s)	Periodo (s)	Icc 1 (mA)	Vcc 1 (V)	Icc 2 (mA)	Vcc 2 (V)	2W 1?	N
1.265072E-2	2.206000E+2	2.000000E+3	2.000400E+0	4.449550E-2	4.495736E+4	4.504008E+4	4.435050E-2	1.997550E+0	9.910000E+37	4.449550E-2	2.227192E+42	2.234473E+42	4.435050E-2	9.910000E+37	8.000000E-2	1.000000E+0	5.000000E-2	3.000000E+0	5.000000E-2	3.000000E+0	1.000000E+0	1.000000E+0
3.851888E-2	2.206000E+2	1.990000E+3	2.006200E+0	4.312640E-2	4.651907E+4	4.657939E+4	4.333290E-2	2.018420E+0	9.910000E+37	4.312640E-2	2.297896E+42	2.286946E+42	4.333290E-2	9.910000E+37	8.000000E-2	1.000000E+0	5.000000E-2	3.000000E+0	5.000000E-2	3.000000E+0	1.000000E+0	2.000000E+0
6.475371E-2	2.206000E+2	1.980000E+3	1.978880E+0	4.380420E-2	4.517558E+4	4.479403E+4	4.462760E-2	1.999050E+0	9.910000E+37	4.380420E-2	2.262340E+42	2.220599E+42	4.462760E-2	9.910000E+37	8.000000E-2	1.000000E+0	5.000000E-2	3.000000E+0	5.000000E-2	3.000000E+0	1.000000E+0	3.000000E+0
9.070519E-2	2.206000E+2	1.970000E+3	1.950140E+0	4.427060E-2	4.405045E+4	4.489992E+4	4.447380E-2	1.996870E+0	9.910000E+37	4.427060E-2	2.238506E+42	2.228278E+42	4.447380E-2	9.910000E+37	8.000000E-2	1.000000E+0	5.000000E-2	3.000000E+0	5.000000E-2	3.000000E+0	1.000000E+0	4.000000E+0
1.167067E-1	2.206000E+2	1.960000E+3	1.965580E+0	4.333740E-2	4.535528E+4	4.453368E+4	4.471290E-2	1.991230E+0	9.910000E+37	4.333740E-2	2.286708E+42	2.216363E+42	4.471290E-2	9.910000E+37	8.000000E-2	1.000000E+0	5.000000E-2	3.000000E+0	5.000000E-2	3.000000E+0	1.000000E+0	5.000000E+0
1.425582E-1	2.206000E+2	1.950000E+3	1.945760E+0	4.341660E-2	4.481604E+4	4.488532E+4	4.454240E-2	1.999300E+0	9.910000E+37	4.341660E-2	2.282537E+42	2.224846E+42	4.454240E-2	9.910000E+37	8.000000E-2	1.000000E+0	5.000000E-2	3.000000E+0	5.000000E-2	3.000000E+0	1.000000E+0	6.000000E+0
1.685096E-1	2.206000E+2	1.940000E+3	1.938230E+0	4.306450E-2	4.500760E+4	4.474353E+4	4.474390E-2	2.002000E+0	9.910000E+37	4.306450E-2	2.301199E+42	2.214827E+42	4.474390E-2	9.910000E+37	8.000000E-2	1.000000E+0	5.000000E-2	3.000000E+0	5.000000E-2	3.000000E+0	1.000000E+0	7.000000E+0
1.944945E-1	2.206000E+2	1.930000E+3	1.918770E+0	4.310140E-2	4.451758E+4	4.320431E+4	4.579890E-2	1.978710E+0	9.910000E+37	4.310140E-2	2.299229E+42	2.163807E+42	4.579890E-2	9.910000E+37	8.000000E-2	1.000000E+0	5.000000E-2	3.000000E+0	5.000000E-2	3.000000E+0	1.000000E+0	8.000000E+0
2.203626E-1	2.206000E+2	1.920000E+3	1.917790E+0	4.238480E-2	4.524712E+4	4.512553E+4	4.443250E-2	2.005040E+0	9.910000E+37	4.238480E-2	2.338102E+42	2.230349E+42	4.443250E-2	9.910000E+37	8.000000E-2	1.000000E+0	5.000000E-2	3.000000E+0	5.000000E-2	3.000000E+0	1.000000E+0	9.000000E+0
2.461641E-1	2.206000E+2	1.910000E+3	1.891740E+0	4.151590E-2	4.556664E+4	4.460774E+4	4.450640E-2	1.985330E+0	9.910000E+37	4.151590E-2	2.387037E+42	2.226646E+42	4.450640E-2	9.910000E+37	8.000000E-2	1.000000E+0	5.000000E-2	3.000000E+0	5.000000E-2	3.000000E+0	1.000000E+0	1.000000E+1
