Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	Rrem2 (Ohm)				
13.014744E+0	293.500000E+0	293.500000E+0	NaN	36.000000E+0	22.081421E+3	2.197388E+42				
16.821962E+0	293.500000E+0	293.390000E+0	NaN	26.000000E+0	24.286535E+3	2.444192E+42				
20.592178E+0	293.626907E+0	293.390000E+0	NaN	19.000000E+0	24.191642E+3	2.440093E+42				
24.371394E+0	295.000000E+0	293.390000E+0	NaN	17.000000E+0	25.279187E+3	2.467003E+42				
28.172611E+0	295.000000E+0	293.500000E+0	NaN	22.000000E+0	24.817586E+3	2.429731E+42				
31.946827E+0	295.000000E+0	293.620000E+0	NaN	41.000000E+0	24.149847E+3	2.403199E+42				
35.733044E+0	295.000000E+0	293.500000E+0	NaN	46.000000E+0	25.266353E+3	2.455401E+42				
39.521261E+0	295.000000E+0	293.390000E+0	897.446870E-3	46.000000E+0	24.307287E+3	2.439295E+42				
43.313478E+0	295.000000E+0	293.170000E+0	897.446870E-3	37.000000E+0	24.022897E+3	2.400667E+42				
47.100694E+0	295.000000E+0	293.170000E+0	-80.162034E-6	43.000000E+0	25.371367E+3	2.459649E+42				
50.880910E+0	295.000000E+0	293.280000E+0	-1.477969E+0	48.000000E+0	24.176835E+3	2.406006E+42				
54.662127E+0	295.000000E+0	293.390000E+0	-2.058487E+0	63.000000E+0	24.618325E+3	2.412630E+42				
58.444343E+0	295.000000E+0	293.390000E+0	-1.160461E+0	55.000000E+0	24.283131E+3	2.405135E+42				
62.245560E+0	295.000000E+0	293.280000E+0	292.101467E-3	47.000000E+0	24.574842E+3	2.415200E+42				
66.030777E+0	295.000000E+0	293.170000E+0	1.163493E+0	76.000000E+0	24.252630E+3	2.406444E+42				
69.813993E+0	295.000000E+0	292.940000E+0	582.667496E-3	66.000000E+0	24.747437E+3	2.420019E+42				
73.602210E+0	295.000000E+0	292.830000E+0	-579.215482E-3	61.000000E+0	24.520358E+3	2.430089E+42				
77.389427E+0	295.000000E+0	292.830000E+0	-1.768557E+0	63.000000E+0	25.193085E+3	2.470595E+42				
81.205645E+0	295.000000E+0	292.830000E+0	-2.376564E+0	83.000000E+0	24.760434E+3	2.428743E+42				
84.982861E+0	295.000000E+0	292.830000E+0	-2.086994E+0	64.000000E+0	23.967778E+3	2.408175E+42				
88.767077E+0	295.000000E+0	292.830000E+0	-1.188525E+0	79.000000E+0	24.980671E+3	2.447971E+42				
92.550293E+0	295.000000E+0	292.830000E+0	-290.412414E-3	81.000000E+0	24.548661E+3	2.425907E+42				
96.338511E+0	295.000000E+0	292.830000E+0	0.000000E+0	87.000000E+0	24.194584E+3	2.402127E+42				
100.162729E+0	295.000000E+0	292.830000E+0	0.000000E+0	76.000000E+0	23.849431E+3	2.412895E+42				
103.947946E+0	295.000000E+0	292.830000E+0	0.000000E+0	77.000000E+0	24.405685E+3	2.423232E+42				
107.733162E+0	295.000000E+0	292.940000E+0	0.000000E+0	66.000000E+0	24.580016E+3	2.462748E+42				
111.522379E+0	295.000000E+0	292.940000E+0	0.000000E+0	81.000000E+0	24.249510E+3	2.408860E+42				
115.316596E+0	295.000000E+0	292.940000E+0	290.604244E-3	81.000000E+0	25.060398E+3	2.478429E+42				
119.105813E+0	295.000000E+0	293.050000E+0	581.055015E-3	76.000000E+0	23.158981E+3	2.378295E+42				
122.891029E+0	295.000000E+0	293.170000E+0	581.055015E-3	79.000000E+0	24.653893E+3	2.446014E+42				
126.676246E+0	295.000000E+0	293.170000E+0	580.556824E-3	80.000000E+0	24.394380E+3	2.421745E+42				
130.458462E+0	295.000000E+0	293.280000E+0	897.412249E-3	73.000000E+0	24.328557E+3	2.413929E+42				
134.240678E+0	295.000000E+0	293.390000E+0	1.214435E+0	70.000000E+0	24.053836E+3	2.432135E+42				
138.043896E+0	295.000000E+0	293.500000E+0	1.215048E+0	74.000000E+0	24.083618E+3	2.405813E+42				
141.829112E+0	295.000000E+0	293.620000E+0	1.189412E+0	72.000000E+0	25.160611E+3	2.488912E+42				
145.612329E+0	295.000000E+0	293.730000E+0	1.452448E+0	68.000000E+0	25.217448E+3	2.486913E+42				
149.389544E+0	295.000000E+0	293.840000E+0	1.767914E+0	62.000000E+0	25.178481E+3	2.492944E+42				
153.169761E+0	295.000000E+0	293.960000E+0	1.794032E+0	66.000000E+0	24.201002E+3	2.400143E+42				
156.959978E+0	295.000000E+0	294.070000E+0	1.795951E+0	67.000000E+0	25.210809E+3	2.478194E+42				
160.739194E+0	295.000000E+0	294.180000E+0	1.798437E+0	70.000000E+0	24.373296E+3	2.451405E+42				
164.524410E+0	295.000000E+0	294.300000E+0	1.798277E+0	71.000000E+0	24.146743E+3	2.400504E+42				
168.330628E+0	295.000000E+0	294.410000E+0	1.797585E+0	62.000000E+0	24.247624E+3	2.418831E+42				
172.110844E+0	295.000000E+0	294.520000E+0	1.797021E+0	72.000000E+0	24.153586E+3	2.399475E+42				
175.890060E+0	295.000000E+0	294.640000E+0	1.795340E+0	55.000000E+0	23.879016E+3	2.413941E+42				
179.667276E+0	295.000000E+0	294.640000E+0	1.794038E+0	58.000000E+0	25.362095E+3	2.485447E+42				
183.460494E+0	295.000000E+0	294.640000E+0	1.794440E+0	57.000000E+0	25.015899E+3	2.481309E+42				
187.243710E+0	295.000000E+0	294.750000E+0	1.506104E+0	51.000000E+0	24.269022E+3	2.408842E+42				
191.026926E+0	295.000000E+0	294.750000E+0	926.121492E-3	60.000000E+0	24.877946E+3	2.444771E+42				
195.309171E+0	295.000000E+0	294.860000E+0	607.984292E-3	65.000000E+0	25.440715E+3	2.482938E+42				
199.091387E+0	295.000000E+0	294.860000E+0	581.131984E-3	70.000000E+0	24.759566E+3	2.440664E+42				
202.882604E+0	295.000000E+0	294.990000E+0	853.900020E-3	60.000000E+0	23.830775E+3	2.408819E+42				
206.666821E+0	295.000000E+0	295.110000E+0	836.327791E-3	63.000000E+0	24.247305E+3	2.411251E+42				
210.453037E+0	295.000000E+0	295.340000E+0	888.875238E-3	64.000000E+0	23.778939E+3	2.382149E+42				
214.232254E+0	295.000000E+0	295.450000E+0	1.276135E+0	63.000000E+0	24.197594E+3	2.401464E+42				
218.020470E+0	295.000000E+0	295.680000E+0	1.927983E+0	65.000000E+0	24.124093E+3	2.435362E+42				
221.801686E+0	295.000000E+0	295.680000E+0	2.483503E+0	68.000000E+0	24.092091E+3	2.416378E+42				
225.600904E+0	295.000000E+0	295.560000E+0	2.722062E+0	59.000000E+0	24.759151E+3	2.447391E+42				
229.369119E+0	295.000000E+0	295.450000E+0	2.405120E+0	51.000000E+0	25.216302E+3	2.483834E+42				
233.144335E+0	295.000000E+0	295.450000E+0	1.189690E+0	54.000000E+0	24.942060E+3	2.472253E+42				
236.925551E+0	295.000000E+0	295.340000E+0	-316.765190E-3	63.000000E+0	25.340457E+3	2.450205E+42				
240.696767E+0	295.000000E+0	295.340000E+0	-1.216117E+0	55.000000E+0	25.294398E+3	2.476120E+42				
244.474983E+0	295.000000E+0	295.450000E+0	-1.190655E+0	52.000000E+0	24.485953E+3	2.439463E+42				
248.238198E+0	295.000000E+0	295.450000E+0	-874.084031E-3	62.000000E+0	24.195451E+3	2.405515E+42				
251.983413E+0	295.000000E+0	295.450000E+0	-291.026923E-3	66.000000E+0	25.316086E+3	2.455827E+42				
255.743628E+0	295.000000E+0	295.450000E+0	291.837591E-3	54.000000E+0	24.928107E+3	2.478132E+42				
259.506843E+0	295.000000E+0	295.450000E+0	583.134485E-3	47.000000E+0	24.162325E+3	2.398372E+42				
263.807089E+0	295.000000E+0	295.450000E+0	291.721825E-3	61.000000E+0	24.944868E+3	2.463832E+42				
267.585305E+0	295.000000E+0	295.450000E+0	0.000000E+0	55.000000E+0	24.988208E+3	2.473215E+42				
271.327519E+0	295.000000E+0	295.450000E+0	0.000000E+0	56.000000E+0	23.973850E+3	2.387963E+42				
275.087734E+0	295.000000E+0	295.450000E+0	0.000000E+0	58.000000E+0	24.177238E+3	2.400934E+42				
278.866951E+0	295.000000E+0	295.450000E+0	0.000000E+0	53.000000E+0	25.134935E+3	2.468312E+42				
282.618165E+0	295.000000E+0	295.560000E+0	0.000000E+0	53.000000E+0	25.210063E+3	2.451253E+42				
286.405382E+0	295.000000E+0	295.560000E+0	0.000000E+0	53.000000E+0	24.925802E+3	2.467457E+42				
290.188598E+0	295.000000E+0	295.560000E+0	292.147961E-3	54.000000E+0	24.013978E+3	2.399824E+42				
293.997816E+0	295.000000E+0	295.450000E+0	583.985871E-3	58.000000E+0	25.208171E+3	2.459588E+42				
297.762031E+0	295.000000E+0	295.450000E+0	583.985871E-3	58.000000E+0	23.882915E+3	2.386100E+42				
302.037276E+0	295.000000E+0	295.450000E+0	2.075758E-3	60.000000E+0	23.763102E+3	2.367257E+42				
305.822492E+0	295.000000E+0	295.450000E+0	-580.251272E-3	59.000000E+0	23.713256E+3	2.398163E+42				
309.592708E+0	295.000000E+0	295.450000E+0	-580.251272E-3	57.000000E+0	25.153518E+3	2.449866E+42				
313.864952E+0	295.000000E+0	295.560000E+0	-290.489120E-3	58.000000E+0	24.221062E+3	2.413970E+42				
317.638168E+0	295.000000E+0	295.560000E+0	0.000000E+0	57.000000E+0	24.760300E+3	2.463501E+42				
321.401383E+0	295.000000E+0	295.560000E+0	273.548144E-3	61.000000E+0	25.295961E+3	2.446690E+42				
325.171599E+0	295.000000E+0	295.560000E+0	546.994279E-3	63.000000E+0	24.134943E+3	2.412131E+42				
328.953815E+0	295.000000E+0	295.680000E+0	546.994279E-3	55.000000E+0	23.640537E+3	2.364388E+42				
333.237060E+0	295.000000E+0	295.680000E+0	273.446135E-3	66.000000E+0	25.163359E+3	2.466874E+42				
337.007276E+0	295.000000E+0	295.680000E+0	317.778450E-3	53.000000E+0	23.942775E+3	2.408666E+42				
340.784492E+0	295.000000E+0	295.680000E+0	615.343580E-3	61.000000E+0	23.871431E+3	2.385819E+42				
344.611711E+0	295.000000E+0	295.680000E+0	615.343580E-3	51.000000E+0	24.853092E+3	2.441699E+42				
348.880955E+0	295.000000E+0	295.790000E+0	297.565130E-3	63.000000E+0	23.853621E+3	2.381805E+42				
352.659171E+0	295.000000E+0	295.680000E+0	0.000000E+0	57.000000E+0	23.716544E+3	2.352874E+42				
356.427386E+0	295.000000E+0	295.680000E+0	271.723600E-3	62.000000E+0	24.520161E+3	2.414423E+42				
360.211603E+0	295.000000E+0	295.680000E+0	271.723600E-3	54.000000E+0	24.274392E+3	2.439204E+42				
364.494848E+0	295.000000E+0	295.680000E+0	-19.804917E-3	60.000000E+0	24.946233E+3	2.411004E+42				
368.278064E+0	295.000000E+0	295.680000E+0	-291.528518E-3	56.000000E+0	25.083057E+3	2.422645E+42				
372.572310E+0	295.000000E+0	295.680000E+0	-291.528518E-3	51.000000E+0	24.141189E+3	2.364771E+42				
376.352526E+0	295.000000E+0	295.680000E+0	0.000000E+0	58.000000E+0	24.593428E+3	2.454538E+42				
380.127742E+0	295.000000E+0	295.790000E+0	0.000000E+0	65.000000E+0	23.688971E+3	2.364816E+42				
383.899958E+0	295.000000E+0	295.790000E+0	0.000000E+0	60.000000E+0	24.198866E+3	2.405830E+42				
387.674174E+0	295.000000E+0	295.790000E+0	291.181220E-3	51.000000E+0	24.726586E+3	2.394634E+42				
391.469391E+0	295.000000E+0	295.790000E+0	582.671096E-3	52.000000E+0	24.921622E+3	2.452175E+42				
