Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,13.237600E+3,13.237600E+3,-74.102000E+0,74.102000E+0,200.000000E+0
25.000000E+0,26.467600E+3,16.200000E+0,-51.348600E+0,5.867200E+0,200.000000E+0
30.000000E+0,26.575400E+3,34.500000E+0,29.013650E+0,5.601550E+0,200.000000E+0
40.000000E+0,26.456200E+3,9.900000E+0,-191.884000E+0,74.030000E+0,200.000000E+0
50.000000E+0,26.970150E+3,125.950000E+0,210.883500E+0,45.329500E+0,200.000000E+0
60.000000E+0,26.730900E+3,72.900000E+0,-54.269050E+0,35.329550E+0,200.000000E+0
75.000000E+0,26.894650E+3,101.250000E+0,-185.621390E+0,182.195610E+0,200.000000E+0
100.000000E+0,27.218500E+3,28.300000E+0,-84.041100E+0,18.466900E+0,200.000000E+0
120.000000E+0,26.714650E+3,14.450000E+0,-264.818500E+0,12.327500E+0,200.000000E+0
150.000000E+0,26.972750E+3,15.050000E+0,-338.958500E+0,68.936500E+0,200.000000E+0
200.000000E+0,26.823550E+3,30.550000E+0,-455.148500E+0,13.144500E+0,200.000000E+0
250.000000E+0,26.785550E+3,33.650000E+0,-561.991500E+0,21.016500E+0,200.000000E+0
300.000000E+0,26.986250E+3,5.650000E+0,-679.078000E+0,24.143000E+0,200.000000E+0
400.000000E+0,26.903050E+3,43.950000E+0,-889.603500E+0,51.796500E+0,200.000000E+0
500.000000E+0,26.955950E+3,7.250000E+0,-1.125770E+3,98.040000E+0,200.000000E+0
600.000000E+0,26.861850E+3,92.650000E+0,-1.271860E+3,55.750000E+0,200.000000E+0
750.000000E+0,26.755850E+3,66.650000E+0,-1.653415E+3,7.245000E+0,200.000000E+0
1.000000E+3,26.715500E+3,36.700000E+0,-2.185750E+3,19.060000E+0,200.000000E+0
1.200000E+3,26.672900E+3,8.400000E+0,-2.656070E+3,25.810000E+0,200.000000E+0
1.500000E+3,26.454500E+3,7.000000E+0,-3.266185E+3,5.575000E+0,200.000000E+0
2.000000E+3,26.148400E+3,16.500000E+0,-4.231685E+3,4.315000E+0,200.000000E+0
2.500000E+3,25.775000E+3,11.800000E+0,-5.221260E+3,47.830000E+0,200.000000E+0
3.000000E+3,25.328600E+3,0.000000E+0,-6.161975E+3,17.215000E+0,200.000000E+0
4.000000E+3,24.272550E+3,11.450000E+0,-7.806590E+3,5.440000E+0,200.000000E+0
5.000000E+3,23.097000E+3,35.800000E+0,-9.310530E+3,31.540000E+0,200.000000E+0
6.000000E+3,21.752850E+3,6.450000E+0,-10.426800E+3,26.500000E+0,200.000000E+0
7.500000E+3,19.687450E+3,11.550000E+0,-11.717050E+3,1.250000E+0,200.000000E+0
10.000000E+3,16.389100E+3,6.800000E+0,-12.925900E+3,14.600000E+0,200.000000E+0
12.000000E+3,14.042250E+3,1.850000E+0,-13.244250E+3,37.350000E+0,200.000000E+0
15.000000E+3,11.238900E+3,36.300000E+0,-13.052300E+3,43.700000E+0,200.000000E+0
20.000000E+3,7.737975E+3,1.065000E+0,-11.983300E+3,10.700000E+0,200.000000E+0
25.000000E+3,5.602445E+3,2.715000E+0,-10.705000E+3,1.000000E+0,200.000000E+0
30.000000E+3,4.189080E+3,2.420000E+0,-9.535425E+3,3.325000E+0,200.000000E+0
40.000000E+3,2.571670E+3,5.720000E+0,-7.698665E+3,5.245000E+0,200.000000E+0
50.000000E+3,1.731175E+3,2.715000E+0,-6.398275E+3,414.999998E-3,200.000000E+0
60.000000E+3,1.246905E+3,2.145000E+0,-5.449935E+3,1.315000E+0,200.000000E+0
75.000000E+3,823.075500E+0,968.500000E-3,-4.444010E+3,899.999999E-3,200.000000E+0
100.000000E+3,485.184500E+0,1.324500E+0,-3.388000E+3,320.000002E-3,200.000000E+0
120.000000E+3,345.845500E+0,1.038500E+0,-2.843690E+3,180.000000E-3,200.000000E+0
150.000000E+3,227.603000E+0,899.000000E-3,-2.291440E+3,710.000000E-3,200.000000E+0
200.000000E+3,135.820500E+0,824.500000E-3,-1.727900E+3,409.999999E-3,200.000000E+0
