Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,356.469000E+3,356.469000E+3,8.755000E+3,8.755000E+3,200.000000E+0
25.000000E+0,733.886000E+3,3.370000E+3,-49.140650E+3,1.662250E+3,200.000000E+0
30.000000E+0,728.860500E+3,13.496500E+3,-25.125855E+3,22.330445E+3,200.000000E+0
40.000000E+0,983.906500E+3,7.489500E+3,-161.332000E+3,12.780000E+3,200.000000E+0
50.000000E+0,731.406000E+3,6.579000E+3,-374.634500E+3,9.571500E+3,200.000000E+0
60.000000E+0,769.396500E+3,11.597500E+3,-209.774500E+3,2.792500E+3,200.000000E+0
75.000000E+0,621.425500E+3,8.219500E+3,-132.291500E+3,18.432500E+3,200.000000E+0
100.000000E+0,612.151000E+3,23.869000E+3,-248.047500E+3,1.027500E+3,200.000000E+0
120.000000E+0,744.604500E+3,10.997500E+3,-190.915000E+3,12.828000E+3,200.000000E+0
150.000000E+0,665.714500E+3,41.442500E+3,-198.292500E+3,1.596500E+3,200.000000E+0
200.000000E+0,620.421500E+3,5.243500E+3,-267.555500E+3,10.192500E+3,200.000000E+0
250.000000E+0,537.860500E+3,825.500000E+0,-281.904500E+3,13.181500E+3,200.000000E+0
300.000000E+0,526.663000E+3,1.682000E+3,-328.618000E+3,14.861000E+3,200.000000E+0
400.000000E+0,406.805500E+3,3.875500E+3,-372.310500E+3,7.688500E+3,200.000000E+0
500.000000E+0,369.612500E+3,5.354500E+3,-389.965500E+3,1.894500E+3,200.000000E+0
600.000000E+0,284.610500E+3,7.642500E+3,-376.757000E+3,17.129000E+3,200.000000E+0
750.000000E+0,213.186000E+3,4.993000E+3,-344.562500E+3,1.618500E+3,200.000000E+0
1.000000E+3,140.733000E+3,4.525000E+3,-291.410500E+3,2.334500E+3,200.000000E+0
1.200000E+3,110.401500E+3,1.884500E+3,-256.661000E+3,1.574000E+3,200.000000E+0
1.500000E+3,67.684300E+3,877.500000E+0,-217.266500E+3,1.173500E+3,200.000000E+0
2.000000E+3,41.470500E+3,1.032100E+3,-169.259500E+3,73.500000E+0,200.000000E+0
2.500000E+3,25.118700E+3,1.084800E+3,-138.409000E+3,402.000000E+0,200.000000E+0
3.000000E+3,18.568400E+3,789.700000E+0,-115.525500E+3,428.500000E+0,200.000000E+0
4.000000E+3,11.683350E+3,156.750000E+0,-88.189850E+3,92.050000E+0,200.000000E+0
5.000000E+3,6.966045E+3,106.125000E+0,-70.682000E+3,33.200000E+0,200.000000E+0
6.000000E+3,4.834105E+3,24.375000E+0,-58.894050E+3,105.450000E+0,200.000000E+0
7.500000E+3,3.214335E+3,90.455000E+0,-47.322050E+3,270.450000E+0,200.000000E+0
10.000000E+3,1.677160E+3,195.510000E+0,-35.813950E+3,36.150000E+0,200.000000E+0
12.000000E+3,1.326830E+3,105.880000E+0,-29.759400E+3,159.900000E+0,200.000000E+0
15.000000E+3,988.823500E+0,12.366500E+0,-23.890100E+3,259.200000E+0,200.000000E+0
20.000000E+3,478.183000E+0,25.557000E+0,-17.874750E+3,25.850000E+0,200.000000E+0
25.000000E+3,364.120000E+0,56.937000E+0,-14.399900E+3,6.700000E+0,200.000000E+0
30.000000E+3,235.392000E+0,16.878000E+0,-11.944050E+3,17.050000E+0,200.000000E+0
40.000000E+3,147.903000E+0,21.408000E+0,-8.980955E+3,7.025000E+0,200.000000E+0
50.000000E+3,98.791750E+0,11.272250E+0,-7.182860E+3,14.440000E+0,200.000000E+0
60.000000E+3,55.173700E+0,9.896400E+0,-5.996025E+3,22.745000E+0,200.000000E+0
75.000000E+3,57.167600E+0,1.946200E+0,-4.806185E+3,2.065000E+0,200.000000E+0
100.000000E+3,39.004600E+0,1.977700E+0,-3.609755E+3,2.555000E+0,200.000000E+0
120.000000E+3,29.813550E+0,1.596750E+0,-3.009720E+3,119.999999E-3,200.000000E+0
150.000000E+3,20.028650E+0,3.985050E+0,-2.398760E+3,2.030000E+0,200.000000E+0
200.000000E+3,14.797700E+0,1.216800E+0,-1.806945E+3,1.165000E+0,200.000000E+0
