Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
25.000000E+0,536.418500E-3,2.469630E-3,-15.335625E-3,2.918859E-3,200.000000E+0
30.000000E+0,627.241500E-3,743.395756E-6,-133.566500E-3,2.596336E-3,200.000000E+0
40.000000E+0,680.472750E-3,3.589257E-3,-196.672000E-3,31.359955E-3,200.000000E+0
50.000000E+0,668.862500E-3,43.315762E-3,-353.803000E-3,9.126793E-3,200.000000E+0
60.000000E+0,804.652500E-3,13.131510E-3,-340.440250E-3,56.428236E-3,200.000000E+0
75.000000E+0,601.151000E-3,2.306127E-3,-763.384000E-3,3.186106E-3,200.000000E+0
100.000000E+0,770.099750E-3,1.063692E-3,-830.491500E-3,10.390197E-3,200.000000E+0
120.000000E+0,890.052000E-3,44.939274E-3,-1.020257E+0,111.103592E-3,200.000000E+0
150.000000E+0,944.354750E-3,17.281858E-3,-1.441492E+0,10.539166E-3,200.000000E+0
200.000000E+0,1.232305E+0,7.318092E-3,-1.346775E+0,3.559027E-3,200.000000E+0
250.000000E+0,546.594750E-3,2.055968E-3,-976.939000E-3,9.432406E-3,200.000000E+0
300.000000E+0,496.917750E-3,1.875318E-3,-500.454750E-3,5.768148E-3,200.000000E+0
400.000000E+0,1.489025E+0,18.941885E-3,-254.980750E-3,6.352541E-3,200.000000E+0
500.000000E+0,992.916250E-3,1.832613E-3,-834.109750E-3,1.784654E-3,200.000000E+0
600.000000E+0,300.066000E-3,2.703221E-3,385.496750E-3,1.456751E-3,200.000000E+0
750.000000E+0,460.042750E-3,2.819725E-3,32.783350E-3,4.276692E-3,200.000000E+0
1.000000E+3,548.637000E-3,1.997525E-3,-24.073650E-3,1.818490E-3,200.000000E+0
1.200000E+3,582.739250E-3,1.503443E-3,3.236363E-3,9.756191E-3,200.000000E+0
1.500000E+3,537.561750E-3,135.046983E-6,22.601550E-3,276.488232E-6,200.000000E+0
2.000000E+3,588.764500E-3,837.339388E-6,-83.297375E-3,1.509033E-3,200.000000E+0
2.500000E+3,694.023000E-3,3.421752E-3,-99.890000E-3,6.782279E-3,200.000000E+0
3.000000E+3,804.030500E-3,1.948533E-3,-222.135500E-3,5.661471E-3,200.000000E+0
4.000000E+3,892.610000E-3,2.461366E-3,-189.079500E-3,3.808087E-3,200.000000E+0
5.000000E+3,1.016125E+0,7.316975E-3,-361.637000E-3,7.251308E-3,200.000000E+0
6.000000E+3,1.095198E+0,1.300315E-3,-393.813250E-3,4.954016E-3,200.000000E+0
7.500000E+3,1.772770E+0,4.981983E-3,-576.202750E-3,5.080713E-3,200.000000E+0
10.000000E+3,2.443475E+0,3.162661E-3,-970.774250E-3,2.428474E-3,200.000000E+0
12.000000E+3,2.828668E+0,3.721414E-3,-1.355358E+0,2.040201E-3,200.000000E+0
15.000000E+3,3.342427E+0,5.491440E-3,-1.985210E+0,2.435241E-3,200.000000E+0
20.000000E+3,3.663000E+0,2.975139E-3,-2.942588E+0,2.332267E-3,200.000000E+0
25.000000E+3,3.537962E+0,1.841132E-3,-3.699498E+0,2.167584E-3,200.000000E+0
30.000000E+3,3.349985E+0,1.883381E-3,-4.395955E+0,7.285676E-3,200.000000E+0
40.000000E+3,2.934400E+0,5.940274E-3,-5.793205E+0,7.780985E-3,200.000000E+0
50.000000E+3,2.400685E+0,4.394147E-3,-7.053567E+0,4.273765E-3,200.000000E+0
60.000000E+3,1.783220E+0,3.556431E-3,-8.281797E+0,5.020729E-3,200.000000E+0
75.000000E+3,626.836500E-3,9.894035E-3,-10.109150E+0,12.906878E-3,200.000000E+0
100.000000E+3,-1.503675E+0,6.251822E-3,-12.554225E+0,5.047462E-3,200.000000E+0
120.000000E+3,-3.403075E+0,6.224590E-3,-14.120000E+0,3.262668E-3,200.000000E+0
150.000000E+3,-6.379415E+0,8.194677E-3,-15.843050E+0,8.530094E-3,200.000000E+0
200.000000E+3,-7.809990E+0,5.713803E-3,-16.449725E+0,2.565517E-3,200.000000E+0
