Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
25.000000E+0,3.967618E+0,738.660103E-6,1.359247E+0,537.883584E-6,200.000000E+0
30.000000E+0,3.966625E+0,2.666426E-3,1.130022E+0,5.473552E-3,200.000000E+0
40.000000E+0,3.973065E+0,14.688086E-3,843.596500E-3,17.667233E-3,200.000000E+0
50.000000E+0,3.983858E+0,4.844984E-3,681.671250E-3,17.840030E-3,200.000000E+0
60.000000E+0,3.957688E+0,6.711950E-3,560.558250E-3,8.069459E-3,200.000000E+0
75.000000E+0,3.966372E+0,8.006470E-3,441.286250E-3,6.321660E-3,200.000000E+0
100.000000E+0,3.968400E+0,15.596415E-3,313.940000E-3,7.592555E-3,200.000000E+0
120.000000E+0,3.988077E+0,4.941712E-3,254.772000E-3,6.142787E-3,200.000000E+0
150.000000E+0,3.964633E+0,8.063589E-3,182.010500E-3,1.606283E-3,200.000000E+0
200.000000E+0,3.968908E+0,1.309358E-3,131.067750E-3,632.617726E-6,200.000000E+0
250.000000E+0,3.971400E+0,6.712075E-3,82.806825E-3,839.057493E-6,200.000000E+0
300.000000E+0,3.967555E+0,2.067916E-3,56.732375E-3,1.270173E-3,200.000000E+0
400.000000E+0,3.969440E+0,1.362589E-3,11.166155E-3,1.588928E-3,200.000000E+0
500.000000E+0,3.967305E+0,722.651368E-6,-27.136725E-3,2.212929E-3,200.000000E+0
600.000000E+0,3.967608E+0,1.956085E-3,-58.356725E-3,1.131767E-3,200.000000E+0
750.000000E+0,3.967300E+0,3.128922E-3,-98.585200E-3,1.701850E-3,200.000000E+0
1.000000E+3,3.967905E+0,1.642460E-3,-155.920750E-3,1.410799E-3,200.000000E+0
1.200000E+3,3.965628E+0,1.690213E-3,-200.665250E-3,1.504613E-3,200.000000E+0
1.500000E+3,3.963872E+0,481.215910E-6,-264.332500E-3,517.101779E-6,200.000000E+0
2.000000E+3,3.961720E+0,434.568754E-6,-367.531750E-3,994.450948E-6,200.000000E+0
2.500000E+3,3.959213E+0,685.688520E-6,-464.895750E-3,1.216656E-3,200.000000E+0
3.000000E+3,3.957375E+0,1.430568E-3,-561.046750E-3,1.122180E-3,200.000000E+0
4.000000E+3,3.950178E+0,703.113611E-6,-751.494750E-3,1.515450E-3,200.000000E+0
5.000000E+3,3.936602E+0,1.734278E-3,-942.509000E-3,984.339880E-6,200.000000E+0
6.000000E+3,3.925378E+0,1.240229E-3,-1.132918E+0,1.554869E-3,200.000000E+0
7.500000E+3,3.902935E+0,808.501701E-6,-1.420465E+0,1.764887E-3,200.000000E+0
10.000000E+3,3.864612E+0,360.164895E-6,-1.882670E+0,1.456108E-3,200.000000E+0
12.000000E+3,3.818198E+0,372.113891E-6,-2.252448E+0,2.136520E-3,200.000000E+0
15.000000E+3,3.742870E+0,212.485292E-6,-2.795920E+0,1.994355E-3,200.000000E+0
20.000000E+3,3.598185E+0,2.185183E-3,-3.709115E+0,2.859462E-3,200.000000E+0
25.000000E+3,3.399690E+0,1.694329E-3,-4.609045E+0,4.872651E-3,200.000000E+0
30.000000E+3,3.168728E+0,4.389210E-3,-5.489520E+0,8.921600E-3,200.000000E+0
40.000000E+3,2.622777E+0,5.161939E-3,-7.240813E+0,7.895801E-3,200.000000E+0
50.000000E+3,1.919495E+0,4.034554E-3,-8.847893E+0,6.540575E-3,200.000000E+0
60.000000E+3,1.100118E+0,5.363792E-3,-10.399725E+0,8.298607E-3,200.000000E+0
75.000000E+3,-305.992000E-3,9.529035E-3,-12.524475E+0,12.520259E-3,200.000000E+0
100.000000E+3,-3.042770E+0,10.854393E-3,-15.503750E+0,8.210207E-3,200.000000E+0
120.000000E+3,-5.416525E+0,19.512137E-3,-17.372825E+0,15.685244E-3,200.000000E+0
150.000000E+3,-9.184977E+0,21.428396E-3,-19.387650E+0,14.241225E-3,200.000000E+0
200.000000E+3,-9.934885E+0,19.472212E-3,-19.984750E+0,13.054214E-3,200.000000E+0
