T,L1,R1,R2,C2,R3,C3
290,0.6787044175748506,0.00026527551569427286,4.68734093921602,1.767550928611741e-08,-2.786172700010812,5.308466777009872e-09
270,0.8070994462139456,1.7209229332970189e-06,5.504594294649159,1.5888565585643746e-08,-3.5016743107306345,2.120776129349687e-09
250,0.7727649350769186,2.527394050505324e-08,6.069678098341233,1.743422438873583e-08,-3.8433900571801325,4.504347379137327e-09
230,0.8297726774187179,2.040710230604174e-10,6.931144310468827,1.7329767485120742e-08,-4.517696719649935,4.23239579938266e-09
210,0.8355246197568549,6.122153954684722e-15,8.86835380262232,1.8163891275859197e-08,-6.24293155563432,6.971245287913459e-09
190,1.0076615909880697,4.2028121672600526e-13,11.214197501624662,1.7245009801347894e-08,-8.367636181973111,7.074220743723567e-09
170,1.2068587033120097,2.46961497106797e-29,15.132194969324203,2.0179701714203715e-08,-11.985772690322916,1.063346528432516e-08
150,1.256743251246529,5.774222107142077e-12,17.962166012049597,2.7658793543063342e-08,-14.654341456666963,1.6558954215797798e-08
130,3.2206385463911738,4.1263820247117064e-14,36.144711968298054,2.1159780588828517e-08,-32.701731113231205,8.252029843062139e-09
110,8.2247807460971,8.680420397061988e-10,106.50486530148909,2.3171214380762735e-08,-104.07610015890926,3.2092118818539665e-09
90,26.336525220438062,127.1088827065921,203.212288547069,1.8846174141399374e-08,-198.92516608710878,8.94049157432719e-10
