T,R1,L1,C1,R2,C2,R3,C3
290,31.384027444842378,0.42278186277526303,3.196833705724182e-09,-26.804219653934805,1.3526422206425877e-08,9.156808736944104e-11,1e-09
270,25.112946779032328,12.851762528508218,5.694066615002638e-10,-23.1158211018728,2.748271272134296e-10,0.0058907985629451385,0.000891062858664498
250,25.329292901094487,13.384140126472207,1.0928371225468257e-09,-23.121948852019525,4.718730428046513e-12,0.02279050994966977,0.0008021323633232757
230,24.835568117927895,10.820636898941292,1.4755086361841492e-09,-22.45457320059368,5.888489899306741e-46,0.03761322696259008,0.0003800570978886563
210,24.140522147092017,6.390531512602154,2.880258754731367e-09,-21.561800655935677,1.5195547145488445e-47,0.04907128748942861,0.0001818729512262938
190,19.822181517079272,3.1370401781552326,6.6894535944236705e-09,-17.00060760381121,7.765111374719965e-48,0.0314155896474897,0.0005329374600310891
170,19.066868358079336,1.9335551893706102,1.3345771867032982e-08,-15.945914693515036,4.674813638817674e-09,0.032186716919496525,0.00048648626956151016
150,20.37901656210601,1.0706404640713107,2.1690782723408524e-08,-17.078324582613057,1.0941334751546914e-08,2.2920907464964664,0.00726090259565029
130,30.41337979148154,1.318029652048267,3.0369989391261876e-08,-27.08354051188546,1.4451897464675273e-08,3.0317279860677093,0.0031117307367326233
110,62.63632630951344,2.1493002598291264,4.5584042901173665e-08,-64.10311314115296,5.319495403729633e-09,4.323164500628645,0.0017090701604309897
90,150.21061677964792,5.549648627486096,2.648218727650288e-08,-156.33122261665096,7.841855684811484e-10,20.72054116316298,0.00016822533326810504
