Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,V_Arduino (V),Vac (mV),Vdc (mV),P,I,D
24.467400E+0,290.389766E+0,291.240000E+0,NaN,56.000000E+0,1.871432E+0,3.550648E+0,1.905924E+0,-16.300020E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
456.928135E+0,291.020000E+0,291.020000E+0,NaN,66.000000E+0,1.887824E+0,3.460336E+0,1.922584E+0,-16.052780E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
501.816702E+0,291.020000E+0,291.020000E+0,NaN,75.000000E+0,1.888896E+0,3.487372E+0,1.923330E+0,-16.019100E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
546.716270E+0,289.897786E+0,291.130000E+0,NaN,71.000000E+0,1.889012E+0,3.391030E+0,1.922356E+0,-16.006740E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
591.576836E+0,288.775297E+0,291.460000E+0,-374.246599E-3,53.000000E+0,1.889154E+0,3.455054E+0,1.922700E+0,-16.002800E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
636.463404E+0,287.653782E+0,291.580000E+0,-97.988616E-3,44.000000E+0,1.893322E+0,3.354998E+0,1.927124E+0,-15.975180E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
681.339971E+0,286.531618E+0,290.680000E+0,24.520689E-3,43.000000E+0,1.897832E+0,3.430176E+0,1.934516E+0,-15.985880E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
726.221538E+0,285.409704E+0,289.130000E+0,222.822948E-3,44.000000E+0,1.902730E+0,3.419958E+0,1.943644E+0,-15.880540E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
771.130106E+0,284.287665E+0,287.790000E+0,24.530102E-3,43.000000E+0,1.916820E+0,3.468762E+0,1.953224E+0,-15.660340E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
815.970671E+0,283.164951E+0,286.470000E+0,-619.420496E-3,40.000000E+0,1.927802E+0,3.273396E+0,1.962050E+0,-15.577800E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
860.856238E+0,282.043937E+0,285.380000E+0,-1.363426E+0,39.000000E+0,1.933954E+0,3.070076E+0,1.970322E+0,-15.527340E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
905.746806E+0,280.921797E+0,283.990000E+0,-1.782398E+0,40.000000E+0,1.939804E+0,3.216984E+0,1.979642E+0,-15.487740E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
950.654375E+0,279.799533E+0,282.700000E+0,-1.773677E+0,43.000000E+0,1.947634E+0,3.352880E+0,1.989410E+0,-15.463820E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
995.516941E+0,278.676844E+0,281.420000E+0,-1.682439E+0,42.000000E+0,1.958594E+0,3.301310E+0,1.997658E+0,-15.441640E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.040405E+3,277.555280E+0,280.260000E+0,-1.686570E+0,42.000000E+0,1.964098E+0,3.282756E+0,2.004462E+0,-15.429140E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.085293E+3,276.433091E+0,279.200000E+0,-1.721953E+0,38.000000E+0,1.981296E+0,3.233854E+0,2.011878E+0,-15.411280E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.130202E+3,275.310876E+0,278.270000E+0,-1.713200E+0,35.000000E+0,1.983712E+0,3.352554E+0,2.019712E+0,-15.415540E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.175044E+3,274.188162E+0,277.340000E+0,-1.610869E+0,34.000000E+0,1.988634E+0,3.139608E+0,2.028272E+0,-15.426160E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.219915E+3,273.067098E+0,276.100000E+0,-1.481517E+0,36.000000E+0,2.003246E+0,3.217780E+0,2.037212E+0,-15.436720E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.264814E+3,271.945334E+0,274.870000E+0,-1.352264E+0,34.000000E+0,2.008340E+0,3.347028E+0,2.046190E+0,-15.455880E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.309679E+3,270.822845E+0,273.750000E+0,-1.341465E+0,33.000000E+0,2.015682E+0,2.993924E+0,2.054684E+0,-15.475600E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.354591E+3,269.701231E+0,272.530000E+0,-1.448538E+0,31.000000E+0,2.031536E+0,3.052640E+0,2.064004E+0,-15.485040E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.399453E+3,268.578416E+0,271.420000E+0,-1.557653E+0,32.000000E+0,2.039764E+0,3.298796E+0,2.073004E+0,-15.501120E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.444313E+3,267.456877E+0,270.230000E+0,-1.595180E+0,32.000000E+0,2.047508E+0,3.139004E+0,2.082032E+0,-15.512400E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.489184E+3,266.335388E+0,269.130000E+0,-1.563966E+0,32.000000E+0,2.050440E+0,3.095822E+0,2.090424E+0,-15.527240E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.534065E+3,265.213599E+0,267.960000E+0,-1.553071E+0,31.000000E+0,2.063924E+0,3.073044E+0,2.097726E+0,-15.554760E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.578954E+3,264.091585E+0,266.880000E+0,-1.542194E+0,31.000000E+0,2.069400E+0,3.178630E+0,2.106248E+0,-15.571040E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.623842E+3,262.969346E+0,265.720000E+0,-1.528951E+0,31.000000E+0,2.076240E+0,3.273746E+0,2.116562E+0,-15.597940E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.668723E+3,261.847156E+0,264.560000E+0,-1.517532E+0,26.000000E+0,2.089592E+0,3.217040E+0,2.125372E+0,-15.626640E+0,2.650000E+0,200.000000E+0,100.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
