Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,V_Arduino (V),Vac (mV),Vdc (mV),P,I,D
46.785676E+0,79.090000E+0,79.090000E+0,NaN,0.000000E+0,3.751982E+0,13.447440E+0,30.764820E+0,-122.171200E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
92.020263E+0,79.090000E+0,79.190000E+0,NaN,0.000000E+0,3.806010E+0,13.762780E+0,30.655880E+0,-122.103400E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
136.488807E+0,79.843910E+0,79.300000E+0,NaN,0.000000E+0,3.777242E+0,14.370760E+0,30.533620E+0,-122.024800E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
181.007353E+0,80.000000E+0,79.420000E+0,NaN,6.000000E+0,3.789904E+0,14.424140E+0,30.400320E+0,-121.941200E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
225.535900E+0,80.000000E+0,79.520000E+0,NaN,14.000000E+0,3.782018E+0,14.101480E+0,30.301820E+0,-121.881200E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
270.065447E+0,80.000000E+0,79.630000E+0,NaN,17.000000E+0,3.784432E+0,14.456060E+0,30.184960E+0,-121.807800E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
314.598994E+0,80.000000E+0,79.740000E+0,NaN,17.000000E+0,3.769902E+0,14.094760E+0,30.064140E+0,-121.728800E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
359.129541E+0,80.000000E+0,79.870000E+0,148.265176E-3,16.000000E+0,3.775994E+0,14.347040E+0,29.925500E+0,-121.634000E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
403.659088E+0,80.000000E+0,79.980000E+0,145.975464E-3,13.000000E+0,3.778306E+0,14.219740E+0,29.807760E+0,-121.553000E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
448.617660E+0,80.000000E+0,80.110000E+0,150.457179E-3,9.000000E+0,3.772446E+0,13.980940E+0,29.707720E+0,-121.491200E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
493.110205E+0,80.000000E+0,80.210000E+0,157.193144E-3,6.000000E+0,3.784934E+0,14.148140E+0,29.571500E+0,-121.390000E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,5.000000E+0,1.000000E+0
2.082152E+3,84.523085E+0,83.040000E+0,161.428371E-3,0.000000E+0,3.791866E+0,14.027480E+0,26.819560E+0,-119.379000E+0,2.238750E+0,200.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.126967E+3,84.523085E+0,83.090000E+0,158.959334E-3,4.000000E+0,3.800422E+0,12.946880E+0,26.242340E+0,-118.740200E+0,1.714500E+0,200.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.171430E+3,86.016904E+0,84.120000E+0,-40.768954E-3,0.000000E+0,3.802454E+0,13.364860E+0,25.882400E+0,-118.623200E+0,1.598000E+0,200.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.215890E+3,87.499022E+0,85.150000E+0,-237.865816E-3,6.000000E+0,3.756072E+0,12.753820E+0,25.471860E+0,-118.266400E+0,1.598000E+0,200.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.260428E+3,88.981006E+0,85.790000E+0,-47.349936E-3,2.000000E+0,3.820514E+0,13.491700E+0,24.756160E+0,-117.635600E+0,1.714500E+0,200.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.304968E+3,90.465625E+0,87.570000E+0,561.803910E-3,2.000000E+0,3.815416E+0,12.025280E+0,23.797500E+0,-116.727200E+0,1.831000E+0,200.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.349503E+3,91.950276E+0,89.310000E+0,1.080551E+0,6.000000E+0,3.805612E+0,12.228980E+0,23.052300E+0,-115.986400E+0,1.598000E+0,200.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
2.394040E+3,93.434795E+0,90.600000E+0,1.381954E+0,4.000000E+0,3.816938E+0,12.534560E+0,22.220880E+0,-115.123400E+0,1.831000E+0,200.000000E+0,0.000000E+0,40.000000E+0,4.000000E+0,1.000000E+0
