Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,V_Arduino (V),Vac (mV),Vdc (mV),P,I,D
20.411167E+0,292.095520E+0,292.470000E+0,-298.153106E-3,0.000000E+0,1.778952E+0,4.948372E+0,1.831256E+0,-20.156100E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
65.833765E+0,292.095520E+0,292.470000E+0,-246.425298E-3,0.000000E+0,1.778606E+0,5.021362E+0,1.830626E+0,-20.025420E+0,1.420000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
110.677330E+0,291.716999E+0,292.470000E+0,-149.592601E-3,0.000000E+0,1.778642E+0,4.613790E+0,1.830232E+0,-19.960440E+0,700.000000E-3,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
155.567898E+0,291.343302E+0,292.470000E+0,-80.175760E-3,0.000000E+0,1.781174E+0,4.643490E+0,1.829924E+0,-19.907100E+0,700.000000E-3,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
200.466466E+0,290.969214E+0,292.470000E+0,-7.111277E-3,0.000000E+0,1.782568E+0,4.705882E+0,1.830478E+0,-19.862280E+0,700.000000E-3,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
245.370034E+0,290.595059E+0,292.470000E+0,-3.685680E-3,0.000000E+0,1.785294E+0,4.801632E+0,1.831742E+0,-19.780960E+0,700.000000E-3,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
290.237600E+0,290.220863E+0,292.470000E+0,0.000000E+0,0.000000E+0,1.782374E+0,4.826530E+0,1.834844E+0,-19.739020E+0,700.000000E-3,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
335.131168E+0,290.000000E+0,292.360000E+0,0.000000E+0,0.000000E+0,1.792846E+0,4.789798E+0,1.839788E+0,-19.659220E+0,700.000000E-3,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
380.004735E+0,290.000000E+0,292.250000E+0,0.000000E+0,0.000000E+0,1.799870E+0,4.609526E+0,1.846624E+0,-19.637140E+0,700.000000E-3,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
424.892302E+0,290.000000E+0,292.020000E+0,-24.509494E-3,0.000000E+0,1.805374E+0,4.556888E+0,1.856702E+0,-19.393680E+0,700.000000E-3,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
469.779870E+0,290.000000E+0,291.690000E+0,-73.525206E-3,0.000000E+0,1.816622E+0,4.459920E+0,1.869504E+0,-19.108200E+0,700.000000E-3,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
514.673438E+0,290.000000E+0,291.240000E+0,-149.281825E-3,0.000000E+0,1.835848E+0,4.659996E+0,1.887552E+0,-18.822200E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
559.566005E+0,290.000000E+0,290.570000E+0,-249.528479E-3,1.000000E+0,1.855592E+0,4.301796E+0,1.908878E+0,-18.655860E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
604.976603E+0,290.000000E+0,289.790000E+0,-374.268645E-3,7.000000E+0,1.881454E+0,4.124256E+0,1.933888E+0,-18.521240E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
649.807167E+0,290.000000E+0,288.890000E+0,-547.993751E-3,19.000000E+0,1.904360E+0,4.031448E+0,1.957474E+0,-18.367100E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
694.712735E+0,290.000000E+0,288.010000E+0,-744.378063E-3,34.000000E+0,1.923276E+0,4.287136E+0,1.978484E+0,-18.158840E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
739.590302E+0,290.000000E+0,287.460000E+0,-942.957819E-3,47.000000E+0,1.944716E+0,3.892564E+0,1.996200E+0,-18.110320E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
