Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,V_Arduino (V),Vac (mV),Vdc (mV),P,I,D
54.983145E+0,290.000000E+0,294.180000E+0,NaN,0.000000E+0,1.759666E+0,3.515630E+0,1.794592E+0,-16.126680E+0,0.000000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
99.993719E+0,290.000000E+0,294.300000E+0,NaN,0.000000E+0,1.757786E+0,3.545634E+0,1.793646E+0,-16.122240E+0,0.000000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
144.849285E+0,290.000000E+0,294.410000E+0,NaN,0.000000E+0,1.756694E+0,3.551934E+0,1.793060E+0,-16.128880E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
189.810856E+0,290.000000E+0,294.410000E+0,NaN,0.000000E+0,1.755702E+0,3.524444E+0,1.792686E+0,-16.135900E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
234.710424E+0,290.000000E+0,294.520000E+0,NaN,0.000000E+0,1.757320E+0,3.551152E+0,1.792294E+0,-16.130560E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
279.644995E+0,290.000000E+0,294.640000E+0,NaN,0.000000E+0,1.755692E+0,3.487948E+0,1.792138E+0,-16.125460E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
324.583565E+0,290.000000E+0,294.750000E+0,NaN,0.000000E+0,1.755634E+0,3.596852E+0,1.791936E+0,-16.131920E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
369.480133E+0,290.000000E+0,294.860000E+0,100.181908E-3,0.000000E+0,1.755876E+0,3.504016E+0,1.791888E+0,-16.123620E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
414.345699E+0,290.000000E+0,294.990000E+0,126.870952E-3,0.000000E+0,1.755838E+0,3.569674E+0,1.792926E+0,-16.148260E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
459.234267E+0,290.000000E+0,294.990000E+0,151.367342E-3,0.000000E+0,1.758308E+0,3.586576E+0,1.794428E+0,-16.130900E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
504.124834E+0,290.000000E+0,294.990000E+0,153.636528E-3,0.000000E+0,1.760492E+0,3.542786E+0,1.797552E+0,-16.119100E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
548.999401E+0,290.000000E+0,294.860000E+0,131.421297E-3,0.000000E+0,1.764692E+0,3.512554E+0,1.802564E+0,-16.102160E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
593.882968E+0,290.000000E+0,294.750000E+0,82.442690E-3,0.000000E+0,1.769216E+0,3.516274E+0,1.808000E+0,-16.093300E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
638.764535E+0,290.000000E+0,294.520000E+0,3.550004E-6,0.000000E+0,1.775646E+0,3.498224E+0,1.815530E+0,-16.079080E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
683.634101E+0,290.000000E+0,294.070000E+0,-82.441523E-3,0.000000E+0,1.783948E+0,3.516064E+0,1.825172E+0,-16.065360E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
728.532670E+0,290.000000E+0,293.500000E+0,-158.194765E-3,0.000000E+0,1.796692E+0,3.497244E+0,1.838538E+0,-16.055980E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
773.395236E+0,290.000000E+0,292.590000E+0,-280.760410E-3,0.000000E+0,1.812374E+0,3.457042E+0,1.857024E+0,-16.031080E+0,500.000000E-3,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
818.289804E+0,290.000000E+0,291.460000E+0,-454.535496E-3,1.000000E+0,1.834304E+0,3.439400E+0,1.878258E+0,-16.003240E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
863.169371E+0,290.000000E+0,289.910000E+0,-708.546358E-3,13.000000E+0,1.855860E+0,3.432488E+0,1.901438E+0,-15.958960E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
908.039937E+0,290.000000E+0,288.230000E+0,-1.011576E+0,39.000000E+0,1.879610E+0,3.344946E+0,1.923458E+0,-15.959040E+0,1.900000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
952.933505E+0,290.000000E+0,286.690000E+0,-1.381378E+0,70.000000E+0,1.897420E+0,3.366732E+0,1.941098E+0,-15.923180E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
997.818072E+0,290.000000E+0,285.930000E+0,-1.771390E+0,86.000000E+0,1.912038E+0,3.225940E+0,1.950920E+0,-15.431100E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.042707E+3,290.000000E+0,286.470000E+0,-2.034266E+0,86.000000E+0,1.919490E+0,3.154014E+0,1.955628E+0,-15.323580E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.087593E+3,290.000000E+0,287.570000E+0,-1.949586E+0,83.000000E+0,1.921244E+0,3.146622E+0,1.957652E+0,-15.282940E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.132482E+3,290.000000E+0,288.560000E+0,-1.278822E+0,83.000000E+0,1.924824E+0,3.130674E+0,1.960238E+0,-15.277280E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.177372E+3,290.000000E+0,289.240000E+0,-196.029346E-3,87.000000E+0,1.928906E+0,3.103526E+0,1.965630E+0,-15.248160E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.222244E+3,290.000000E+0,289.570000E+0,781.952619E-3,93.000000E+0,1.934050E+0,3.110026E+0,1.971272E+0,-15.241880E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.267123E+3,290.000000E+0,289.680000E+0,1.202989E+0,97.000000E+0,1.938442E+0,3.076436E+0,1.975358E+0,-15.236760E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.312002E+3,290.000000E+0,289.790000E+0,1.062671E+0,100.000000E+0,1.941520E+0,3.105642E+0,1.979442E+0,-15.246800E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.356886E+3,290.000000E+0,289.910000E+0,695.112194E-3,100.000000E+0,1.946674E+0,3.078830E+0,1.983598E+0,-15.238400E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.402277E+3,290.000000E+0,290.130000E+0,372.108741E-3,100.000000E+0,1.949754E+0,3.094552E+0,1.987562E+0,-15.248200E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.447130E+3,290.000000E+0,290.130000E+0,198.316081E-3,100.000000E+0,1.953926E+0,3.044722E+0,1.991738E+0,-15.233500E+0,2.650000E+0,200.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
