Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,Vac (mV),Vdc (mV),V_Arduino (V),P,I,D
10.972628E+0,189.014514E+0,190.510000E+0,37.240791E-3,63.000000E+0,3.033388E+0,3.473972E+0,3.187244E+0,-20.986800E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
4.663627E+3,189.014514E+0,189.440000E+0,161.988601E-3,65.000000E+0,3.077992E+0,3.634422E+0,3.208422E+0,-21.300360E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
4.708511E+3,189.014514E+0,189.370000E+0,109.592163E-3,64.000000E+0,3.051410E+0,3.123990E+0,3.209538E+0,-21.335460E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
4.753372E+3,187.518362E+0,189.440000E+0,14.612746E-3,64.000000E+0,3.066870E+0,3.917660E+0,3.207870E+0,-21.312920E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
4.798282E+3,186.023010E+0,189.440000E+0,-493.356951E-3,29.000000E+0,3.041730E+0,3.316494E+0,3.212912E+0,-21.367580E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
4.843177E+3,184.525991E+0,188.700000E+0,-492.195079E-3,44.000000E+0,3.062246E+0,3.374954E+0,3.236512E+0,-21.750620E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
4.888070E+3,183.029505E+0,186.430000E+0,-492.374483E-3,67.000000E+0,3.109862E+0,3.717522E+0,3.267572E+0,-22.274160E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
4.932950E+3,181.533087E+0,184.220000E+0,-149.206050E-3,57.000000E+0,3.098294E+0,3.607688E+0,3.288786E+0,-22.634840E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
4.977838E+3,180.037068E+0,182.930000E+0,-819.680719E-3,47.000000E+0,3.124436E+0,3.709408E+0,3.306082E+0,-22.930100E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
5.022733E+3,178.540815E+0,181.730000E+0,-1.833347E+0,47.000000E+0,3.134178E+0,3.015168E+0,3.327464E+0,-23.346380E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
5.067622E+3,177.044296E+0,180.170000E+0,-2.448333E+0,45.000000E+0,3.141660E+0,3.792588E+0,3.362834E+0,-24.514920E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
5.112516E+3,175.548011E+0,178.590000E+0,-2.332528E+0,48.000000E+0,3.184832E+0,3.410260E+0,3.388580E+0,-25.078100E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
5.157404E+3,174.051525E+0,177.030000E+0,-1.949265E+0,42.000000E+0,3.187614E+0,4.016250E+0,3.411638E+0,-25.527740E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
5.202293E+3,172.555273E+0,175.640000E+0,-1.868941E+0,38.000000E+0,3.216738E+0,2.703852E+0,3.437214E+0,-26.016840E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
5.247177E+3,171.058987E+0,174.180000E+0,-2.013742E+0,42.000000E+0,3.232816E+0,3.200240E+0,3.463002E+0,-26.497420E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
5.292077E+3,169.562835E+0,172.550000E+0,-2.056124E+0,39.000000E+0,3.232582E+0,2.639920E+0,3.488622E+0,-26.986680E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
5.336964E+3,170.000000E+0,171.090000E+0,-1.991595E+0,36.000000E+0,3.229786E+0,2.874678E+0,3.513204E+0,-27.459260E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
