Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,V_Arduino (V),Vac (mV),Vdc (mV),P,I,D
11.628665E+0,290.268610E+0,290.460000E+0,-119.460446E-3,44.000000E+0,1.904712E+0,3.748618E+0,1.910054E+0,-17.113800E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
58.047320E+0,290.268610E+0,290.460000E+0,-119.319788E-3,48.000000E+0,1.907212E+0,3.669206E+0,1.909006E+0,-17.110560E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
103.966947E+0,290.075199E+0,290.680000E+0,-70.657991E-3,47.000000E+0,1.905462E+0,3.767944E+0,1.908206E+0,-17.123000E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
385.612056E+0,290.144673E+0,290.910000E+0,-22.261999E-3,43.000000E+0,1.901504E+0,3.616376E+0,1.903848E+0,-17.114040E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
431.518682E+0,290.144673E+0,291.020000E+0,49.212251E-3,44.000000E+0,1.899460E+0,3.659782E+0,1.903078E+0,-17.120980E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
477.431308E+0,289.379562E+0,291.020000E+0,-145.455991E-3,43.000000E+0,1.897124E+0,3.677018E+0,1.902702E+0,-17.130100E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
523.334933E+0,288.614352E+0,291.020000E+0,-292.688500E-3,32.000000E+0,1.898608E+0,3.637570E+0,1.902418E+0,-17.122920E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
569.234559E+0,287.849292E+0,290.910000E+0,-316.379259E-3,27.000000E+0,1.897280E+0,3.668756E+0,1.903256E+0,-17.115500E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
615.135184E+0,287.084298E+0,290.240000E+0,-122.491694E-3,23.000000E+0,1.901144E+0,3.594328E+0,1.904400E+0,-17.119100E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
661.132815E+0,286.319287E+0,289.460000E+0,-4.176227E-6,20.000000E+0,1.899768E+0,3.757634E+0,1.906034E+0,-17.119460E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
707.028440E+0,285.552660E+0,288.780000E+0,-193.898470E-3,15.000000E+0,1.901498E+0,3.692874E+0,1.907592E+0,-17.115960E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
752.934066E+0,284.787733E+0,288.120000E+0,-509.464849E-3,12.000000E+0,1.903408E+0,3.654350E+0,1.909576E+0,-17.114400E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
798.833691E+0,284.022639E+0,287.350000E+0,-803.260544E-3,8.000000E+0,1.906936E+0,3.744106E+0,1.911804E+0,-17.104880E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
844.729316E+0,283.257646E+0,286.800000E+0,-925.261387E-3,5.000000E+0,1.912396E+0,3.759974E+0,1.914336E+0,-17.105300E+0,2.650000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
890.656943E+0,282.492719E+0,286.150000E+0,-921.224029E-3,3.000000E+0,1.915442E+0,3.700392E+0,1.916650E+0,-17.096680E+0,2.422500E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
936.607571E+0,281.727258E+0,285.270000E+0,-891.060621E-3,1.000000E+0,1.916048E+0,3.783042E+0,1.919090E+0,-17.082200E+0,2.260000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
982.530198E+0,280.961414E+0,284.430000E+0,-860.497308E-3,1.000000E+0,1.920440E+0,3.737060E+0,1.921586E+0,-17.094800E+0,2.130000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.028418E+3,280.196037E+0,283.670000E+0,-882.017711E-3,0.000000E+0,1.919944E+0,3.611288E+0,1.924702E+0,-17.101080E+0,2.065000E+0,200.000000E+0,75.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
