Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   1.400   6.409302E+02   -4.041494E+02   -8.8279E-01
   1.500   6.035008E+02   -3.462540E+02   -8.6061E-01
   1.600   5.713506E+02   -2.982390E+02   -8.3518E-01
   1.700   5.435654E+02   -2.588543E+02   -8.0957E-01
   1.800   5.193256E+02   -2.271054E+02   -7.8715E-01
   1.900   4.979496E+02   -2.012152E+02   -7.6777E-01
   2.000   4.789341E+02   -1.797834E+02   -7.5076E-01
   2.100   4.618779E+02   -1.618325E+02   -7.3580E-01
   2.200   4.464755E+02   -1.466445E+02   -7.2259E-01
   2.300   4.324765E+02   -1.336465E+02   -7.1076E-01
   2.400   4.196876E+02   -1.224099E+02   -7.0001E-01
   2.500   4.079464E+02   -1.126224E+02   -6.9018E-01
   2.600   3.971234E+02   -1.040248E+02   -6.8106E-01
   2.700   3.871080E+02   -9.642984E+01   -6.7258E-01
   2.800   3.778095E+02   -8.967505E+01   -6.6459E-01
   2.900   3.691490E+02   -8.364111E+01   -6.5708E-01
   3.000   3.610608E+02   -7.822197E+01   -6.4993E-01
   3.100   3.534868E+02   -7.333727E+01   -6.4315E-01
   3.200   3.463779E+02   -6.891556E+01   -6.3667E-01
   3.300   3.396902E+02   -6.490009E+01   -6.3049E-01
   3.400   3.333860E+02   -6.124070E+01   -6.2456E-01
   3.500   3.274315E+02   -5.789744E+01   -6.1888E-01
   3.600   3.217972E+02   -5.483338E+01   -6.1343E-01
   3.700   3.164565E+02   -5.201824E+01   -6.0820E-01
   3.800   3.113861E+02   -4.942568E+01   -6.0317E-01
   3.900   3.065647E+02   -4.703295E+01   -5.9834E-01
   4.000   3.019736E+02   -4.481858E+01   -5.9368E-01
   4.200   2.934152E+02   -4.086420E+01   -5.8494E-01
   4.400   2.855927E+02   -3.743790E+01   -5.7679E-01
   4.600   2.784108E+02   -3.445037E+01   -5.6920E-01
   4.800   2.717875E+02   -3.183666E+01   -5.6226E-01
   5.000   2.656558E+02   -2.952912E+01   -5.5578E-01
   5.200   2.599584E+02   -2.748294E+01   -5.4975E-01
   5.400   2.546479E+02   -2.565704E+01   -5.4408E-01
   5.600   2.496822E+02   -2.403063E+01   -5.3897E-01
   5.800   2.450253E+02   -2.256182E+01   -5.3406E-01
   6.000   2.406481E+02   -2.123358E+01   -5.2941E-01
   6.500   2.307568E+02   -1.844073E+01   -5.1944E-01
   7.000   2.221151E+02   -1.621020E+01   -5.1087E-01
   7.500   2.144765E+02   -1.440104E+01   -5.0359E-01
   8.000   2.076613E+02   -1.290876E+01   -4.9730E-01
   8.500   2.015263E+02   -1.166507E+01   -4.9201E-01
   9.000   1.959646E+02   -1.061161E+01   -4.8736E-01
   9.500   1.908888E+02   -9.712835E+00   -4.8338E-01
  10.000   1.862315E+02   -8.935571E+00   -4.7981E-01
  10.500   1.819359E+02   -8.261801E+00   -4.7681E-01
  11.000   1.779556E+02   -7.672770E+00   -4.7428E-01
  11.500   1.742516E+02   -7.152050E+00   -4.7201E-01
  12.000   1.707955E+02   -6.679994E+00   -4.6933E-01
  12.500   1.675621E+02   -6.266151E+00   -4.6745E-01
  13.000   1.645168E+02   -5.927198E+00   -4.6836E-01
  13.500   1.616282E+02   -5.624098E+00   -4.6975E-01
  14.000   1.588964E+02   -5.299597E+00   -4.6694E-01
  14.500   1.563271E+02   -4.986780E+00   -4.6254E-01
  15.000   1.539005E+02   -4.728624E+00   -4.6088E-01
  15.500   1.515922E+02   -4.507082E+00   -4.6084E-01
  16.000   1.493910E+02   -4.300079E+00   -4.6054E-01
  16.500   1.472896E+02   -4.108531E+00   -4.6025E-01
  17.000   1.452796E+02   -3.934282E+00   -4.6037E-01
  17.500   1.433528E+02   -3.774674E+00   -4.6080E-01
  18.000   1.415030E+02   -3.626611E+00   -4.6133E-01
  18.500   1.397244E+02   -3.489142E+00   -4.6197E-01
  19.000   1.380122E+02   -3.361229E+00   -4.6274E-01
  19.500   1.363618E+02   -3.241918E+00   -4.6360E-01
  20.000   1.347691E+02   -3.130176E+00   -4.6452E-01
  21.000   1.317426E+02   -2.926822E+00   -4.6654E-01
  22.000   1.289078E+02   -2.746272E+00   -4.6869E-01
  23.000   1.262437E+02   -2.584884E+00   -4.7093E-01
  24.000   1.237327E+02   -2.439580E+00   -4.7320E-01
  25.000   1.213599E+02   -2.308153E+00   -4.7548E-01
  26.000   1.191125E+02   -2.188618E+00   -4.7773E-01
  27.000   1.169792E+02   -2.079427E+00   -4.7995E-01
  28.000   1.149505E+02   -1.979357E+00   -4.8214E-01
  29.000   1.130179E+02   -1.887247E+00   -4.8426E-01
  30.000   1.111737E+02   -1.802245E+00   -4.8633E-01
  31.000   1.094113E+02   -1.723564E+00   -4.8835E-01
  32.000   1.077247E+02   -1.650515E+00   -4.9029E-01
  33.000   1.061085E+02   -1.582588E+00   -4.9219E-01
  34.000   1.045580E+02   -1.519232E+00   -4.9402E-01
  35.000   1.030687E+02   -1.459943E+00   -4.9577E-01
  36.000   1.016368E+02   -1.404514E+00   -4.9748E-01
  37.000   1.002585E+02   -1.352539E+00   -4.9915E-01
  38.000   9.893070E+01   -1.303631E+00   -5.0073E-01
  39.000   9.765030E+01   -1.257644E+00   -5.0228E-01
  40.000   9.641453E+01   -1.214306E+00   -5.0379E-01
  42.000   9.406706E+01   -1.134686E+00   -5.0663E-01
  44.000   9.187026E+01   -1.063376E+00   -5.0929E-01
  46.000   8.980875E+01   -9.992324E-01   -5.1181E-01
  48.000   8.786928E+01   -9.412126E-01   -5.1415E-01
  50.000   8.604029E+01   -8.886219E-01   -5.1640E-01
  52.000   8.431169E+01   -8.406841E-01   -5.1850E-01
  54.000   8.267483E+01   -7.968341E-01   -5.2046E-01
  56.000   8.112183E+01   -7.567326E-01   -5.2239E-01
  58.000   7.964579E+01   -7.198093E-01   -5.2418E-01
  60.000   7.824065E+01   -6.858090E-01   -5.2592E-01
  65.000   7.500340E+01   -6.113958E-01   -5.2985E-01
  70.000   7.210533E+01   -5.498128E-01   -5.3376E-01
  75.000   6.949158E+01   -4.965592E-01   -5.3592E-01
  77.350   6.835124E+01   -4.744620E-01   -5.3693E-01
  80.000   6.712297E+01   -4.531464E-01   -5.4008E-01
  85.000   6.494943E+01   -4.163797E-01   -5.4492E-01
  90.000   6.295321E+01   -3.830765E-01   -5.4766E-01
  95.000   6.111100E+01   -3.544130E-01   -5.5095E-01
 100.000   5.940322E+01   -3.292653E-01   -5.5429E-01
 105.000   5.781338E+01   -3.071040E-01   -5.5776E-01
 110.000   5.632805E+01   -2.874264E-01   -5.6130E-01
 115.000   5.493566E+01   -2.698301E-01   -5.6485E-01
 120.000   5.362685E+01   -2.539697E-01   -5.6830E-01
 125.000   5.239349E+01   -2.395961E-01   -5.7163E-01
 130.000   5.122877E+01   -2.264933E-01   -5.7476E-01
 135.000   5.012671E+01   -2.144977E-01   -5.7768E-01
 140.000   4.908219E+01   -2.034661E-01   -5.8036E-01
 145.000   4.809063E+01   -1.932887E-01   -5.8279E-01
 150.000   4.714804E+01   -1.838679E-01   -5.8497E-01
 155.000   4.625082E+01   -1.751251E-01   -5.8690E-01
 160.000   4.539578E+01   -1.669912E-01   -5.8857E-01
 165.000   4.457999E+01   -1.594081E-01   -5.9000E-01
 170.000   4.380086E+01   -1.523241E-01   -5.9120E-01
 175.000   4.305600E+01   -1.456947E-01   -5.9217E-01
 180.000   4.234323E+01   -1.394802E-01   -5.9293E-01
 185.000   4.166056E+01   -1.336455E-01   -5.9347E-01
 190.000   4.100619E+01   -1.281592E-01   -5.9382E-01
 195.000   4.037844E+01   -1.229930E-01   -5.9397E-01
 200.000   3.977577E+01   -1.181218E-01   -5.9394E-01
 205.000   3.919676E+01   -1.135227E-01   -5.9373E-01
 210.000   3.864012E+01   -1.091750E-01   -5.9334E-01
 215.000   3.810463E+01   -1.050599E-01   -5.9279E-01
 220.000   3.758916E+01   -1.011606E-01   -5.9207E-01
 225.000   3.709269E+01   -9.746151E-02   -5.9119E-01
 230.000   3.661424E+01   -9.394859E-02   -5.9016E-01
 235.000   3.615291E+01   -9.060914E-02   -5.8897E-01
 240.000   3.570788E+01   -8.743143E-02   -5.8764E-01
 245.000   3.527835E+01   -8.440478E-02   -5.8617E-01
 250.000   3.486359E+01   -8.151953E-02   -5.8456E-01
 255.000   3.446293E+01   -7.876675E-02   -5.8282E-01
 260.000   3.407572E+01   -7.613833E-02   -5.8094E-01
 265.000   3.370135E+01   -7.362672E-02   -5.7894E-01
 270.000   3.333927E+01   -7.122514E-02   -5.7682E-01
 273.150   3.311722E+01   -6.976585E-02   -5.7543E-01
 275.000   3.298893E+01   -6.892725E-02   -5.7459E-01
 280.000   3.264983E+01   -6.672728E-02   -5.7224E-01
 285.000   3.232150E+01   -6.461980E-02   -5.6980E-01
 290.000   3.200349E+01   -6.259992E-02   -5.6725E-01
 295.000   3.169536E+01   -6.066307E-02   -5.6461E-01
 300.000   3.139673E+01   -5.880497E-02   -5.6189E-01
 305.000   3.110719E+01   -5.702166E-02   -5.5909E-01
 310.000   3.082639E+01   -5.530943E-02   -5.5621E-01
 315.000   3.055398E+01   -5.366499E-02   -5.5327E-01
 320.000   3.028963E+01   -5.208499E-02   -5.5026E-01
 325.000   3.003303E+01   -5.056641E-02   -5.4720E-01
