Temperature             Resistance
(Kelvin)                (Ohms)

1.28425017880862E+00   1.20626492068638E+04
1.35061595736712E+00   1.08017427247664E+04
1.40703942435205E+00   9.89926972555812E+03
1.60820361164267E+00   7.57837359344653E+03
1.80108296423138E+00   6.14603502863242E+03
2.00404583611263E+00   5.11231138761156E+03
2.20478559051735E+00   4.37539193151054E+03
2.40555612156039E+00   3.82411069976692E+03
2.60912365476895E+00   3.39173780156424E+03
2.81323444613720E+00   3.04955319092781E+03
3.00976918403651E+00   2.78303751084784E+03
3.20119468779304E+00   2.56636583502209E+03
3.40487680035637E+00   2.37306683728314E+03
3.60090586894116E+00   2.21451231973946E+03
3.80612471673327E+00   2.07203301408566E+03
4.00798441134698E+00   1.94992061412232E+03
4.20460378312272E+00   1.84630065562374E+03
4.45175840502213E+00   1.73280011669025E+03
4.86500171116110E+00   1.57416448410764E+03
5.38529058303048E+00   1.41698256252493E+03
6.11233504901011E+00   1.25012795914092E+03
6.92209936609675E+00   1.11141449116109E+03
7.94030213859746E+00   9.82631058408473E+02
8.96319320622892E+00   8.85644407883728E+02
9.98129422775961E+00   8.09816887185031E+02
1.09911227699334E+01   7.49075406312978E+02
1.19976750159932E+01   6.98860384925105E+02
1.30022499103387E+01   6.56504712936422E+02
1.40026944289222E+01   6.20313562739966E+02
1.49962210814627E+01   5.88964160222192E+02
1.59930337191365E+01   5.61264188887997E+02
1.69836782554301E+01   5.36759610657295E+02
1.79765854882781E+01   5.14681401065962E+02
1.89710234931065E+01   4.94742693029526E+02
1.99676874115727E+01   4.76560326839035E+02
2.10722125951605E+01   4.58216546713582E+02
2.26857465908917E+01   4.34329873979242E+02
2.43243188540541E+01   4.12885451289474E+02
2.59649271644227E+01   3.93858859276778E+02
2.75917075608880E+01   3.76923476949373E+02
2.92000198915244E+01   3.61783549537587E+02
3.09966683096814E+01   3.46466369435712E+02
3.30776818372704E+01   3.30599172306850E+02
3.60585713238397E+01   3.10470276309523E+02
3.90389281217221E+01   2.93090323911354E+02
4.20320012733999E+01   2.77853317891825E+02
4.50393867335469E+01   2.64254652914546E+02
4.80578033245884E+01   2.52146670629785E+02
5.00851401371206E+01   2.44626437985639E+02
5.51386619929664E+01   2.28153291039995E+02
6.01858794256952E+01   2.14075510455830E+02
6.52203971991084E+01   2.01930632624553E+02
7.02507781354582E+01   1.91274006942978E+02
7.52759552197379E+01   1.81915336246892E+02
8.02930798821533E+01   1.73531447641835E+02
8.53000700209975E+01   1.65967165393467E+02
9.03087779816002E+01   1.59180467527851E+02
9.53127224453031E+01   1.52977939803212E+02
1.00307254149995E+02   1.47286132535550E+02
1.10397367491617E+02   1.37132547799906E+02
1.20287121577559E+02   1.28591164053781E+02
1.30300850289241E+02   1.21037548426749E+02
1.40270227794144E+02   1.14417400940376E+02
1.50251418064968E+02   1.08518971496271E+02
1.60233386531100E+02   1.03243250244617E+02
1.70207673116459E+02   9.84955704385360E+01
1.80186834437168E+02   9.41836337873779E+01
1.90159049778034E+02   9.02718481819712E+01
2.00154298250954E+02   8.66747926510039E+01
2.10146695036191E+02   8.33792413114569E+01
2.20142942791060E+02   8.03390424923992E+01
2.30128871565715E+02   7.75443048686869E+01
2.40146563731198E+02   7.49393034725595E+01
2.50144752133814E+02   7.25238297773480E+01
2.60150132863670E+02   7.02776504424590E+01
2.70155358654761E+02   6.81830321062531E+01
2.80139567511951E+02   6.62205959491251E+01
2.90160876504340E+02   6.43760775054767E+01
3.00070802151430E+02   6.26665587736448E+01
3.10049072161032E+02   6.10520433871022E+01
3.14997347497672E+02   6.02834657849898E+01
3.21253091966001E+02   5.93429634942079E+01
3.28736137007559E+02   5.82706432003132E+01
3.33725746237305E+02   5.75745643669979E+01
