Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   1.400   9.991098E+03   -1.482892E+04   -2.0779E+00
   1.500   8.686955E+03   -1.146406E+04   -1.9795E+00
   1.600   7.663964E+03   -9.137821E+03   -1.9077E+00
   1.700   6.837853E+03   -7.456461E+03   -1.8538E+00
   1.800   6.160299E+03   -6.148289E+03   -1.7965E+00
   1.900   5.598740E+03   -5.124538E+03   -1.7391E+00
   2.000   5.128069E+03   -4.321049E+03   -1.6853E+00
   2.100   4.729032E+03   -3.682872E+03   -1.6354E+00
   2.200   4.387357E+03   -3.169082E+03   -1.5891E+00
   2.300   4.092007E+03   -2.751684E+03   -1.5466E+00
   2.400   3.834532E+03   -2.409049E+03   -1.5078E+00
   2.500   3.608238E+03   -2.125224E+03   -1.4725E+00
   2.600   3.407956E+03   -1.887410E+03   -1.4399E+00
   2.700   3.229515E+03   -1.686753E+03   -1.4102E+00
   2.800   3.069621E+03   -1.515684E+03   -1.3826E+00
   2.900   2.925561E+03   -1.369066E+03   -1.3571E+00
   3.000   2.795149E+03   -1.242232E+03   -1.3333E+00
   3.100   2.676560E+03   -1.131999E+03   -1.3111E+00
   3.200   2.568292E+03   -1.035514E+03   -1.2902E+00
   3.300   2.469070E+03   -9.506543E+02   -1.2706E+00
   3.400   2.377834E+03   -8.756066E+02   -1.2520E+00
   3.500   2.293668E+03   -8.089839E+02   -1.2345E+00
   3.600   2.215798E+03   -7.495391E+02   -1.2178E+00
   3.700   2.143553E+03   -6.963119E+02   -1.2019E+00
   3.800   2.076357E+03   -6.484601E+02   -1.1868E+00
   3.900   2.013703E+03   -6.053192E+02   -1.1723E+00
   4.000   1.955156E+03   -5.662700E+02   -1.1585E+00
   4.200   1.848882E+03   -4.985954E+02   -1.1326E+00
   4.400   1.754964E+03   -4.422534E+02   -1.1088E+00
   4.600   1.671377E+03   -3.949078E+02   -1.0869E+00
   4.800   1.596528E+03   -3.546840E+02   -1.0664E+00
   5.000   1.529105E+03   -3.203931E+02   -1.0476E+00
   5.200   1.468061E+03   -2.907681E+02   -1.0299E+00
   5.400   1.412529E+03   -2.651797E+02   -1.0138E+00
   5.600   1.361775E+03   -2.428334E+02   -9.9860E-01
   5.800   1.315219E+03   -2.231437E+02   -9.8404E-01
   6.000   1.272360E+03   -2.058151E+02   -9.7055E-01
   6.500   1.178655E+03   -1.706402E+02   -9.4104E-01
   7.000   1.100316E+03   -1.439382E+02   -9.1571E-01
   7.500   1.033747E+03   -1.231489E+02   -8.9346E-01
   8.000   9.764397E+02   -1.067314E+02   -8.7445E-01
   8.500   9.264911E+02   -9.350176E+01   -8.5782E-01
   9.000   8.825363E+02   -8.268417E+01   -8.4320E-01
   9.500   8.435007E+02   -7.371974E+01   -8.3027E-01
  10.000   8.085748E+02   -6.620767E+01   -8.1882E-01
  10.500   7.771022E+02   -5.984609E+01   -8.0862E-01
  11.000   7.485759E+02   -5.440184E+01   -7.9941E-01
  11.500   7.225744E+02   -4.971529E+01   -7.9123E-01
  12.000   6.987561E+02   -4.565626E+01   -7.8407E-01
  12.500   6.768362E+02   -4.209022E+01   -7.7733E-01
  13.000   6.566026E+02   -3.890423E+01   -7.7026E-01
  13.500   6.378675E+02   -3.610526E+01   -7.6414E-01
  14.000   6.204318E+02   -3.369964E+01   -7.6043E-01
  14.500   6.041232E+02   -3.156200E+01   -7.5754E-01
  15.000   5.888437E+02   -2.958115E+01   -7.5354E-01
  15.500   5.745131E+02   -2.777375E+01   -7.4932E-01
  16.000   5.610388E+02   -2.615316E+01   -7.4585E-01
  16.500   5.483341E+02   -2.468779E+01   -7.4288E-01
  17.000   5.363297E+02   -2.335063E+01   -7.4014E-01
  17.500   5.249643E+02   -2.212885E+01   -7.3768E-01
  18.000   5.141834E+02   -2.101132E+01   -7.3554E-01
  18.500   5.039377E+02   -1.998543E+01   -7.3368E-01
  19.000   4.941845E+02   -1.904063E+01   -7.3206E-01
  19.500   4.848851E+02   -1.816813E+01   -7.3064E-01
  20.000   4.760055E+02   -1.736060E+01   -7.2943E-01
  21.000   4.593855E+02   -1.591438E+01   -7.2750E-01
  22.000   4.441135E+02   -1.465754E+01   -7.2609E-01
  23.000   4.300181E+02   -1.355748E+01   -7.2514E-01
  24.000   4.169561E+02   -1.258605E+01   -7.2445E-01
  25.000   4.048092E+02   -1.172426E+01   -7.2406E-01
  26.000   3.934772E+02   -1.095415E+01   -7.2382E-01
  27.000   3.828747E+02   -1.026275E+01   -7.2372E-01
  28.000   3.729290E+02   -9.639285E+00   -7.2373E-01
  29.000   3.635768E+02   -9.074186E+00   -7.2378E-01
  30.000   3.547634E+02   -8.560483E+00   -7.2390E-01
  31.000   3.464410E+02   -8.091503E+00   -7.2404E-01
  32.000   3.385672E+02   -7.662138E+00   -7.2419E-01
  33.000   3.311050E+02   -7.267908E+00   -7.2437E-01
  34.000   3.240209E+02   -6.904914E+00   -7.2454E-01
  35.000   3.172861E+02   -6.569245E+00   -7.2466E-01
  36.000   3.108740E+02   -6.259027E+00   -7.2481E-01
  37.000   3.047604E+02   -5.971492E+00   -7.2498E-01
  38.000   2.989244E+02   -5.703839E+00   -7.2509E-01
  39.000   2.933465E+02   -5.454809E+00   -7.2521E-01
  40.000   2.880091E+02   -5.222556E+00   -7.2533E-01
  42.000   2.779939E+02   -4.802027E+00   -7.2550E-01
  44.000   2.687670E+02   -4.432545E+00   -7.2565E-01
  46.000   2.602350E+02   -4.106098E+00   -7.2581E-01
  48.000   2.523187E+02   -3.815830E+00   -7.2591E-01
  50.000   2.449507E+02   -3.557005E+00   -7.2607E-01
  52.000   2.380729E+02   -3.324773E+00   -7.2620E-01
  54.000   2.316363E+02   -3.115457E+00   -7.2629E-01
  56.000   2.255972E+02   -2.926816E+00   -7.2652E-01
  58.000   2.199176E+02   -2.755450E+00   -7.2671E-01
  60.000   2.145651E+02   -2.599593E+00   -7.2694E-01
  65.000   2.024306E+02   -2.266402E+00   -7.2774E-01
  70.000   1.917955E+02   -1.996573E+00   -7.2869E-01
  75.000   1.823826E+02   -1.776204E+00   -7.3042E-01
  77.350   1.783152E+02   -1.686422E+00   -7.3154E-01
  80.000   1.739727E+02   -1.592118E+00   -7.3212E-01
  85.000   1.664154E+02   -1.435827E+00   -7.3338E-01
  90.000   1.595721E+02   -1.304768E+00   -7.3590E-01
  95.000   1.533373E+02   -1.191994E+00   -7.3850E-01
 100.000   1.476267E+02   -1.094517E+00   -7.4141E-01
 105.000   1.423716E+02   -1.009351E+00   -7.4440E-01
 110.000   1.375161E+02   -9.344441E-01   -7.4747E-01
 115.000   1.330126E+02   -8.682355E-01   -7.5066E-01
 120.000   1.288217E+02   -8.092321E-01   -7.5382E-01
 125.000   1.249099E+02   -7.564403E-01   -7.5699E-01
 130.000   1.212485E+02   -7.089359E-01   -7.6011E-01
 135.000   1.178128E+02   -6.660379E-01   -7.6320E-01
 140.000   1.145816E+02   -6.271017E-01   -7.6622E-01
 145.000   1.115360E+02   -5.916544E-01   -7.6917E-01
 150.000   1.086599E+02   -5.592488E-01   -7.7202E-01
 155.000   1.059390E+02   -5.295450E-01   -7.7478E-01
 160.000   1.033605E+02   -5.022199E-01   -7.7743E-01
 165.000   1.009132E+02   -4.770241E-01   -7.7997E-01
 170.000   9.858714E+01   -4.537207E-01   -7.8238E-01
 175.000   9.637319E+01   -4.321225E-01   -7.8467E-01
 180.000   9.426337E+01   -4.120521E-01   -7.8683E-01
 185.000   9.225036E+01   -3.933670E-01   -7.8886E-01
 190.000   9.032762E+01   -3.759318E-01   -7.9076E-01
 195.000   8.848914E+01   -3.596359E-01   -7.9252E-01
 200.000   8.672953E+01   -3.443746E-01   -7.9413E-01
 205.000   8.504382E+01   -3.300613E-01   -7.9562E-01
 210.000   8.342748E+01   -3.166135E-01   -7.9697E-01
 215.000   8.187635E+01   -3.039623E-01   -7.9818E-01
 220.000   8.038664E+01   -2.920421E-01   -7.9925E-01
 225.000   7.895481E+01   -2.807976E-01   -8.0020E-01
 230.000   7.757762E+01   -2.701759E-01   -8.0101E-01
 235.000   7.625208E+01   -2.601319E-01   -8.0170E-01
 240.000   7.497541E+01   -2.506226E-01   -8.0226E-01
 245.000   7.374503E+01   -2.416111E-01   -8.0269E-01
 250.000   7.255853E+01   -2.330618E-01   -8.0301E-01
 255.000   7.141369E+01   -2.249442E-01   -8.0322E-01
 260.000   7.030842E+01   -2.172288E-01   -8.0331E-01
 265.000   6.924077E+01   -2.098900E-01   -8.0330E-01
 270.000   6.820893E+01   -2.029032E-01   -8.0318E-01
 273.150   6.757648E+01   -1.986728E-01   -8.0305E-01
 275.000   6.721119E+01   -1.962468E-01   -8.0296E-01
 280.000   6.624595E+01   -1.899001E-01   -8.0265E-01
 285.000   6.531170E+01   -1.838447E-01   -8.0224E-01
 290.000   6.440705E+01   -1.780628E-01   -8.0175E-01
 295.000   6.353065E+01   -1.725390E-01   -8.0117E-01
 300.000   6.268125E+01   -1.672580E-01   -8.0052E-01
 305.000   6.185768E+01   -1.622064E-01   -7.9979E-01
 310.000   6.105883E+01   -1.573710E-01   -7.9898E-01
 315.000   6.028363E+01   -1.527406E-01   -7.9812E-01
 320.000   5.953110E+01   -1.483034E-01   -7.9718E-01
 325.000   5.880029E+01   -1.440497E-01   -7.9619E-01
