Temperature             Voltage
(Kelvin)                (Volts)

1.20357736378800E+00   1.70447
1.29400906025936E+00   1.70350
1.40486907646885E+00   1.70213
1.69987978500147E+00   1.69767
1.99819731230558E+00   1.69197
2.40331007027110E+00   1.68250
2.81713784499100E+00   1.67129
3.21628366348186E+00   1.65950
3.70534578547428E+00   1.64408
4.19755849418272E+00   1.62744
5.02145209870667E+00   1.59722
6.04196787067620E+00   1.55794
7.04206943562320E+00   1.51891
8.05950636147161E+00   1.48098
9.07925785531120E+00   1.44651
1.00979086833752E+01   1.41579
1.11119219866959E+01   1.38837
1.21152740367356E+01   1.36361
1.31186620847694E+01   1.34077
1.41150600114437E+01   1.31963
1.51095400076830E+01   1.29974
1.60959668363795E+01   1.28090
1.70790195702367E+01   1.26284
1.80627431454765E+01   1.24531
1.90484604756887E+01   1.22809
2.00352656031770E+01   1.21088
2.10256733883139E+01   1.193044
2.18166371903077E+01   1.177616
2.26147038280702E+01   1.160367
2.32064516609964E+01   1.147237
2.38160312824559E+01   1.136058
2.44213901077073E+01   1.128401
2.50295502270360E+01   1.123492
2.56409621095976E+01   1.120108
2.64591358363449E+01   1.116703
2.72669325655363E+01   1.113999
2.80830462073431E+01   1.111610
2.90989852161320E+01   1.108932
3.01092942658779E+01   1.106490
3.21284749590665E+01   1.102059
3.51457855906457E+01   1.096099
3.81486737214134E+01   1.090581
4.21479107394164E+01   1.083518
4.61449216106054E+01   1.076542
5.21376190580217E+01   1.065986
5.81280142055617E+01   1.055278
6.41267969132853E+01   1.044389
7.01247645315311E+01   1.033308
7.61289437595577E+01   1.022003
8.21117389310160E+01   1.010523
8.81203147591537E+01   0.998777
9.41081711583925E+01   0.986875
1.00096031277014E+02   0.974770
1.10097865359227E+02   0.954225
1.25082045983379E+02   0.922700
1.40096890982190E+02   0.890360
1.55087129956688E+02   0.857444
1.70081492649568E+02   0.823988
1.85067221425711E+02   0.790093
2.00051986318225E+02   0.755802
2.15053630402922E+02   0.721113
2.30072024267719E+02   0.686057
2.45061970453530E+02   0.650787
2.60069793112532E+02   0.615232
2.75073165949869E+02   0.579507
2.90069161726270E+02   0.543655
3.05065349659608E+02   0.507680
3.20071771674579E+02   0.471539
3.28389120013024E+02   0.451440
3.44833747595856E+02   0.411460
3.59822553683775E+02   0.374868
3.74801296969630E+02   0.338069
3.89792031473167E+02   0.301016
4.04773485078036E+02   0.263764
4.19777841509788E+02   0.226290
4.34749825819316E+02   0.188835
4.49747503839000E+02   0.151558
4.64747625109741E+02   0.115212
4.79731032520104E+02   0.0812908
4.89717163879690E+02   0.0611751
4.99704753982109E+02   0.0439860
5.04703814515574E+02   0.0366815
