Temp.     Voltage    Sensitivity
(Kelvin)  (Volts)    (milliVolts/Kelvin)

   1.400   1.70220    -1.301017E+01
   1.500   1.70083    -1.440378E+01
   1.600   1.69932    -1.577927E+01
   1.700   1.69767    -1.713668E+01
   1.800   1.69589    -1.847273E+01
   1.900   1.69398    -1.978418E+01
   2.000   1.69193    -2.107101E+01
   2.100   1.68976    -2.229802E+01
   2.200   1.68748    -2.343242E+01
   2.300   1.68508    -2.447420E+01
   2.400   1.68259    -2.542338E+01
   2.500   1.68000    -2.628592E+01
   2.600   1.67733    -2.706861E+01
   2.700   1.67459    -2.777147E+01
   2.800   1.67178    -2.839448E+01
   2.900   1.66891    -2.895270E+01
   3.000   1.66599    -2.947426E+01
   3.100   1.66302    -2.995980E+01
   3.200   1.66000    -3.040933E+01
   3.300   1.65694    -3.083747E+01
   3.400   1.65383    -3.127075E+01
   3.500   1.65068    -3.170974E+01
   3.600   1.64749    -3.215442E+01
   3.700   1.64425    -3.260481E+01
   3.800   1.64097    -3.306472E+01
   3.900   1.63764    -3.353882E+01
   4.000   1.63426    -3.402715E+01
   4.200   1.62735    -3.504642E+01
   4.400   1.62025    -3.600121E+01
   4.600   1.61297    -3.677594E+01
   4.800   1.60555    -3.737060E+01
   5.000   1.59803    -3.778519E+01
   5.200   1.59044    -3.808134E+01
   5.400   1.58280    -3.835121E+01
   5.600   1.57510    -3.859567E+01
   5.800   1.56736    -3.881473E+01
   6.000   1.55958    -3.900840E+01
   6.500   1.54001    -3.915948E+01
   7.000   1.52053    -3.862471E+01
   7.500   1.50148    -3.749798E+01
   8.000   1.48311    -3.591101E+01
   8.500   1.46562    -3.405293E+01
   9.000   1.44906    -3.221722E+01
   9.500   1.43340    -3.044261E+01
  10.000   1.41859    -2.879219E+01
  10.500   1.40458    -2.729514E+01
  11.000   1.39126    -2.600822E+01
  11.500   1.37854    -2.489599E+01
  12.000   1.36635    -2.387542E+01
  12.500   1.35465    -2.294659E+01
  13.000   1.34339    -2.211677E+01
  13.500   1.33252    -2.137648E+01
  14.000   1.32200    -2.070291E+01
  14.500   1.31180    -2.010407E+01
  15.000   1.30188    -1.960046E+01
  15.500   1.29219    -1.917323E+01
  16.000   1.28270    -1.877918E+01
  16.500   1.27340    -1.842174E+01
  17.000   1.26427    -1.811091E+01
  17.500   1.25528    -1.784697E+01
  18.000   1.24642    -1.762991E+01
  18.500   1.23764    -1.747146E+01
  19.000   1.22893    -1.739027E+01
  19.500   1.22024    -1.740942E+01
  20.000   1.21150    -1.756179E+01
  21.000   1.193522   -1.860654E+01
  22.000   1.173800   -2.107735E+01
  23.000   1.151688   -2.210949E+01
  24.000   1.133375   -1.368446E+01
  25.000   1.123686   -6.618826E+00
  26.000   1.118500   -4.201353E+00
  27.000   1.114844   -3.241750E+00
  28.000   1.111842   -2.804240E+00
  29.000   1.109182   -2.533823E+00
  30.000   1.106746   -2.347024E+00
  31.000   1.104473   -2.203600E+00
  32.000   1.102327   -2.094834E+00
  33.000   1.100274   -2.013262E+00
  34.000   1.098295   -1.946989E+00
  35.000   1.096375   -1.895855E+00
  36.000   1.094500   -1.856825E+00
  37.000   1.092659   -1.824703E+00
  38.000   1.090848   -1.799401E+00
  39.000   1.089059   -1.780011E+00
  40.000   1.087286   -1.764967E+00
  42.000   1.083776   -1.747831E+00
  44.000   1.080286   -1.743953E+00
  46.000   1.076795   -1.748015E+00
  48.000   1.073291   -1.756593E+00
  50.000   1.069769   -1.765204E+00
  52.000   1.066230   -1.773827E+00
  54.000   1.062674   -1.782502E+00
  56.000   1.059100   -1.791280E+00
  58.000   1.055508   -1.800161E+00
  60.000   1.051899   -1.809402E+00
  65.000   1.042789   -1.835463E+00
  70.000   1.033540   -1.864160E+00
  75.000   1.024145   -1.893937E+00
  77.350   1.019678   -1.908058E+00
  80.000   1.014600   -1.924209E+00
  85.000   1.004902   -1.954457E+00
  90.000   0.995063   -1.981210E+00
  95.000   0.985084   -2.010839E+00
 100.000   0.974965   -2.034670E+00
 105.000   0.964746   -2.053459E+00
 110.000   0.954428   -2.073973E+00
 115.000   0.944006   -2.094546E+00
 120.000   0.933485   -2.113374E+00
 125.000   0.922875   -2.130457E+00
 130.000   0.912183   -2.146281E+00
 135.000   0.901414   -2.161366E+00
 140.000   0.890571   -2.175711E+00
 145.000   0.879658   -2.189312E+00
 150.000   0.868679   -2.202164E+00
 155.000   0.857637   -2.214266E+00
 160.000   0.846537   -2.225730E+00
 165.000   0.835381   -2.236675E+00
 170.000   0.824171   -2.247103E+00
 175.000   0.812911   -2.257042E+00
 180.000   0.801602   -2.266524E+00
 185.000   0.790246   -2.275548E+00
 190.000   0.778847   -2.284200E+00
 195.000   0.767405   -2.292566E+00
 200.000   0.755922   -2.300648E+00
 205.000   0.744399   -2.308494E+00
 210.000   0.732837   -2.316155E+00
 215.000   0.721237   -2.323631E+00
 220.000   0.709601   -2.330810E+00
 225.000   0.697930   -2.337573E+00
 230.000   0.686226   -2.343921E+00
 235.000   0.674491   -2.349966E+00
 240.000   0.662727   -2.355828E+00
 245.000   0.650933   -2.361508E+00
 250.000   0.639112   -2.366808E+00
 255.000   0.627266   -2.371522E+00
 260.000   0.615398   -2.375648E+00
 265.000   0.603510   -2.379377E+00
 270.000   0.591605   -2.382905E+00
 273.150   0.584095   -2.385026E+00
 275.000   0.579682   -2.386234E+00
 280.000   0.567743   -2.389341E+00
 285.000   0.555789   -2.392201E+00
 290.000   0.543821   -2.394814E+00
 295.000   0.531840   -2.397437E+00
 300.000   0.519846   -2.400342E+00
 305.000   0.507837   -2.403529E+00
 310.000   0.495811   -2.406779E+00
 315.000   0.483769   -2.409862E+00
 320.000   0.471712   -2.412777E+00
 325.000   0.459639   -2.417094E+00
 330.000   0.447537   -2.424209E+00
 335.000   0.435399   -2.430474E+00
 340.000   0.423235   -2.434724E+00
 345.000   0.411055   -2.436961E+00
 350.000   0.398866   -2.439135E+00
 355.000   0.386661   -2.442963E+00
 360.000   0.374433   -2.448442E+00
 365.000   0.362176   -2.454393E+00
 370.000   0.349890   -2.459791E+00
 375.000   0.337579   -2.464635E+00
 380.000   0.325244   -2.469360E+00
 385.000   0.312885   -2.474337E+00
 390.000   0.300500   -2.479566E+00
 395.000   0.288090   -2.484607E+00
 400.000   0.275655   -2.489086E+00
 405.000   0.263200   -2.493004E+00
 410.000   0.250726   -2.496392E+00
 415.000   0.238237   -2.499275E+00
 420.000   0.225734   -2.501654E+00
 425.000   0.213222   -2.502668E+00
 430.000   0.200711   -2.501597E+00
 435.000   0.188210   -2.498438E+00
 440.000   0.175732   -2.491787E+00
 445.000   0.163300   -2.480489E+00
 450.000   0.150935   -2.464538E+00
 455.000   0.138667   -2.440864E+00
 460.000   0.126544   -2.406945E+00
 465.000   0.114615   -2.362768E+00
 470.000   0.102941   -2.303595E+00
 475.000   0.091611   -2.225525E+00
 480.000   0.080717   -2.128554E+00
 485.000   0.070360   -2.010961E+00
 490.000   0.060645   -1.871356E+00
 495.000   0.051675   -1.713946E+00
 500.000   0.043529   -1.542113E+00
