Temperature             Resistance
(Kelvin)                (Ohms)

1.21023189943579E+00   3.61341100355585E+06
1.30070544792124E+00   2.34433411402479E+06
1.40496044204189E+00   1.31083908842336E+06
1.60042635265969E+00   4.67893753783959E+05
1.80135645486205E+00   1.81872476009004E+05
2.00010344056505E+00   8.65997440186820E+04
2.19914280659063E+00   4.63141710197118E+04
2.39698475614282E+00   2.71871365256560E+04
2.60109267469551E+00   1.68549712653005E+04
2.80042369187361E+00   1.12091868738151E+04
3.00077254365522E+00   7.79364969658986E+03
3.20101713902258E+00   5.64185068748300E+03
3.40165736585233E+00   4.21624758524917E+03
3.60259710902787E+00   3.24041748667249E+03
3.79934112829417E+00   2.56361019555753E+03
4.00199633325552E+00   2.05509815044387E+03
4.19877255476664E+00   1.68872174903053E+03
4.60269657388466E+00   1.18064156314097E+03
5.01352328871215E+00   8.63459016924946E+02
5.52807686086016E+00   6.18327200024819E+02
6.21907901036616E+00   4.26339892173024E+02
6.91864320440751E+00   3.12739422438932E+02
7.93380641003502E+00   2.17814237093200E+02
8.94482890038636E+00   1.63417720879184E+02
9.95482432884295E+00   1.29089749908011E+02
1.09599782771033E+01   1.06046884384546E+02
1.19624028615893E+01   8.97440442448357E+01
1.29641007831260E+01   7.77219664361109E+01
1.39631560595567E+01   6.85638575223582E+01
1.49584547893275E+01   6.13993180650932E+01
1.59590051537295E+01   5.56359952967840E+01
1.69538375619418E+01   5.09380967446309E+01
1.79521049572992E+01   4.70245748153377E+01
1.89512920828697E+01   4.37215217659745E+01
1.99536946939255E+01   4.09008803746129E+01
2.10611898884782E+01   3.82337445006980E+01
2.26816360233497E+01   3.49980762392578E+01
2.43163396445750E+01   3.23293032805851E+01
2.59435393099175E+01   3.01294448786865E+01
2.75544750915923E+01   2.82874537976943E+01
2.91542501252675E+01   2.67316842376622E+01
3.09440545378286E+01   2.52334944541879E+01
3.30224510116995E+01   2.37516906360219E+01
3.59997560737459E+01   2.19918617872118E+01
3.89773000806491E+01   2.05670865855991E+01
4.19682768894937E+01   1.93722451815577E+01
4.49777482171142E+01   1.83649272686015E+01
4.80027001761660E+01   1.74948987647710E+01
5.00313066935407E+01   1.69775782254328E+01
5.50897683173705E+01   1.58812533230974E+01
6.01379580262085E+01   1.49905790004221E+01
6.51765175590270E+01   1.42463675801316E+01
7.02056243938309E+01   1.36197253162728E+01
7.52206311580770E+01   1.30815433003639E+01
8.02426882584329E+01   1.26152927036263E+01
8.52545228206709E+01   1.22045123702928E+01
9.02567536876656E+01   1.18431964235001E+01
9.52635634014546E+01   1.15153156538022E+01
1.00272985986361E+02   1.12210521142516E+01
1.10267298204883E+02   1.07085192856459E+01
1.20250932265801E+02   1.02815946738974E+01
1.30260178676194E+02   9.91447552393260E+00
1.40226181776771E+02   9.59492926473373E+00
1.50207404786397E+02   9.31468213671587E+00
1.60197269413070E+02   9.06420036747450E+00
1.70177698196991E+02   8.84192021564240E+00
1.80163340122173E+02   8.63832541762167E+00
1.90136696889744E+02   8.44830207818975E+00
2.00135714329123E+02   8.28277098971173E+00
2.10124985830136E+02   8.12783090107543E+00
2.20124996186236E+02   7.98236683212512E+00
2.30110655666776E+02   7.85358070800957E+00
2.40128949970340E+02   7.73146500459864E+00
2.50130980220727E+02   7.61208053192314E+00
2.60130315082605E+02   7.50208302523429E+00
2.70133363228929E+02   7.39910446435793E+00
2.80117718419880E+02   7.30162400676546E+00
2.90135846446222E+02   7.20861943215592E+00
3.00057711782147E+02   7.12065527376622E+00
3.10036623792571E+02   7.04025165550768E+00
3.14990956460061E+02   7.00112177537293E+00
3.21255590267469E+02   6.95590425473552E+00
3.28758901614204E+02   6.89697621334335E+00
3.33747129173076E+02   6.86194197959246E+00
