Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   1.400   1.358447E+06   -7.535149E+06   -7.7656E+00
   1.500   7.845135E+05   -4.236313E+06   -8.0999E+00
   1.600   4.643777E+05   -2.347194E+06   -8.0872E+00
   1.700   2.863565E+05   -1.321659E+06   -7.8462E+00
   1.800   1.844668E+05   -7.711884E+05   -7.5251E+00
   1.900   1.239807E+05   -4.681846E+05   -7.1749E+00
   2.000   8.650517E+04   -2.969044E+05   -6.8644E+00
   2.100   6.229927E+04   -1.956305E+05   -6.5944E+00
   2.200   4.609526E+04   -1.333036E+05   -6.3622E+00
   2.300   3.489707E+04   -9.347897E+04   -6.1610E+00
   2.400   2.695244E+04   -6.717487E+04   -5.9816E+00
   2.500   2.118347E+04   -4.930496E+04   -5.8188E+00
   2.600   1.691172E+04   -3.686034E+04   -5.6669E+00
   2.700   1.369217E+04   -2.801495E+04   -5.5244E+00
   2.800   1.122790E+04   -2.160655E+04   -5.3882E+00
   2.900   9.314756E+03   -1.688956E+04   -5.2583E+00
   3.000   7.810382E+03   -1.336549E+04   -5.1337E+00
   3.100   6.613225E+03   -1.069786E+04   -5.0147E+00
   3.200   5.650113E+03   -8.653243E+03   -4.9009E+00
   3.300   4.867305E+03   -7.068379E+03   -4.7923E+00
   3.400   4.225032E+03   -5.826651E+03   -4.6889E+00
   3.500   3.693360E+03   -4.844108E+03   -4.5905E+00
   3.600   3.249638E+03   -4.059229E+03   -4.4969E+00
   3.700   2.876444E+03   -3.426816E+03   -4.4079E+00
   3.800   2.560332E+03   -2.912948E+03   -4.3233E+00
   3.900   2.290762E+03   -2.492100E+03   -4.2428E+00
   4.000   2.059462E+03   -2.144856E+03   -4.1659E+00
   4.200   1.686587E+03   -1.615513E+03   -4.0230E+00
   4.400   1.403021E+03   -1.240781E+03   -3.8912E+00
   4.600   1.183395E+03   -9.697627E+02   -3.7696E+00
   4.800   1.010403E+03   -7.698283E+02   -3.6571E+00
   5.000   8.721709E+02   -6.194858E+02   -3.5514E+00
   5.200   7.602435E+02   -5.047343E+02   -3.4523E+00
   5.400   6.685638E+02   -4.157673E+02   -3.3582E+00
   5.600   5.926475E+02   -3.461565E+02   -3.2709E+00
   5.800   5.291646E+02   -2.907111E+02   -3.1864E+00
   6.000   4.756415E+02   -2.461143E+02   -3.1046E+00
   6.500   3.737768E+02   -1.678630E+02   -2.9191E+00
   7.000   3.028623E+02   -1.195125E+02   -2.7623E+00
   7.500   2.515276E+02   -8.790026E+01   -2.6210E+00
   8.000   2.132869E+02   -6.640798E+01   -2.4908E+00
   8.500   1.840450E+02   -5.142554E+01   -2.3751E+00
   9.000   1.611408E+02   -4.078698E+01   -2.2780E+00
   9.500   1.427982E+02   -3.294912E+01   -2.1920E+00
  10.000   1.278775E+02   -2.700314E+01   -2.1116E+00
  10.500   1.155703E+02   -2.241522E+01   -2.0365E+00
  11.000   1.052962E+02   -1.882623E+01   -1.9667E+00
  11.500   9.662145E+01   -1.597753E+01   -1.9017E+00
  12.000   8.922550E+01   -1.368908E+01   -1.8411E+00
  12.500   8.286118E+01   -1.183001E+01   -1.7846E+00
  13.000   7.733976E+01   -1.030581E+01   -1.7323E+00
  13.500   7.251195E+01   -9.043437E+00   -1.6837E+00
  14.000   6.826169E+01   -7.989133E+00   -1.6385E+00
  14.500   6.449528E+01   -7.100826E+00   -1.5964E+00
  15.000   6.113847E+01   -6.346979E+00   -1.5572E+00
  15.500   5.813020E+01   -5.702241E+00   -1.5205E+00
  16.000   5.542126E+01   -5.147390E+00   -1.4860E+00
  16.500   5.297051E+01   -4.666664E+00   -1.4536E+00
  17.000   5.074427E+01   -4.247938E+00   -1.4231E+00
  17.500   4.871397E+01   -3.881062E+00   -1.3942E+00
  18.000   4.685588E+01   -3.558170E+00   -1.3669E+00
  18.500   4.514962E+01   -3.272523E+00   -1.3409E+00
  19.000   4.357803E+01   -3.018858E+00   -1.3162E+00
  19.500   4.212621E+01   -2.792573E+00   -1.2927E+00
  20.000   4.078150E+01   -2.590042E+00   -1.2702E+00
  21.000   3.837042E+01   -2.244125E+00   -1.2282E+00
  22.000   3.627220E+01   -1.961351E+00   -1.1896E+00
  23.000   3.443127E+01   -1.727865E+00   -1.1542E+00
  24.000   3.280382E+01   -1.532721E+00   -1.1214E+00
  25.000   3.135545E+01   -1.368533E+00   -1.0911E+00
  26.000   3.005859E+01   -1.228976E+00   -1.0630E+00
  27.000   2.889081E+01   -1.109579E+00   -1.0370E+00
  28.000   2.783386E+01   -1.006813E+00   -1.0128E+00
  29.000   2.687276E+01   -9.174306E-01   -9.9005E-01
  30.000   2.599513E+01   -8.396769E-01   -9.6904E-01
  31.000   2.518994E+01   -7.723331E-01   -9.5047E-01
  32.000   2.444793E+01   -7.126702E-01   -9.3282E-01
  33.000   2.376271E+01   -6.586596E-01   -9.1470E-01
  34.000   2.312879E+01   -6.101079E-01   -8.9688E-01
  35.000   2.254073E+01   -5.668648E-01   -8.8020E-01
  36.000   2.199346E+01   -5.284467E-01   -8.6499E-01
  37.000   2.148251E+01   -4.940019E-01   -8.5083E-01
  38.000   2.100438E+01   -4.627757E-01   -8.3723E-01
  39.000   2.055598E+01   -4.345096E-01   -8.2438E-01
  40.000   2.013451E+01   -4.088000E-01   -8.1214E-01
  42.000   1.936322E+01   -3.638580E-01   -7.8923E-01
  44.000   1.867433E+01   -3.260622E-01   -7.6826E-01
  46.000   1.805516E+01   -2.939499E-01   -7.4891E-01
  48.000   1.749553E+01   -2.663802E-01   -7.3083E-01
  50.000   1.698710E+01   -2.426212E-01   -7.1413E-01
  52.000   1.652300E+01   -2.219298E-01   -6.9844E-01
  54.000   1.609768E+01   -2.037911E-01   -6.8362E-01
  56.000   1.570631E+01   -1.879182E-01   -6.7001E-01
  58.000   1.534483E+01   -1.738376E-01   -6.5707E-01
  60.000   1.500991E+01   -1.613407E-01   -6.4494E-01
  65.000   1.427046E+01   -1.355962E-01   -6.1762E-01
  70.000   1.364408E+01   -1.157766E-01   -5.9398E-01
  75.000   1.310565E+01   -1.001868E-01   -5.7334E-01
  77.350   1.287761E+01   -9.398837E-02   -5.6455E-01
  80.000   1.263703E+01   -8.769874E-02   -5.5519E-01
  85.000   1.222479E+01   -7.753316E-02   -5.3909E-01
  90.000   1.185874E+01   -6.914469E-02   -5.2476E-01
  95.000   1.153105E+01   -6.212812E-02   -5.1185E-01
 100.000   1.123560E+01   -5.622523E-02   -5.0042E-01
 105.000   1.096737E+01   -5.117634E-02   -4.8995E-01
 110.000   1.072282E+01   -4.673887E-02   -4.7947E-01
 115.000   1.049886E+01   -4.298143E-02   -4.7080E-01
 120.000   1.029171E+01   -4.000079E-02   -4.6640E-01
 125.000   1.009835E+01   -3.729756E-02   -4.6168E-01
 130.000   9.919180E+00   -3.432867E-02   -4.4991E-01
 135.000   9.754717E+00   -3.157969E-02   -4.3705E-01
 140.000   9.602189E+00   -2.954739E-02   -4.3080E-01
 145.000   9.458492E+00   -2.795575E-02   -4.2857E-01
 150.000   9.322399E+00   -2.650422E-02   -4.2646E-01
 155.000   9.193262E+00   -2.516464E-02   -4.2428E-01
 160.000   9.070616E+00   -2.390679E-02   -4.2170E-01
 165.000   8.954083E+00   -2.271512E-02   -4.1858E-01
 170.000   8.843383E+00   -2.157275E-02   -4.1470E-01
 175.000   8.738258E+00   -2.048855E-02   -4.1032E-01
 180.000   8.638385E+00   -1.947152E-02   -4.0573E-01
 185.000   8.543426E+00   -1.852454E-02   -4.0113E-01
 190.000   8.453019E+00   -1.765044E-02   -3.9673E-01
 195.000   8.366805E+00   -1.684682E-02   -3.9264E-01
 200.000   8.284436E+00   -1.611169E-02   -3.8896E-01
 205.000   8.205583E+00   -1.543959E-02   -3.8573E-01
 210.000   8.129944E+00   -1.482518E-02   -3.8294E-01
 215.000   8.057244E+00   -1.426244E-02   -3.8058E-01
 220.000   7.987244E+00   -1.374520E-02   -3.7860E-01
 225.000   7.919725E+00   -1.326838E-02   -3.7696E-01
 230.000   7.854503E+00   -1.282604E-02   -3.7558E-01
 235.000   7.791414E+00   -1.241369E-02   -3.7441E-01
 240.000   7.730323E+00   -1.202688E-02   -3.7339E-01
 245.000   7.671109E+00   -1.166182E-02   -3.7246E-01
 250.000   7.613674E+00   -1.131511E-02   -3.7154E-01
 255.000   7.557932E+00   -1.098423E-02   -3.7060E-01
 260.000   7.503810E+00   -1.066655E-02   -3.6959E-01
 265.000   7.451247E+00   -1.036051E-02   -3.6847E-01
 270.000   7.400188E+00   -1.006450E-02   -3.6721E-01
 273.150   7.368772E+00   -9.882835E-03   -3.6634E-01
 275.000   7.350586E+00   -9.777721E-03   -3.6580E-01
 280.000   7.302397E+00   -9.499363E-03   -3.6424E-01
 285.000   7.255579E+00   -9.229223E-03   -3.6252E-01
 290.000   7.210091E+00   -8.967109E-03   -3.6067E-01
 295.000   7.165894E+00   -8.713181E-03   -3.5870E-01
 300.000   7.122946E+00   -8.467651E-03   -3.5664E-01
 305.000   7.081203E+00   -8.230839E-03   -3.5452E-01
 310.000   7.040622E+00   -8.003186E-03   -3.5238E-01
 315.000   7.001156E+00   -7.784963E-03   -3.5027E-01
 320.000   6.962756E+00   -7.576667E-03   -3.4821E-01
 325.000   6.925372E+00   -7.378605E-03   -3.4627E-01
