T,R,p,n,eR,ep,en
280,35248,5.13E-10,0.99087,0.063248,0.19691,0.016098
260,39203,4.94E-10,0.99367,0.3138,0.29503,0.020828
240,44254,4.93E-10,0.99371,0.26817,0.29762,0.022964
220,49986,4.91E-10,0.99389,0.21,0.27,0.02
200,1.49E+05,4.86E-10,0.99,0.74,0.75,0.06
180,2.29E+05,4.64E-10,0.99,1.01,0.94,0.08
160,3.12E+05,4.71E-10,0.99,1.62,1.42,0.12
130,4.66E+05,4.67E-10,0.99,2.51,2,0.17
110,7.18E+05,4.69E-10,0.99,4.19,3.02,0.27
110,7.50E+05,4.82E-10,0.99,4.47,3.22,0.28
110,7.52E+05,4.72E-10,0.99,4.71,3.36,0.3
108,7.41E+05,4.73E-10,0.99,4.43,3.18,0.28
107,8.31E+05,4.67E-10,0.99,3.89,2.72,0.24
107,7.32E+05,4.78E-10,0.99,4.18,3.03,0.27
