t,a,r
80,-2.499e-04±9.179e-05,1584.214±357.27
90,-2.332e-04±3.111e-05,672.197±34.011
100,-2.674e-04±2.689e-05,906.957±53.704
110,-3.489e-04±7.859e-05,455.664±25.227
120,-6.338e-04±1.158e-04,814.607±118.698
130,-5.635e-04±2.100e-05,321.696±5.292
140,-5.596e-04±2.750e-05,467.136±14.624
150,-1.129e-03±7.22e-04,232.319±60.515
160,-7.272e-04±5.93e-05,325.019±9.737
170,-1.078e-03±1.532e-04,152.898±8.699
180,-8.276e-04±3.605e-05,233.651±4.787
190,-2.634e-04±7.596e-04,78.885±7.333
200,-1.611e-03±1.118e-04,96.95±1.621
210,-1.567e-03±3.586e-04,70.211±4.287
220,-2.368e-03±7.610e-05,52.297±0.408
230,-1.228e-03±4.881e-04,46.522±1.642
240,-1.959e-03±1.363e-04,38.489±0.295
250,-2.269e-03±3.374e-04,43.04±1.518
260,-1.935e-03±2.414e-04,30.663±0.311
270,-9.111e-04±9.137e-04,34.669±1.704
280,-1.662e-03±3.470e-04,24.466±0.226
295,-4.977e-03±9.963e-04,25.817±1.614
