Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
16 08 40,98.553,98.545,0.0,0.0016225918333333336,8.5e-05,19.08931568627451,0.0016225918333333336,8.5e-05,19.08931568627451
16 08 49,98.533,98.745,0.0,0.001908925,0.0001,19.08925,0.001908925,0.0001,19.08925
16 08 57,98.545,98.945,0.0,0.00190889,0.0001,19.0889,0.00190889,0.0001,19.0889
16 09 06,98.552,99.145,0.0,0.0019089323333333328,0.0001,19.08932333333333,0.0019089323333333328,0.0001,19.08932333333333
16 09 15,98.543,99.345,0.0,0.001908915666666667,0.0001,19.089156666666668,0.001908915666666667,0.0001,19.089156666666668
16 09 23,98.555,99.545,0.0,0.0019089618333333336,0.0001,19.089618333333334,0.0019089618333333336,0.0001,19.089618333333334
16 09 32,98.55,99.745,0.0,0.0019089675,0.0001,19.089675,0.0019089675,0.0001,19.089675
16 09 40,98.556,99.945,0.0,0.0019089266666666666,0.0001,19.089266666666663,0.0019089266666666666,0.0001,19.089266666666663
16 09 49,98.551,100.145,0.0,0.0019089284999999998,0.0001,19.089284999999997,0.0019089284999999998,0.0001,19.089284999999997
16 09 58,98.536,100.345,0.0,0.0019089581666666665,0.0001,19.089581666666664,0.0019089581666666665,0.0001,19.089581666666664
