Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
16 53 33,15.0,15.0,7.0,0.004907773666666667,0.001,4.9077736666666665,0.004907773666666667,0.001,4.9077736666666665
16 53 38,15.0,14.88,7.0,0.004896842166666667,0.001,4.896842166666667,0.004896842166666667,0.001,4.896842166666667
16 53 43,14.99,14.75,1.0,0.004908929,0.001,4.9089290000000005,0.004908929,0.001,4.9089290000000005
16 53 48,14.96,14.62,0.0,0.004912879666666667,0.001,4.912879666666667,0.004912879666666667,0.001,4.912879666666667
16 53 53,14.84,14.5,0.0,0.0049163029999999995,0.001,4.916302999999999,0.0049163029999999995,0.001,4.916302999999999
16 53 58,14.92,14.38,0.0,0.004920006166666667,0.001,4.920006166666667,0.004920006166666667,0.001,4.920006166666667
16 54 03,15.06,14.25,0.0,0.004923851666666666,0.001,4.923851666666666,0.004923851666666666,0.001,4.923851666666666
16 54 08,14.98,14.12,0.0,0.004944597,0.001,4.944597,0.004944597,0.001,4.944597
16 54 13,14.85,14.0,0.0,0.004946635333333334,0.001,4.946635333333334,0.004946635333333334,0.001,4.946635333333334
16 54 18,14.81,13.88,0.0,0.004929041333333334,0.001,4.929041333333334,0.004929041333333334,0.001,4.929041333333334
16 54 24,14.76,13.75,0.0,0.004927835666666667,0.001,4.927835666666668,0.004927835666666667,0.001,4.927835666666668
16 54 29,14.7,13.62,0.0,0.004938901666666666,0.001,4.938901666666666,0.004938901666666666,0.001,4.938901666666666
16 54 34,14.69,13.5,0.0,0.004932611833333333,0.001,4.932611833333333,0.004932611833333333,0.001,4.932611833333333
16 54 39,14.67,13.38,0.0,0.004937372999999999,0.001,4.937372999999999,0.004937372999999999,0.001,4.937372999999999
16 54 44,14.65,13.25,0.0,0.004929565833333333,0.001,4.929565833333333,0.004929565833333333,0.001,4.929565833333333
16 54 49,14.63,13.12,0.0,0.0049221165,0.001,4.9221165000000004,0.0049221165,0.001,4.9221165000000004
16 54 54,14.62,13.0,0.0,0.004939191333333333,0.001,4.939191333333333,0.004939191333333333,0.001,4.939191333333333
16 54 59,14.6,12.88,0.0,0.004830323,0.001,4.830323,0.004830323,0.001,4.830323
