Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
18 59 22,9.36,9.36,1.0,0.0023087896666666666,0.001,2.3087896666666667,0.0023087896666666666,0.001,2.3087896666666667
18 59 27,9.36,9.44,0.0,0.002289545333333333,0.001,2.2895453333333333,0.002289545333333333,0.001,2.2895453333333333
18 59 32,9.38,9.53,1.0,0.0023125190000000003,0.001,2.3125190000000004,0.0023125190000000003,0.001,2.3125190000000004
18 59 37,9.45,9.61,2.0,0.0023085366666666667,0.001,2.3085366666666665,0.0023085366666666667,0.001,2.3085366666666665
18 59 42,9.61,9.69,0.0,0.002312795833333333,0.001,2.312795833333333,0.002312795833333333,0.001,2.312795833333333
18 59 48,9.65,9.78,2.0,0.002310517833333333,0.001,2.310517833333333,0.002310517833333333,0.001,2.310517833333333
18 59 53,9.7,9.86,4.0,0.0023269413333333335,0.001,2.3269413333333335,0.0023269413333333335,0.001,2.3269413333333335
18 59 58,9.77,10.0,13.0,0.0023013478333333334,0.001,2.3013478333333333,0.0023013478333333334,0.001,2.3013478333333333
19 00 03,9.85,10.0,0.0,0.0023003951666666664,0.001,2.300395166666666,0.0023003951666666664,0.001,2.300395166666666
19 00 08,9.98,10.0,4.0,0.002294993333333333,0.001,2.294993333333333,0.002294993333333333,0.001,2.294993333333333
19 00 12,10.02,10.0,18.0,0.0022980045,0.001,2.2980045,0.0022980045,0.001,2.2980045
19 00 15,10.06,10.0,22.0,0.0022959513333333337,0.001,2.2959513333333335,0.0022959513333333337,0.001,2.2959513333333335
19 00 20,10.05,10.06,1.0,0.0022988186666666665,0.001,2.2988186666666666,0.0022988186666666665,0.001,2.2988186666666666
19 00 26,10.05,10.14,25.0,0.0023041798333333333,0.001,2.3041798333333334,0.0023041798333333333,0.001,2.3041798333333334
19 00 32,10.08,10.23,27.0,0.0022936455,0.001,2.2936455000000002,0.0022936455,0.001,2.2936455000000002
19 00 37,10.13,10.31,15.0,0.002299686333333333,0.001,2.2996863333333333,0.002299686333333333,0.001,2.2996863333333333
19 00 42,10.19,10.39,13.0,0.002294393166666667,0.001,2.294393166666667,0.002294393166666667,0.001,2.294393166666667
19 00 47,10.33,10.48,0.0,0.00229659,0.001,2.2965899999999997,0.00229659,0.001,2.2965899999999997
19 00 52,10.37,10.56,27.0,0.002310800333333333,0.001,2.310800333333333,0.002310800333333333,0.001,2.310800333333333
19 00 58,10.45,10.64,0.0,0.0022879226666666663,0.001,2.2879226666666663,0.0022879226666666663,0.001,2.2879226666666663
19 01 03,10.52,10.73,6.0,0.0022827384999999996,0.001,2.2827384999999993,0.0022827384999999996,0.001,2.2827384999999993
19 01 08,10.74,10.81,10.0,0.0022837945,0.001,2.2837945,0.0022837945,0.001,2.2837945
19 01 13,10.78,10.89,10.0,0.0022774546666666667,0.001,2.277454666666667,0.0022774546666666667,0.001,2.277454666666667
19 01 18,10.82,10.98,1.0,0.0022609083333333334,0.001,2.2609083333333335,0.0022609083333333334,0.001,2.2609083333333335
19 01 24,10.9,11.06,38.0,0.0022595476666666665,0.001,2.2595476666666663,0.0022595476666666665,0.001,2.2595476666666663
19 01 30,10.97,11.14,23.0,0.0023009666666666665,0.001,2.3009666666666666,0.0023009666666666665,0.001,2.3009666666666666
