Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
14 23 50,300.642,300.324,0.0,8.93668e-06,5.500000000000001e-06,1.624850909090909,8.93668e-06,5.500000000000001e-06,1.624850909090909
14 23 56,300.754,300.124,0.0,0.0009170294749999999,0.00055,1.6673263181818179,0.0009170294749999999,0.00055,1.6673263181818179
14 24 02,300.757,299.924,0.0,0.0016674939,0.001,1.6674939,0.0016674939,0.001,1.6674939
14 24 06,300.543,299.724,0.0,0.00166751575,0.001,1.66751575,0.00166751575,0.001,1.66751575
14 24 11,301.449,299.524,0.0,0.0016675223500000002,0.001,1.66752235,0.0016675223500000002,0.001,1.66752235
14 24 16,300.403,299.324,0.0,0.0016675863499999999,0.001,1.6675863499999999,0.0016675863499999999,0.001,1.6675863499999999
14 24 21,301.528,299.124,0.0,0.00166758525,0.001,1.66758525,0.00166758525,0.001,1.66758525
14 24 26,300.149,298.924,0.0,0.00166759785,0.001,1.66759785,0.00166759785,0.001,1.66759785
14 24 31,301.054,298.724,0.0,0.00166756115,0.001,1.6675611499999998,0.00166756115,0.001,1.6675611499999998
14 24 36,300.813,298.524,0.0,0.0016675338500000002,0.001,1.66753385,0.0016675338500000002,0.001,1.66753385
14 24 41,301.431,298.324,0.0,0.0016676427,0.001,1.6676427,0.0016676427,0.001,1.6676427
14 24 46,300.836,298.124,0.0,0.001667675,0.001,1.667675,0.001667675,0.001,1.667675
14 24 51,300.874,297.924,0.0,0.00166765255,0.001,1.66765255,0.00166765255,0.001,1.66765255
14 24 56,300.957,297.724,0.0,0.0016676503999999998,0.001,1.6676503999999999,0.0016676503999999998,0.001,1.6676503999999999
14 25 01,300.665,297.524,0.0,0.0016676389,0.001,1.6676389,0.0016676389,0.001,1.6676389
14 25 06,300.605,297.324,0.0,0.001667681,0.001,1.667681,0.001667681,0.001,1.667681
14 25 11,301.403,297.124,0.0,0.0016676668,0.001,1.6676668,0.0016676668,0.001,1.6676668
14 25 16,301.239,296.924,0.0,0.0016676695,0.001,1.6676695,0.0016676695,0.001,1.6676695
14 25 21,301.309,296.724,0.0,0.00166767935,0.001,1.66767935,0.00166767935,0.001,1.66767935
14 25 26,301.19,296.524,0.0,0.00166769965,0.001,1.6676996499999999,0.00166769965,0.001,1.6676996499999999
14 25 31,301.098,296.324,0.0,0.00166769525,0.001,1.66769525,0.00166769525,0.001,1.66769525
14 25 36,300.39,296.124,0.0,0.001667669,0.001,1.667669,0.001667669,0.001,1.667669
14 25 41,300.374,295.924,0.0,0.0016676816,0.001,1.6676816,0.0016676816,0.001,1.6676816
14 25 45,300.51,295.724,0.0,0.00166768815,0.001,1.6676881499999998,0.00166768815,0.001,1.6676881499999998
14 25 50,301.26,295.524,0.0,0.0016677193,0.001,1.6677193,0.0016677193,0.001,1.6677193
14 25 55,300.905,295.324,0.0,0.0016676679000000002,0.001,1.6676679,0.0016676679000000002,0.001,1.6676679
14 26 00,300.11,295.124,0.0,0.0016676914,0.001,1.6676913999999998,0.0016676914,0.001,1.6676913999999998
14 26 05,301.435,294.924,0.0,0.0016677077999999999,0.001,1.6677077999999999,0.0016677077999999999,0.001,1.6677077999999999
14 26 10,299.74,294.724,0.0,0.0016677171499999998,0.001,1.6677171499999999,0.0016677171499999998,0.001,1.6677171499999999
14 26 15,300.476,294.524,0.0,0.0016677663500000001,0.001,1.6677663500000002,0.0016677663500000001,0.001,1.6677663500000002
14 26 20,301.112,294.324,0.0,0.00166781455,0.001,1.6678145500000001,0.00166781455,0.001,1.6678145500000001
14 26 25,300.58,294.124,0.0,0.0016678259999999999,0.001,1.6678259999999998,0.0016678259999999999,0.001,1.6678259999999998
14 26 30,300.952,293.924,0.0,0.00166782215,0.001,1.6678221500000001,0.00166782215,0.001,1.6678221500000001
14 26 35,301.208,293.724,0.0,0.0016678063,0.001,1.6678063,0.0016678063,0.001,1.6678063
14 26 40,300.568,293.524,0.0,0.00166783365,0.001,1.66783365,0.00166783365,0.001,1.66783365
14 26 45,300.831,293.324,0.0,0.0016678966499999999,0.001,1.6678966499999999,0.0016678966499999999,0.001,1.6678966499999999
14 26 50,300.89,293.124,0.0,0.0016679436499999999,0.001,1.6679436499999998,0.0016679436499999999,0.001,1.6679436499999998
14 26 55,300.925,292.924,0.0,0.0016679935000000002,0.001,1.6679935000000001,0.0016679935000000002,0.001,1.6679935000000001
14 27 00,300.724,292.724,0.0,0.00166819645,0.001,1.66819645,0.00166819645,0.001,1.66819645
14 27 05,300.327,292.524,0.0,0.0016682369500000001,0.001,1.66823695,0.0016682369500000001,0.001,1.66823695
14 27 10,301.101,292.324,0.0,0.00166821015,0.001,1.6682101500000002,0.00166821015,0.001,1.6682101500000002
14 27 15,300.877,292.124,0.0,0.00166819315,0.001,1.66819315,0.00166819315,0.001,1.66819315
14 27 20,301.535,291.924,0.0,0.001668214,0.001,1.6682139999999999,0.001668214,0.001,1.6682139999999999
14 27 25,300.983,291.724,0.0,0.0016682643000000001,0.001,1.6682643000000001,0.0016682643000000001,0.001,1.6682643000000001
14 27 30,300.377,291.524,0.0,0.0016682742,0.001,1.6682742,0.0016682742,0.001,1.6682742
14 27 35,300.895,291.324,0.0,0.00166840325,0.001,1.66840325,0.00166840325,0.001,1.66840325
