Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
14 36 02,299.913,299.537,0.0,8.569294999999999e-06,5.500000000000001e-06,1.558053636363636,8.569294999999999e-06,5.500000000000001e-06,1.558053636363636
14 36 07,299.624,299.337,2.8,0.0009177360049999999,0.00055,1.6686109181818178,0.0009177360049999999,0.00055,1.6686109181818178
14 36 13,298.532,299.137,0.0,0.0016692146999999998,0.001,1.6692146999999997,0.0016692146999999998,0.001,1.6692146999999997
14 36 18,298.169,298.937,0.0,0.00166919065,0.001,1.66919065,0.00166919065,0.001,1.66919065
14 36 23,300.309,298.737,0.0,0.0016692268,0.001,1.6692268000000001,0.0016692268,0.001,1.6692268000000001
14 36 28,299.239,298.537,57.7,0.00166925525,0.001,1.66925525,0.00166925525,0.001,1.66925525
14 36 33,293.805,298.337,100.0,0.0016691961,0.001,1.6691961,0.0016691961,0.001,1.6691961
14 36 38,297.107,298.137,100.0,0.00166916875,0.001,1.6691687499999999,0.00166916875,0.001,1.6691687499999999
14 36 43,295.463,297.937,100.0,0.0016692607,0.001,1.6692607,0.0016692607,0.001,1.6692607
14 36 48,296.093,297.737,0.0,0.00166924375,0.001,1.66924375,0.00166924375,0.001,1.66924375
14 36 53,299.823,297.537,0.0,0.0016691879,0.001,1.6691879,0.0016691879,0.001,1.6691879
14 36 58,297.486,297.337,0.0,0.00166916115,0.001,1.6691611499999999,0.00166916115,0.001,1.6691611499999999
14 37 03,298.442,297.137,100.0,0.0016693039500000001,0.001,1.66930395,0.0016693039500000001,0.001,1.66930395
14 37 08,296.391,296.937,46.2,0.00166925195,0.001,1.6692519499999998,0.00166925195,0.001,1.6692519499999998
14 37 13,295.625,296.737,100.0,0.0016692223999999999,0.001,1.6692223999999998,0.0016692223999999999,0.001,1.6692223999999998
14 37 18,297.193,296.537,100.0,0.00166912665,0.001,1.66912665,0.00166912665,0.001,1.66912665
