Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
14 42 00,300.379,300.852,11.3,9.2720955e-05,5.5e-05,1.6858355454545453,9.2720955e-05,5.5e-05,1.6858355454545453
14 42 06,300.313,300.652,0.0,0.00167280095,0.001,1.67280095,0.00167280095,0.001,1.67280095
14 42 11,300.032,300.452,1.2,0.00167290705,0.001,1.6729070499999998,0.00167290705,0.001,1.6729070499999998
14 42 16,300.361,300.252,9.2,0.0016729809,0.001,1.6729809,0.0016729809,0.001,1.6729809
14 42 21,299.805,300.052,0.8,0.0016730405500000002,0.001,1.67304055,0.0016730405500000002,0.001,1.67304055
14 42 26,299.944,299.852,0.0,0.0016731494999999998,0.001,1.6731494999999998,0.0016731494999999998,0.001,1.6731494999999998
14 42 31,299.709,299.652,0.0,0.0016732441,0.001,1.6732441,0.0016732441,0.001,1.6732441
14 42 36,300.148,299.452,2.1,0.001673353,0.001,1.673353,0.001673353,0.001,1.673353
14 42 41,300.299,299.252,6.1,0.0016734968999999999,0.001,1.6734969,0.0016734968999999999,0.001,1.6734969
14 42 46,299.963,299.052,0.0,0.00167354125,0.001,1.67354125,0.00167354125,0.001,1.67354125
14 42 51,300.45,298.852,0.0,0.0016735932,0.001,1.6735932,0.0016735932,0.001,1.6735932
14 42 56,300.092,298.652,0.0,0.0016737426,0.001,1.6737426,0.0016737426,0.001,1.6737426
