Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
15 32 23,237.926,238.047,88.2,0.0014894051300000002,0.000685,2.174314058394161,0.0014894051300000002,0.000685,2.174314058394161
15 32 35,237.595,238.247,100.0,0.002173841083333333,0.001,2.173841083333333,0.002173841083333333,0.001,2.173841083333333
15 32 46,237.436,238.447,100.0,0.0021756292666666667,0.001,2.175629266666667,0.0021756292666666667,0.001,2.175629266666667
15 32 57,237.339,238.647,0.0,0.0021760445666666665,0.001,2.1760445666666666,0.0021760445666666665,0.001,2.1760445666666666
15 33 08,236.594,238.847,100.0,0.0021782359833333333,0.001,2.1782359833333333,0.0021782359833333333,0.001,2.1782359833333333
15 33 19,235.688,239.047,100.0,0.0021792469666666666,0.001,2.1792469666666663,0.0021792469666666666,0.001,2.1792469666666663
15 33 30,235.891,239.247,100.0,0.002180033633333333,0.001,2.1800336333333328,0.002180033633333333,0.001,2.1800336333333328
15 33 41,232.104,239.447,100.0,0.002181383866666667,0.001,2.181383866666667,0.002181383866666667,0.001,2.181383866666667
15 33 52,232.639,239.647,0.0,0.002183606066666667,0.001,2.1836060666666666,0.002183606066666667,0.001,2.1836060666666666
15 34 03,230.759,240.0,100.0,0.002185561716666667,0.001,2.1855617166666668,0.002185561716666667,0.001,2.1855617166666668
15 34 14,231.547,240.0,100.0,0.002187409533333333,0.001,2.187409533333333,0.002187409533333333,0.001,2.187409533333333
15 34 25,228.698,240.0,100.0,0.002188526683333333,0.001,2.188526683333333,0.002188526683333333,0.001,2.188526683333333
15 34 37,230.748,240.0,100.0,0.0021903298166666666,0.001,2.1903298166666665,0.0021903298166666666,0.001,2.1903298166666665
15 34 48,227.715,240.0,100.0,0.0021919532666666666,0.001,2.1919532666666663,0.0021919532666666666,0.001,2.1919532666666663
15 34 59,230.669,240.0,100.0,0.0021927634333333335,0.001,2.1927634333333335,0.0021927634333333335,0.001,2.1927634333333335
15 35 10,229.754,240.0,100.0,0.0021939444333333334,0.001,2.1939444333333333,0.0021939444333333334,0.001,2.1939444333333333
15 35 21,230.279,240.0,100.0,0.0021952709666666665,0.001,2.1952709666666665,0.0021952709666666665,0.001,2.1952709666666665
15 35 33,229.132,240.0,100.0,0.0021956472166666666,0.001,2.1956472166666665,0.0021956472166666666,0.001,2.1956472166666665
15 35 44,226.372,240.0,100.0,0.002197332683333333,0.001,2.197332683333333,0.002197332683333333,0.001,2.197332683333333
15 35 55,228.407,240.0,100.0,0.0021970695000000004,0.001,2.1970695000000005,0.0021970695000000004,0.001,2.1970695000000005
15 36 06,225.8,240.0,100.0,0.0021977324833333334,0.001,2.197732483333333,0.0021977324833333334,0.001,2.197732483333333
15 36 17,227.795,240.0,100.0,0.002198889233333334,0.001,2.198889233333334,0.002198889233333334,0.001,2.198889233333334
15 36 28,225.815,240.0,100.0,0.0022006487333333332,0.001,2.2006487333333333,0.0022006487333333332,0.001,2.2006487333333333
15 36 39,226.937,240.0,100.0,0.0022001940666666665,0.001,2.2001940666666666,0.0022001940666666665,0.001,2.2001940666666666
15 36 50,225.91,240.0,100.0,0.002201560533333333,0.001,2.2015605333333332,0.002201560533333333,0.001,2.2015605333333332
15 37 02,225.571,240.0,100.0,0.0022016435,0.001,2.2016435,0.0022016435,0.001,2.2016435
15 37 13,226.893,240.0,100.0,0.00220259995,0.001,2.20259995,0.00220259995,0.001,2.20259995
15 37 24,229.174,240.0,100.0,0.0022030284,0.001,2.2030283999999996,0.0022030284,0.001,2.2030283999999996
15 37 35,226.662,240.0,100.0,0.0022030982333333332,0.001,2.2030982333333333,0.0022030982333333332,0.001,2.2030982333333333
15 37 46,224.526,240.0,100.0,0.0022044964666666665,0.001,2.2044964666666664,0.0022044964666666665,0.001,2.2044964666666664
15 37 58,224.833,240.0,100.0,0.002204077316666667,0.001,2.204077316666667,0.002204077316666667,0.001,2.204077316666667
15 38 09,225.69,240.0,100.0,0.0022053048333333333,0.001,2.2053048333333334,0.0022053048333333333,0.001,2.2053048333333334
15 38 22,224.209,240.0,100.0,0.0022048402833333334,0.001,2.204840283333333,0.0022048402833333334,0.001,2.204840283333333
15 38 34,225.259,240.0,100.0,0.002206019616666666,0.001,2.206019616666666,0.002206019616666666,0.001,2.206019616666666
