Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
17 19 01,154.488,154.475,0.0,0.0015763569533333334,0.000685,2.3012510267639903,0.0015763569533333334,0.000685,2.3012510267639903
17 19 13,154.272,154.675,0.0,0.0023121323000000003,0.001,2.3121323,0.0023121323000000003,0.001,2.3121323
17 19 24,153.956,154.875,13.6,0.00232458965,0.001,2.32458965,0.00232458965,0.001,2.32458965
17 19 35,153.564,155.075,16.1,0.00232233605,0.001,2.32233605,0.00232233605,0.001,2.32233605
17 19 46,153.11,155.275,21.3,0.0023192749666666665,0.001,2.3192749666666663,0.0023192749666666665,0.001,2.3192749666666663
17 19 57,152.572,155.475,31.4,0.002316845833333334,0.001,2.3168458333333337,0.002316845833333334,0.001,2.3168458333333337
17 20 08,152.141,155.675,32.7,0.0023140840666666667,0.001,2.3140840666666667,0.0023140840666666667,0.001,2.3140840666666667
17 20 19,151.631,155.875,46.0,0.0023124319666666666,0.001,2.3124319666666664,0.0023124319666666666,0.001,2.3124319666666664
17 20 31,151.164,156.075,45.4,0.002315838316666667,0.001,2.315838316666667,0.002315838316666667,0.001,2.315838316666667
17 20 42,150.881,156.275,57.8,0.0023338383500000003,0.001,2.33383835,0.0023338383500000003,0.001,2.33383835
17 20 53,150.622,156.475,54.0,0.0023421046666666666,0.001,2.3421046666666663,0.0023421046666666666,0.001,2.3421046666666663
17 21 04,150.466,156.675,63.0,0.002351583683333333,0.001,2.351583683333333,0.002351583683333333,0.001,2.351583683333333
17 21 15,150.35,156.875,66.5,0.0023506516833333335,0.001,2.3506516833333335,0.0023506516833333335,0.001,2.3506516833333335
17 21 26,150.311,157.075,75.3,0.0023711579166666667,0.001,2.3711579166666668,0.0023711579166666667,0.001,2.3711579166666668
17 21 37,150.337,157.275,72.1,0.0023698950333333334,0.001,2.3698950333333335,0.0023698950333333334,0.001,2.3698950333333335
17 21 48,150.499,157.475,80.7,0.0023693580833333335,0.001,2.3693580833333336,0.0023693580833333335,0.001,2.3693580833333336
17 21 59,150.752,157.675,42.3,0.0023697797666666666,0.001,2.3697797666666665,0.0023697797666666666,0.001,2.3697797666666665
17 22 10,150.819,157.875,44.8,0.0023703590166666666,0.001,2.3703590166666664,0.0023703590166666666,0.001,2.3703590166666664
