Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
20 44 11,10.17,10.16,100.0,0.0079501545,0.001,7.950154500000001,0.0079501545,0.001,7.950154500000001
20 44 16,10.17,10.24,100.0,0.007961445666666666,0.001,7.961445666666665,0.007961445666666666,0.001,7.961445666666665
20 44 21,10.17,10.33,100.0,0.007943945666666665,0.001,7.943945666666665,0.007943945666666665,0.001,7.943945666666665
20 44 26,10.17,10.41,100.0,0.007947243000000001,0.001,7.947243000000001,0.007947243000000001,0.001,7.947243000000001
20 44 31,10.17,10.41,100.0,0.007938916999999998,0.001,7.938916999999998,0.007938916999999998,0.001,7.938916999999998
20 44 36,10.17,10.49,100.0,0.007941937166666666,0.001,7.941937166666666,0.007941937166666666,0.001,7.941937166666666
20 44 41,10.18,10.58,100.0,0.007949787,0.001,7.949787,0.007949787,0.001,7.949787
20 44 46,10.18,10.66,100.0,0.007943083666666666,0.001,7.943083666666666,0.007943083666666666,0.001,7.943083666666666
20 44 51,10.18,10.74,100.0,0.007927330166666668,0.001,7.927330166666668,0.007927330166666668,0.001,7.927330166666668
20 44 56,10.18,10.83,100.0,0.007943519500000001,0.001,7.943519500000001,0.007943519500000001,0.001,7.943519500000001
20 45 01,10.18,10.91,100.0,0.0079393565,0.001,7.9393565,0.0079393565,0.001,7.9393565
20 45 06,10.18,10.99,100.0,0.007936400500000001,0.001,7.936400500000001,0.007936400500000001,0.001,7.936400500000001
20 45 11,10.18,11.08,100.0,0.007939520833333333,0.001,7.939520833333333,0.007939520833333333,0.001,7.939520833333333
20 45 16,10.18,11.16,100.0,0.007936607333333333,0.001,7.936607333333333,0.007936607333333333,0.001,7.936607333333333
20 45 22,10.18,11.24,100.0,0.007938315,0.001,7.938314999999999,0.007938315,0.001,7.938314999999999
20 45 27,10.18,11.33,100.0,0.007948160666666666,0.001,7.9481606666666655,0.007948160666666666,0.001,7.9481606666666655
20 45 32,10.18,11.41,100.0,0.007917158,0.001,7.917158000000001,0.007917158,0.001,7.917158000000001
20 45 37,10.18,11.49,100.0,0.007937687333333334,0.001,7.937687333333334,0.007937687333333334,0.001,7.937687333333334
20 45 42,10.18,11.58,100.0,0.007942648166666665,0.001,7.942648166666665,0.007942648166666665,0.001,7.942648166666665
20 45 47,10.18,11.66,100.0,0.007946087333333334,0.001,7.946087333333334,0.007946087333333334,0.001,7.946087333333334
20 45 52,10.18,11.66,100.0,0.007954757,0.001,7.954757,0.007954757,0.001,7.954757
20 45 57,10.18,11.74,100.0,0.0079338805,0.001,7.933880500000001,0.0079338805,0.001,7.933880500000001
20 46 02,10.18,11.83,100.0,0.007970449499999999,0.001,7.970449499999999,0.007970449499999999,0.001,7.970449499999999
20 46 07,10.18,11.91,100.0,0.007912302666666668,0.001,7.912302666666667,0.007912302666666668,0.001,7.912302666666667
20 46 12,10.18,11.99,100.0,0.007911901833333332,0.001,7.9119018333333315,0.007911901833333332,0.001,7.9119018333333315
20 46 17,10.18,12.08,100.0,0.007929519833333334,0.001,7.929519833333334,0.007929519833333334,0.001,7.929519833333334
20 46 22,10.19,12.16,100.0,0.007953019666666667,0.001,7.953019666666666,0.007953019666666667,0.001,7.953019666666666
20 46 28,10.19,12.24,100.0,0.007908905666666665,0.001,7.908905666666665,0.007908905666666665,0.001,7.908905666666665
20 46 33,10.19,12.33,100.0,0.007918803,0.001,7.9188030000000005,0.007918803,0.001,7.9188030000000005
20 46 38,10.19,12.41,100.0,0.007898967833333334,0.001,7.898967833333335,0.007898967833333334,0.001,7.898967833333335
20 46 43,10.19,12.49,100.0,0.007906801166666666,0.001,7.906801166666666,0.007906801166666666,0.001,7.906801166666666
20 46 48,10.2,12.58,100.0,0.0079709665,0.001,7.970966499999999,0.0079709665,0.001,7.970966499999999
20 46 53,10.2,12.66,100.0,0.0078701085,0.001,7.870108500000001,0.0078701085,0.001,7.870108500000001
20 46 58,10.2,12.74,100.0,0.007951507666666666,0.001,7.951507666666666,0.007951507666666666,0.001,7.951507666666666
20 47 03,10.21,12.74,100.0,0.007907002000000002,0.001,7.907002000000001,0.007907002000000002,0.001,7.907002000000001
20 47 08,10.21,12.83,100.0,0.007883733166666667,0.001,7.883733166666667,0.007883733166666667,0.001,7.883733166666667
20 47 13,10.22,12.91,100.0,0.007898616833333334,0.001,7.8986168333333335,0.007898616833333334,0.001,7.8986168333333335
20 47 18,10.22,12.99,100.0,0.007854499166666666,0.001,7.854499166666666,0.007854499166666666,0.001,7.854499166666666
20 47 23,10.23,13.08,100.0,0.007936983833333335,0.001,7.9369838333333345,0.007936983833333335,0.001,7.9369838333333345
20 47 28,10.23,13.16,100.0,0.007914442333333332,0.001,7.914442333333332,0.007914442333333332,0.001,7.914442333333332
