Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
15 59 08,300.443,300.651,2.7,0.001747688,0.001,1.747688167,0.001747688,0.001,1.747688167
15 59 17,300.49,300.451,2.4,0.001748032,0.001,1.748031667,0.001748032,0.001,1.748031667
15 59 25,300.336,300.251,3.2,0.001748331,0.001,1.748330833,0.001748331,0.001,1.748330833
15 59 33,300.556,300.051,0,0.001748637,0.001,1.748637167,0.001748637,0.001,1.748637167
15 59 42,300.303,299.851,0,0.001749025,0.001,1.749024833,0.001749025,0.001,1.749024833
15 59 50,300.228,299.651,0,0.001749407,0.001,1.749407167,0.001749407,0.001,1.749407167
15 59 58,300.012,299.451,2.3,0.001749802,0.001,1.749802167,0.001749802,0.001,1.749802167
16 00 06,300.266,299.251,0,0.001750216,0.001,1.750215667,0.001750216,0.001,1.750215667
16 00 15,300.303,299.051,0,0.001750664,0.001,1.750664167,0.001750664,0.001,1.750664167
16 00 23,300.093,298.851,0,0.001751069,0.001,1.7510685,0.001751069,0.001,1.7510685
16 00 32,300.14,298.651,0,0.00175148,0.001,1.751480167,0.00175148,0.001,1.751480167
16 00 40,299.87,298.451,0.1,0.001751794,0.001,1.751794167,0.001751794,0.001,1.751794167
16 00 48,299.992,298.251,1.2,0.001752196,0.001,1.7521965,0.001752196,0.001,1.7521965
16 00 57,299.911,298.051,0,0.001752679,0.001,1.7526785,0.001752679,0.001,1.7526785
16 01 05,300.056,297.851,0,0.001753232,0.001,1.753232333,0.001753232,0.001,1.753232333
16 01 14,300.086,297.651,0,0.001753812,0.001,1.753812,0.001753812,0.001,1.753812
16 01 22,299.854,297.451,0,0.001754401,0.001,1.754401,0.001754401,0.001,1.754401
16 01 30,299.952,297.251,0,0.001754938,0.001,1.754938,0.001754938,0.001,1.754938
16 01 39,299.536,297.051,0,0.001755512,0.001,1.755512333,0.001755512,0.001,1.755512333
16 01 47,299.576,296.851,0,0.00175621,0.001,1.756210167,0.00175621,0.001,1.756210167
16 01 55,299.831,296.651,0,0.001756939,0.001,1.756939333,0.001756939,0.001,1.756939333
16 02 03,299.802,296.451,0,0.001757753,0.001,1.7577535,0.001757753,0.001,1.7577535
16 02 12,299.478,296.251,0,0.001758586,0.001,1.758586,0.001758586,0.001,1.758586
16 02 20,299.544,296.051,0,0.001759585,0.001,1.759584667,0.001759585,0.001,1.759584667
16 02 28,299.415,295.851,0,0.00176063,0.001,1.760629833,0.00176063,0.001,1.760629833
16 02 36,299.479,295.651,0,0.001761588,0.001,1.761588,0.001761588,0.001,1.761588
16 02 45,299.54,295.451,0,0.001762679,0.001,1.762679333,0.001762679,0.001,1.762679333
16 02 53,299.313,295.251,0,0.001763562,0.001,1.763561667,0.001763562,0.001,1.763561667
16 03 01,299.291,295.051,0,0.001764649,0.001,1.764649,0.001764649,0.001,1.764649
16 03 09,299.001,294.851,0,0.001765867,0.001,1.765867333,0.001765867,0.001,1.765867333
16 03 17,298.684,294.651,0,0.001767562,0.001,1.767562167,0.001767562,0.001,1.767562167
16 03 26,298.881,294.451,0,0.00177145,0.001,1.771450167,0.00177145,0.001,1.771450167
16 03 34,298.68,294.251,0,0.001775986,0.001,1.775986167,0.001775986,0.001,1.775986167
16 03 43,298.484,294.051,0,0.001778098,0.001,1.778098333,0.001778098,0.001,1.778098333
16 03 51,298.255,293.851,0,0.001779177,0.001,1.7791765,0.001779177,0.001,1.7791765
16 04 00,298.261,293.651,0,0.001780912,0.001,1.780912,0.001780912,0.001,1.780912
16 04 09,297.932,293.451,0,0.00178358,0.001,1.7835795,0.00178358,0.001,1.7835795
16 04 17,298.026,293.251,0,0.001788959,0.001,1.788959167,0.001788959,0.001,1.788959167
16 04 25,297.9,293.051,0,0.001787289,0.001,1.7872885,0.001787289,0.001,1.7872885
16 04 34,297.583,292.851,0,0.001788771,0.001,1.788771,0.001788771,0.001,1.788771
16 04 42,297.654,292.651,0,0.001791071,0.001,1.791071333,0.001791071,0.001,1.791071333
16 04 51,297.31,292.451,0,0.001793037,0.001,1.793037333,0.001793037,0.001,1.793037333
16 04 59,297.282,292.251,0,0.001794784,0.001,1.794784,0.001794784,0.001,1.794784
16 05 08,296.711,292.051,0,0.001797311,0.001,1.797311333,0.001797311,0.001,1.797311333
16 05 17,296.677,291.851,0,0.001800034,0.001,1.8000345,0.001800034,0.001,1.8000345
16 05 25,296.759,291.651,0,0.001802846,0.001,1.802846,0.001802846,0.001,1.802846
16 05 33,296.607,291.451,0,0.001805193,0.001,1.805192667,0.001805193,0.001,1.805192667
16 05 42,296.228,291.251,0,0.001807089,0.001,1.8070885,0.001807089,0.001,1.8070885
16 05 50,296,291.051,0,0.00180928,0.001,1.80928,0.00180928,0.001,1.80928
16 05 58,295.921,290.851,0,0.001810735,0.001,1.810734667,0.001810735,0.001,1.810734667
16 06 06,295.545,290.651,0,0.001813919,0.001,1.813919333,0.001813919,0.001,1.813919333
16 06 15,295.299,290.451,0,0.001816445,0.001,1.816444833,0.001816445,0.001,1.816444833
16 06 23,295.492,290.251,0,0.001817172,0.001,1.817172167,0.001817172,0.001,1.817172167
16 06 31,295.038,290.051,0,0.00182073,0.001,1.820730167,0.00182073,0.001,1.820730167
16 06 39,295.07,289.851,0,0.001821882,0.001,1.821881833,0.001821882,0.001,1.821881833
16 06 48,294.529,289.651,0,0.001822818,0.001,1.822817833,0.001822818,0.001,1.822817833
16 06 56,294.671,289.451,0,0.001824683,0.001,1.8246825,0.001824683,0.001,1.8246825
16 07 04,294.311,289.251,0,0.001827419,0.001,1.8274185,0.001827419,0.001,1.8274185
16 07 13,293.98,289.051,0,0.001830513,0.001,1.830512667,0.001830513,0.001,1.830512667
16 07 21,293.665,288.851,0,0.001832965,0.001,1.8329645,0.001832965,0.001,1.8329645
16 07 29,293.525,288.651,0,0.001836806,0.001,1.8368065,0.001836806,0.001,1.8368065
16 07 37,293.201,288.451,0,0.001841222,0.001,1.841222333,0.001841222,0.001,1.841222333
16 07 46,293.113,288.251,0,0.001845386,0.001,1.845385667,0.001845386,0.001,1.845385667
16 07 54,293.003,288.051,0,0.001854613,0.001,1.854612667,0.001854613,0.001,1.854612667
16 08 02,292.418,287.851,0,0.001857234,0.001,1.857234167,0.001857234,0.001,1.857234167
16 08 10,291.933,287.651,0,0.001857954,0.001,1.857954,0.001857954,0.001,1.857954
16 08 19,291.694,287.451,0,0.001862424,0.001,1.862423667,0.001862424,0.001,1.862423667
16 08 27,291.321,287.251,0,0.001863044,0.001,1.863044,0.001863044,0.001,1.863044
16 08 35,290.958,287.051,0,0.001860943,0.001,1.860943167,0.001860943,0.001,1.860943167
16 08 43,290.789,286.851,0,0.001867933,0.001,1.867932667,0.001867933,0.001,1.867932667
16 08 52,290.282,286.651,0,0.00186528,0.001,1.865279667,0.00186528,0.001,1.865279667
16 09 00,290.329,286.451,0,0.001867196,0.001,1.867196,0.001867196,0.001,1.867196
16 09 08,290.237,286.251,0,0.001869452,0.001,1.869452,0.001869452,0.001,1.869452
16 09 17,289.548,286.051,0,0.001871872,0.001,1.871872333,0.001871872,0.001,1.871872333
16 09 25,289,285.851,0,0.00188105,0.001,1.881049667,0.00188105,0.001,1.881049667
16 09 33,289.077,285.651,0,0.001883258,0.001,1.883257667,0.001883258,0.001,1.883257667
16 09 42,288.71,285.451,0,0.001885438,0.001,1.885438167,0.001885438,0.001,1.885438167
16 09 50,288.675,285.251,0,0.001887561,0.001,1.887561,0.001887561,0.001,1.887561
16 09 59,288.212,285.051,0,0.001890151,0.001,1.890151333,0.001890151,0.001,1.890151333
16 10 07,288.01,284.851,0,0.0018922,0.001,1.8922005,0.0018922,0.001,1.8922005
16 10 15,287.812,284.651,0,0.001894311,0.001,1.894310833,0.001894311,0.001,1.894310833
16 10 24,287.094,284.451,0,0.001896445,0.001,1.896444833,0.001896445,0.001,1.896444833
16 10 32,287.048,284.251,0,0.001898477,0.001,1.898477333,0.001898477,0.001,1.898477333
16 10 40,286.787,284.051,0,0.001900449,0.001,1.900449167,0.001900449,0.001,1.900449167
16 10 48,286.796,283.851,0,0.001902461,0.001,1.902461333,0.001902461,0.001,1.902461333
16 10 57,286.568,283.651,0,0.00190435,0.001,1.904350333,0.00190435,0.001,1.904350333
16 11 05,285.99,283.451,0,0.001906254,0.001,1.9062535,0.001906254,0.001,1.9062535
16 11 13,285.78,283.251,0,0.001908137,0.001,1.9081365,0.001908137,0.001,1.9081365
16 11 21,285.62,283.051,0,0.001910325,0.001,1.9103245,0.001910325,0.001,1.9103245
16 11 30,285.271,282.851,0,0.001912549,0.001,1.912549,0.001912549,0.001,1.912549
16 11 38,284.926,282.651,0,0.001914955,0.001,1.9149545,0.001914955,0.001,1.9149545
16 11 46,284.378,282.451,0,0.00191729,0.001,1.91729,0.00191729,0.001,1.91729
16 11 54,284.242,282.251,0,0.001919653,0.001,1.919653,0.001919653,0.001,1.919653
16 12 03,283.943,282.051,0,0.001921931,0.001,1.921931,0.001921931,0.001,1.921931
16 12 11,283.767,281.851,0,0.001922047,0.001,1.922047333,0.001922047,0.001,1.922047333
16 12 19,283.347,281.651,0,0.001922295,0.001,1.922295,0.001922295,0.001,1.922295
16 12 27,283.499,281.451,0,0.001925153,0.001,1.925152833,0.001925153,0.001,1.925152833
16 12 36,282.896,281.251,0,0.001925524,0.001,1.925523667,0.001925524,0.001,1.925523667
16 12 44,282.378,281.051,0,0.001927747,0.001,1.9277465,0.001927747,0.001,1.9277465
16 12 52,282.289,280.851,0.1,0.001933822,0.001,1.933822333,0.001933822,0.001,1.933822333
16 13 00,281.951,280.651,0,0.001932849,0.001,1.932849167,0.001932849,0.001,1.932849167
16 13 09,281.538,280.451,0,0.00193399,0.001,1.933990167,0.00193399,0.001,1.933990167
16 13 17,281.245,280.251,0,0.001935831,0.001,1.935831,0.001935831,0.001,1.935831
16 13 26,280.704,280.051,0,0.001938296,0.001,1.9382955,0.001938296,0.001,1.9382955
16 13 34,280.29,279.851,0,0.001946075,0.001,1.946075333,0.001946075,0.001,1.946075333
16 13 42,280.116,279.651,1.6,0.001949062,0.001,1.949062167,0.001949062,0.001,1.949062167
16 13 51,280.113,279.451,2.7,0.001951235,0.001,1.951235333,0.001951235,0.001,1.951235333
16 13 59,279.67,279.251,1.1,0.001953453,0.001,1.953452667,0.001953453,0.001,1.953452667
16 14 07,279.057,279.051,0,0.001955565,0.001,1.9555645,0.001955565,0.001,1.9555645
16 14 16,278.761,278.851,1.6,0.001957631,0.001,1.9576305,0.001957631,0.001,1.9576305
16 14 24,278.442,278.651,3.4,0.0019598,0.001,1.9597995,0.0019598,0.001,1.9597995
16 14 32,278.175,278.451,0,0.001961989,0.001,1.961989167,0.001961989,0.001,1.961989167
16 14 41,277.984,278.251,0.6,0.001964145,0.001,1.9641455,0.001964145,0.001,1.9641455
16 14 49,277.582,278.051,2.2,0.0019663,0.001,1.9663,0.0019663,0.001,1.9663
16 14 57,277.216,277.851,3.4,0.001968491,0.001,1.9684915,0.001968491,0.001,1.9684915
16 15 06,276.892,277.651,5.7,0.00197064,0.001,1.970640333,0.00197064,0.001,1.970640333
16 15 14,276.437,277.451,3.5,0.001968805,0.001,1.968805167,0.001968805,0.001,1.968805167
16 15 22,276.159,277.251,1.4,0.001966972,0.001,1.966972333,0.001966972,0.001,1.966972333
16 15 31,276.01,277.051,3.6,0.00196904,0.001,1.969039833,0.00196904,0.001,1.969039833
16 15 39,275.594,276.851,1.8,0.001971095,0.001,1.971094667,0.001971095,0.001,1.971094667
16 15 48,275.444,276.651,2.3,0.001973543,0.001,1.973542667,0.001973543,0.001,1.973542667
16 15 56,274.985,276.451,6.6,0.001975313,0.001,1.975313,0.001975313,0.001,1.975313
16 16 04,274.625,276.251,6,0.001976504,0.001,1.976503833,0.001976504,0.001,1.976503833
16 16 13,274.418,276.051,3.3,0.001978141,0.001,1.978141333,0.001978141,0.001,1.978141333
16 16 21,274.119,275.851,6.1,0.001979879,0.001,1.979878667,0.001979879,0.001,1.979878667
16 16 29,273.771,275.651,3.9,0.001981976,0.001,1.981975667,0.001981976,0.001,1.981975667
16 16 38,273.546,275.451,3.5,0.001992739,0.001,1.992739,0.001992739,0.001,1.992739
16 16 46,273.172,275.251,7.5,0.001994763,0.001,1.9947625,0.001994763,0.001,1.9947625
16 16 55,272.646,275.051,7.4,0.001996686,0.001,1.996686,0.001996686,0.001,1.996686
16 17 03,272.506,274.851,4.3,0.001998717,0.001,1.998716667,0.001998717,0.001,1.998716667
16 17 11,272.107,274.651,5.9,0.002000663,0.001,2.000662667,0.002000663,0.001,2.000662667
16 17 19,272.097,274.451,9.7,0.002002466,0.001,2.002466333,0.002002466,0.001,2.002466333
16 17 28,271.523,274.251,8.5,0.002004366,0.001,2.004366167,0.002004366,0.001,2.004366167
16 17 37,271.199,274.051,11.7,0.002006467,0.001,2.006467,0.002006467,0.001,2.006467
16 17 46,271.025,273.851,9.9,0.002008459,0.001,2.008459167,0.002008459,0.001,2.008459167
16 17 54,270.861,273.651,7.6,0.00201032,0.001,2.01032,0.00201032,0.001,2.01032
16 18 03,270.61,273.451,12.6,0.002012163,0.001,2.012162667,0.002012163,0.001,2.012162667
16 18 12,270.392,273.251,13.5,0.002014347,0.001,2.0143465,0.002014347,0.001,2.0143465
16 18 20,270.233,273.051,12.6,0.002016272,0.001,2.016271833,0.002016272,0.001,2.016271833
16 18 29,269.991,272.851,13.7,0.00201815,0.001,2.018149667,0.00201815,0.001,2.018149667
16 18 37,269.668,272.651,9.5,0.002019961,0.001,2.019960667,0.002019961,0.001,2.019960667
16 18 46,269.606,272.451,11.5,0.002021729,0.001,2.021729333,0.002021729,0.001,2.021729333
16 18 54,269.392,272.251,8.9,0.00202357,0.001,2.023569833,0.00202357,0.001,2.023569833
16 19 02,269.128,272.051,14.7,0.002025361,0.001,2.025361,0.002025361,0.001,2.025361
16 19 11,268.897,271.851,14.6,0.002027168,0.001,2.027168167,0.002027168,0.001,2.027168167
16 19 19,268.548,271.651,17.7,0.002028846,0.001,2.028846333,0.002028846,0.001,2.028846333
16 19 27,268.412,271.451,14.5,0.002030514,0.001,2.0305135,0.002030514,0.001,2.0305135
16 19 35,268.028,271.251,12.7,0.002032278,0.001,2.032278333,0.002032278,0.001,2.032278333
16 19 44,267.725,271.051,18,0.002033927,0.001,2.033926833,0.002033927,0.001,2.033926833
16 19 52,267.641,270.851,18.1,0.002035677,0.001,2.035677,0.002035677,0.001,2.035677
16 20 00,267.074,270.651,15.5,0.002037284,0.001,2.0372835,0.002037284,0.001,2.0372835
16 20 08,266.995,270.451,17.6,0.002038987,0.001,2.038987333,0.002038987,0.001,2.038987333
16 20 17,266.7,270.251,18.9,0.002040633,0.001,2.040632667,0.002040633,0.001,2.040632667
16 20 25,266.324,270.051,13,0.002042271,0.001,2.0422705,0.002042271,0.001,2.0422705
16 20 33,266.131,269.851,14.3,0.00204379,0.001,2.043790333,0.00204379,0.001,2.043790333
16 20 42,266.143,269.651,15.8,0.002045263,0.001,2.045263333,0.002045263,0.001,2.045263333
16 20 50,265.947,269.451,16.7,0.002046794,0.001,2.046793667,0.002046794,0.001,2.046793667
16 20 59,265.864,269.251,19.2,0.002048241,0.001,2.048241167,0.002048241,0.001,2.048241167
