Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
14 06 26,298.47,298.47,10.0,0.0017205907333333334,0.001,1.7205907333333335,0.0017205907333333334,0.001,1.7205907333333335
14 06 31,298.47,298.47,17.0,0.0017198166333333334,0.001,1.7198166333333333,0.0017198166333333334,0.001,1.7198166333333333
14 06 35,298.47,298.3,19.0,0.001757030983333333,0.001,1.757030983333333,0.001757030983333333,0.001,1.757030983333333
14 06 40,298.47,298.3,18.0,0.0017767312333333335,0.001,1.7767312333333334,0.0017767312333333335,0.001,1.7767312333333334
14 06 45,298.47,298.14,17.0,0.0017573414499999999,0.001,1.7573414499999997,0.0017573414499999999,0.001,1.7573414499999997
14 06 50,298.47,298.14,18.0,0.0017771554833333333,0.001,1.7771554833333332,0.0017771554833333333,0.001,1.7771554833333332
14 06 54,298.47,298.0,19.0,0.0017682373,0.001,1.7682373,0.0017682373,0.001,1.7682373
14 06 59,298.47,298.0,17.0,0.0017614964833333332,0.001,1.761496483333333,0.0017614964833333332,0.001,1.761496483333333
14 07 04,298.58,298.0,17.0,0.0017401087666666665,0.001,1.7401087666666666,0.0017401087666666665,0.001,1.7401087666666666
14 07 07,298.58,298.0,17.0,0.0017278646166666665,0.001,1.7278646166666665,0.0017278646166666665,0.001,1.7278646166666665
14 07 11,298.58,298.0,17.0,0.0017590029833333333,0.001,1.7590029833333334,0.0017590029833333333,0.001,1.7590029833333334
14 07 15,298.58,298.58,16.0,0.0017415773333333332,0.001,1.741577333333333,0.0017415773333333332,0.001,1.741577333333333
14 07 20,298.58,298.58,26.0,0.0017676162166666667,0.001,1.7676162166666667,0.0017676162166666667,0.001,1.7676162166666667
14 07 25,298.7,298.41,26.0,0.0017849213500000002,0.001,1.78492135,0.0017849213500000002,0.001,1.78492135
