Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
14 51 09,276.0,276.0,2.0,0.0017780343833333333,0.001,1.7780343833333334,0.0017780343833333333,0.001,1.7780343833333334
14 51 13,275.9,276.0,4.0,0.0017871747,0.001,1.7871746999999998,0.0017871747,0.001,1.7871746999999998
14 51 17,275.79,276.0,6.0,0.00178615965,0.001,1.78615965,0.00178615965,0.001,1.78615965
14 51 21,275.79,275.79,7.0,0.0017915194333333335,0.001,1.7915194333333335,0.0017915194333333335,0.001,1.7915194333333335
14 51 25,275.79,275.69,6.0,0.0017858134666666667,0.001,1.7858134666666667,0.0017858134666666667,0.001,1.7858134666666667
14 51 29,275.69,275.59,7.0,0.0017869777333333334,0.001,1.7869777333333334,0.0017869777333333334,0.001,1.7869777333333334
14 51 33,275.69,275.49,8.0,0.00177900875,0.001,1.7790087499999998,0.00177900875,0.001,1.7790087499999998
14 51 37,275.69,275.39,8.0,0.0017883066499999997,0.001,1.7883066499999998,0.0017883066499999997,0.001,1.7883066499999998
14 51 41,275.58,275.29,10.0,0.0017965646,0.001,1.7965646,0.0017965646,0.001,1.7965646
14 51 45,275.58,275.19,9.0,0.0017966550333333331,0.001,1.796655033333333,0.0017966550333333331,0.001,1.796655033333333
14 51 49,275.48,275.09,10.0,0.0017924335999999997,0.001,1.7924335999999996,0.0017924335999999997,0.001,1.7924335999999996
14 51 53,275.48,274.99,8.0,0.0017853625666666665,0.001,1.7853625666666664,0.0017853625666666665,0.001,1.7853625666666664
14 51 57,275.48,274.89,9.0,0.0017901473333333331,0.001,1.790147333333333,0.0017901473333333331,0.001,1.790147333333333
14 52 01,275.37,274.79,8.0,0.0017911774833333333,0.001,1.7911774833333334,0.0017911774833333333,0.001,1.7911774833333334
14 52 05,275.37,274.69,8.0,0.0017812611499999997,0.001,1.7812611499999997,0.0017812611499999997,0.001,1.7812611499999997
14 52 09,275.37,274.59,6.0,0.0017718602833333332,0.001,1.7718602833333332,0.0017718602833333332,0.001,1.7718602833333332
14 52 14,275.37,274.49,6.0,0.0017592733333333334,0.001,1.7592733333333332,0.0017592733333333334,0.001,1.7592733333333332
14 52 18,275.27,274.39,4.0,0.0017844645333333336,0.001,1.7844645333333335,0.0017844645333333336,0.001,1.7844645333333335
14 52 22,275.27,274.29,3.0,0.0017860123333333334,0.001,1.7860123333333333,0.0017860123333333334,0.001,1.7860123333333333
14 52 26,275.27,274.19,2.0,0.0017444012833333332,0.001,1.744401283333333,0.0017444012833333332,0.001,1.744401283333333
14 52 30,275.27,274.09,2.0,0.0017443318166666666,0.001,1.7443318166666666,0.0017443318166666666,0.001,1.7443318166666666
14 52 34,275.27,273.99,1.0,0.001734091816666667,0.001,1.7340918166666668,0.001734091816666667,0.001,1.7340918166666668
14 52 38,275.27,273.89,0.0,0.0017503325,0.001,1.7503325,0.0017503325,0.001,1.7503325
14 52 42,275.17,273.79,0.0,0.0017666166000000004,0.001,1.7666166000000003,0.0017666166000000004,0.001,1.7666166000000003
