Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
14 46 49,278.06,278.06,1.0,0.0017322637166666665,0.001,1.7322637166666666,0.0017322637166666665,0.001,1.7322637166666666
14 46 54,277.95,277.96,5.0,0.0017487713833333335,0.001,1.7487713833333334,0.0017487713833333335,0.001,1.7487713833333334
14 46 59,277.85,277.86,6.0,0.00176491845,0.001,1.76491845,0.00176491845,0.001,1.76491845
14 47 03,277.85,277.76,8.0,0.0017658689,0.001,1.7658688999999999,0.0017658689,0.001,1.7658688999999999
14 47 08,277.74,277.7,10.0,0.00176884385,0.001,1.76884385,0.00176884385,0.001,1.76884385
14 47 13,277.64,277.7,12.0,0.0017676408166666664,0.001,1.7676408166666664,0.0017676408166666664,0.001,1.7676408166666664
14 47 16,277.55,277.7,12.0,0.0017637837833333334,0.001,1.7637837833333334,0.0017637837833333334,0.001,1.7637837833333334
14 47 21,277.55,277.55,15.0,0.0017628747666666668,0.001,1.7628747666666666,0.0017628747666666668,0.001,1.7628747666666666
14 47 25,277.55,277.45,19.0,0.0017683757333333333,0.001,1.7683757333333332,0.0017683757333333333,0.001,1.7683757333333332
14 47 30,277.45,277.35,20.0,0.0017745717166666663,0.001,1.7745717166666664,0.0017745717166666663,0.001,1.7745717166666664
14 47 35,277.34,277.25,22.0,0.0017753368833333333,0.001,1.7753368833333332,0.0017753368833333333,0.001,1.7753368833333332
14 47 40,277.34,277.15,22.0,0.0017681626166666667,0.001,1.7681626166666666,0.0017681626166666667,0.001,1.7681626166666666
14 47 44,277.24,277.05,21.0,0.0017539334166666667,0.001,1.7539334166666667,0.0017539334166666667,0.001,1.7539334166666667
14 47 49,277.24,276.95,23.0,0.0017507114666666667,0.001,1.7507114666666668,0.0017507114666666667,0.001,1.7507114666666668
14 47 54,277.24,276.85,21.0,0.0017468590166666669,0.001,1.7468590166666669,0.0017468590166666669,0.001,1.7468590166666669
14 47 59,277.24,276.75,19.0,0.0017405275000000001,0.001,1.7405275,0.0017405275000000001,0.001,1.7405275
14 48 03,277.34,276.65,18.0,0.0017353430333333331,0.001,1.735343033333333,0.0017353430333333331,0.001,1.735343033333333
14 48 08,277.34,276.55,15.0,0.0017313346166666667,0.001,1.7313346166666665,0.0017313346166666667,0.001,1.7313346166666665
14 48 13,277.34,276.45,12.0,0.0016808474833333335,0.001,1.6808474833333336,0.0016808474833333335,0.001,1.6808474833333336
14 48 18,277.34,276.35,10.0,0.0016888916833333334,0.001,1.6888916833333334,0.0016888916833333334,0.001,1.6888916833333334
14 48 22,277.34,276.25,7.0,0.0017325692499999999,0.001,1.7325692499999998,0.0017325692499999999,0.001,1.7325692499999998
14 48 27,277.34,276.15,6.0,0.0017444592833333334,0.001,1.7444592833333334,0.0017444592833333334,0.001,1.7444592833333334
14 48 32,277.34,276.05,4.0,0.0017517892166666672,0.001,1.751789216666667,0.0017517892166666672,0.001,1.751789216666667
14 48 37,277.34,275.95,2.0,0.0017688475333333335,0.001,1.7688475333333336,0.0017688475333333335,0.001,1.7688475333333336
14 48 41,277.34,275.85,1.0,0.00176212785,0.001,1.76212785,0.00176212785,0.001,1.76212785
14 48 46,277.34,275.75,0.0,0.0017669386166666665,0.001,1.7669386166666665,0.0017669386166666665,0.001,1.7669386166666665
14 49 13,277.24,275.65,0.0,0.00176426625,0.001,1.7642662500000001,0.00176426625,0.001,1.7642662500000001
14 49 18,277.13,275.55,0.0,0.00175660965,0.001,1.75660965,0.00175660965,0.001,1.75660965
14 49 22,277.13,275.45,0.0,0.0017668574999999999,0.001,1.7668574999999997,0.0017668574999999999,0.001,1.7668574999999997
