Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
14 54 48,274.25,274.25,0,0.001768615,0.001,1.7686146333333337,0.001768615,0.001,1.7686146333333337
14 54 52,274.25,274.38,3,0.001769647,0.001,1.7696471500000002,0.001769647,0.001,1.7696471500000002
14 54 56,274.15,274.52,5,0.001779183,0.001,1.7791830000000002,0.001779183,0.001,1.7791830000000002
14 54 59,274.15,274.65,8,0.001757577,0.001,1.7575774166666664,0.001757577,0.001,1.7575774166666664
14 55 03,274.15,274.78,11,0.001791697,0.001,1.79169705,0.001791697,0.001,1.79169705
14 55 07,274.15,274.92,19,0.001745694,0.001,1.74569425,0.001745694,0.001,1.74569425
14 55 11,274.04,275,23,0.001760191,0.001,1.7601908999999998,0.001760191,0.001,1.7601908999999998
14 55 14,274.04,275,33,0.001778984,0.001,1.7789838,0.001778984,0.001,1.7789838
14 55 18,274.04,275,38,0.001785384,0.001,1.78538405,0.001785384,0.001,1.78538405
14 55 22,274.04,275,44,0.001795246,0.001,1.7952462666666666,0.001795246,0.001,1.7952462666666666
14 55 26,274.04,274.04,38,0.001778148,0.001,1.7781484166666666,0.001778148,0.001,1.7781484166666666
14 55 30,274.04,273.91,29,0.001771923,0.001,1.7719232,0.001771923,0.001,1.7719232
14 55 33,274.04,273.77,26,0.001787667,0.001,1.7876671166666664,0.001787667,0.001,1.7876671166666664
14 55 37,274.04,273.64,24,0.001769875,0.001,1.7698747999999997,0.001769875,0.001,1.7698747999999997
14 55 41,274.15,273.51,22,0.001785251,0.001,1.7852511833333333,0.001785251,0.001,1.7852511833333333
14 55 45,274.15,273.37,17,0.00176852,0.001,1.7685204166666666,0.00176852,0.001,1.7685204166666666
14 55 48,274.25,273.24,13,0.001755471,0.001,1.7554707833333334,0.001755471,0.001,1.7554707833333334
14 55 52,274.35,273.11,9,0.00178286,0.001,1.78285975,0.00178286,0.001,1.78285975
14 55 56,274.35,272.97,6,0.001783817,0.001,1.7838172333333333,0.001783817,0.001,1.7838172333333333
14 56 00,274.35,272.84,4,0.00176293,0.001,1.7629298833333333,0.00176293,0.001,1.7629298833333333
14 56 03,274.46,272.71,1,0.001780294,0.001,1.7802942499999999,0.001780294,0.001,1.7802942499999999
14 56 07,274.46,272.57,0,0.001775516,0.001,1.7755163333333333,0.001775516,0.001,1.7755163333333333
14 56 11,274.56,272.44,0,0.001774083,0.001,1.774082733333333,0.001774083,0.001,1.774082733333333
14 56 15,274.56,272.31,0,0.001764773,0.001,1.7647733333333333,0.001764773,0.001,1.7647733333333333
14 56 18,274.56,272.17,0,0.00176537,0.001,1.7653700833333335,0.00176537,0.001,1.7653700833333335
14 56 22,274.56,272.04,0,0.001781091,0.001,1.7810907833333336,0.001781091,0.001,1.7810907833333336
14 56 26,274.66,271.91,0,0.001748479,0.001,1.7484786833333332,0.001748479,0.001,1.7484786833333332
14 56 30,274.66,271.77,0,0.001776248,0.001,1.7762480666666665,0.001776248,0.001,1.7762480666666665
14 56 33,274.66,271.64,0,0.00177923,0.001,1.77923005,0.00177923,0.001,1.77923005
14 56 48,274.56,271.51,0,0.001775973,0.001,1.7759734833333336,0.001775973,0.001,1.7759734833333336
14 56 52,274.56,271.37,0,0.001769078,0.001,1.7690782666666667,0.001769078,0.001,1.7690782666666667
14 56 56,274.46,271.24,0,0.001777736,0.001,1.7777359166666669,0.001777736,0.001,1.7777359166666669
14 56 59,274.46,271.11,0,0.001781046,0.001,1.7810455499999998,0.001781046,0.001,1.7810455499999998
14 57 03,274.35,270.97,0,0.001784282,0.001,1.784281766666667,0.001784282,0.001,1.784281766666667
14 57 07,274.35,270.84,0,0.001775649,0.001,1.7756489833333333,0.001775649,0.001,1.7756489833333333
14 57 11,274.35,270.71,0,0.001799975,0.001,1.7999754499999998,0.001799975,0.001,1.7999754499999998
14 57 14,274.35,270.57,0,0.001777821,0.001,1.7778209999999997,0.001777821,0.001,1.7778209999999997
14 57 18,274.35,270.44,0,0.00178381,0.001,1.7838104666666668,0.00178381,0.001,1.7838104666666668
14 57 22,274.25,270.31,0,0.001783148,0.001,1.7831483166666666,0.001783148,0.001,1.7831483166666666
14 57 26,274.25,270.17,0,0.001782275,0.001,1.7822745166666665,0.001782275,0.001,1.7822745166666665
14 57 29,274.25,270.04,0,0.00178245,0.001,1.78244995,0.00178245,0.001,1.78244995
