Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
17:29:38,299.88,299.54,80.0,0.0017964308333333334,0.001,1.7964308333333334,0.0017964308333333334,0.001,1.7964308333333334
17:29:41,299.88,299.85,80.0,0.001798153,0.001,1.798153,0.001798153,0.001,1.798153
17:29:44,299.88,299.74,82.0,0.0017964009999999998,0.001,1.7964009999999997,0.0017964009999999998,0.001,1.7964009999999997
17:29:48,299.88,299.63,82.0,0.0017943553333333332,0.001,1.7943553333333333,0.0017943553333333332,0.001,1.7943553333333333
17:29:51,299.88,299.52,82.0,0.0017952083333333333,0.001,1.7952083333333333,0.0017952083333333333,0.001,1.7952083333333333
17:29:54,299.88,299.41,82.0,0.0017946639999999999,0.001,1.7946639999999998,0.0017946639999999999,0.001,1.7946639999999998
17:29:57,299.99,299.31,81.0,0.0017928935,0.001,1.7928935,0.0017928935,0.001,1.7928935
17:30:01,299.99,299.2,81.0,0.0017948338333333331,0.001,1.7948338333333331,0.0017948338333333331,0.001,1.7948338333333331
17:30:04,299.99,299.09,81.0,0.0017958786666666664,0.001,1.7958786666666664,0.0017958786666666664,0.001,1.7958786666666664
17:30:07,299.99,298.98,80.0,0.0017947155,0.001,1.7947155000000001,0.0017947155,0.001,1.7947155000000001
17:30:10,299.99,298.88,79.0,0.0017948835000000001,0.001,1.7948835,0.0017948835000000001,0.001,1.7948835
17:30:13,299.99,298.77,78.0,0.0017957733333333334,0.001,1.7957733333333334,0.0017957733333333334,0.001,1.7957733333333334
17:30:17,299.99,298.66,77.0,0.0017949536666666665,0.001,1.7949536666666666,0.0017949536666666665,0.001,1.7949536666666666
17:30:20,299.99,298.55,76.0,0.0017951031666666667,0.001,1.7951031666666666,0.0017951031666666667,0.001,1.7951031666666666
17:30:23,299.99,298.44,75.0,0.0017984376666666665,0.001,1.7984376666666664,0.0017984376666666665,0.001,1.7984376666666664
17:30:26,300.11,298.34,74.0,0.0017992166666666667,0.001,1.7992166666666667,0.0017992166666666667,0.001,1.7992166666666667
17:30:30,300.11,298.23,72.0,0.0017956053333333336,0.001,1.7956053333333335,0.0017956053333333336,0.001,1.7956053333333335
17:30:33,300.11,298.12,72.0,0.0017978356666666665,0.001,1.7978356666666666,0.0017978356666666665,0.001,1.7978356666666666
17:30:36,300.11,298.01,70.0,0.0017983193333333334,0.001,1.7983193333333334,0.0017983193333333334,0.001,1.7983193333333334
17:30:39,300.11,297.9,68.0,0.0017975846666666668,0.001,1.7975846666666668,0.0017975846666666668,0.001,1.7975846666666668
17:30:43,300.11,297.8,67.0,0.0017970433333333333,0.001,1.7970433333333333,0.0017970433333333333,0.001,1.7970433333333333
17:30:46,300.11,297.69,66.0,0.001799207166666667,0.001,1.799207166666667,0.001799207166666667,0.001,1.799207166666667
17:30:49,300.11,297.58,64.0,0.001795845333333333,0.001,1.795845333333333,0.001795845333333333,0.001,1.795845333333333
17:30:52,300.22,297.47,62.0,0.0017970030000000001,0.001,1.7970030000000001,0.0017970030000000001,0.001,1.7970030000000001
17:30:56,300.22,297.36,60.0,0.0017963311666666665,0.001,1.7963311666666666,0.0017963311666666665,0.001,1.7963311666666666
17:30:59,300.22,297.26,59.0,0.0017948708333333334,0.001,1.7948708333333334,0.0017948708333333334,0.001,1.7948708333333334
17:31:02,300.22,297.15,57.0,0.0017966505,0.001,1.7966505,0.0017966505,0.001,1.7966505
17:31:05,300.11,297.04,55.0,0.0017957493333333335,0.001,1.7957493333333334,0.0017957493333333335,0.001,1.7957493333333334
17:31:09,300.11,296.93,53.0,0.0017966004999999997,0.001,1.7966004999999996,0.0017966004999999997,0.001,1.7966004999999996
17:31:12,300.11,296.82,51.0,0.0017985206666666662,0.001,1.7985206666666662,0.0017985206666666662,0.001,1.7985206666666662
17:31:15,300.11,296.71,50.0,0.0018006194999999998,0.001,1.8006194999999998,0.0018006194999999998,0.001,1.8006194999999998
17:31:18,300.11,296.6,48.0,0.0018009499999999997,0.001,1.8009499999999996,0.0018009499999999997,0.001,1.8009499999999996
17:31:22,299.99,296.5,47.0,0.0018042715,0.001,1.8042715,0.0018042715,0.001,1.8042715
17:31:25,299.99,296.39,45.0,0.0018033076666666666,0.001,1.8033076666666665,0.0018033076666666666,0.001,1.8033076666666665
17:31:28,299.88,296.28,43.0,0.0018037063333333333,0.001,1.8037063333333334,0.0018037063333333333,0.001,1.8037063333333334
17:31:31,299.88,296.17,42.0,0.0018045853333333332,0.001,1.8045853333333333,0.0018045853333333332,0.001,1.8045853333333333
17:31:35,299.76,296.06,41.0,0.001808032,0.001,1.8080319999999999,0.001808032,0.001,1.8080319999999999
17:31:38,299.76,295.95,39.0,0.0018066603333333332,0.001,1.806660333333333,0.0018066603333333332,0.001,1.806660333333333
17:31:41,299.64,295.85,38.0,0.0018074745000000003,0.001,1.8074745000000003,0.0018074745000000003,0.001,1.8074745000000003
17:31:44,299.64,295.74,36.0,0.001807827166666667,0.001,1.807827166666667,0.001807827166666667,0.001,1.807827166666667
17:31:48,299.53,295.63,35.0,0.0018061378333333333,0.001,1.8061378333333333,0.0018061378333333333,0.001,1.8061378333333333
17:31:51,299.39,295.52,33.0,0.0018082683333333334,0.001,1.8082683333333334,0.0018082683333333334,0.001,1.8082683333333334
17:31:54,299.39,295.41,31.0,0.001809782,0.001,1.809782,0.001809782,0.001,1.809782
17:31:57,299.28,295.31,31.0,0.0018117779999999998,0.001,1.8117779999999997,0.0018117779999999998,0.001,1.8117779999999997
17:32:00,299.16,295.2,29.0,0.0018130905000000002,0.001,1.8130905000000002,0.0018130905000000002,0.001,1.8130905000000002
17:32:04,299.05,295.09,28.0,0.0018164281666666667,0.001,1.8164281666666666,0.0018164281666666667,0.001,1.8164281666666666
17:32:07,298.93,295.0,27.0,0.0018178166666666664,0.001,1.8178166666666664,0.0018178166666666664,0.001,1.8178166666666664
17:32:10,298.81,295.0,26.0,0.0018178648333333335,0.001,1.8178648333333336,0.0018178648333333335,0.001,1.8178648333333336
17:32:13,298.7,295.0,25.0,0.0018178868333333334,0.001,1.8178868333333333,0.0018178868333333334,0.001,1.8178868333333333
17:32:17,298.58,295.0,24.0,0.0018210438333333334,0.001,1.8210438333333334,0.0018210438333333334,0.001,1.8210438333333334
17:32:20,298.35,295.0,24.0,0.0018208648333333333,0.001,1.8208648333333333,0.0018208648333333333,0.001,1.8208648333333333
17:32:23,298.24,295.0,24.0,0.0018230708333333335,0.001,1.8230708333333334,0.0018230708333333335,0.001,1.8230708333333334
17:32:26,298.1,295.0,23.0,0.0018236043333333333,0.001,1.8236043333333334,0.0018236043333333333,0.001,1.8236043333333334
17:32:29,297.99,295.0,23.0,0.001824605,0.001,1.824605,0.001824605,0.001,1.824605
17:32:33,297.76,295.0,23.0,0.0018257181666666668,0.001,1.8257181666666669,0.0018257181666666668,0.001,1.8257181666666669
17:32:36,297.64,295.0,23.0,0.0018258936666666666,0.001,1.8258936666666665,0.0018258936666666666,0.001,1.8258936666666665
17:32:39,297.53,295.0,23.0,0.0018270843333333335,0.001,1.8270843333333335,0.0018270843333333335,0.001,1.8270843333333335
17:32:42,297.3,295.0,23.0,0.0018297466666666667,0.001,1.8297466666666666,0.0018297466666666667,0.001,1.8297466666666666
17:32:46,297.18,295.0,23.0,0.0018304886666666669,0.001,1.8304886666666669,0.0018304886666666669,0.001,1.8304886666666669
17:32:49,297.07,295.0,23.0,0.0018313914999999999,0.001,1.8313914999999998,0.0018313914999999999,0.001,1.8313914999999998
17:32:52,296.84,295.0,24.0,0.0018335866666666664,0.001,1.8335866666666665,0.0018335866666666664,0.001,1.8335866666666665
17:32:55,296.72,295.0,24.0,0.0018406221666666667,0.001,1.8406221666666667,0.0018406221666666667,0.001,1.8406221666666667
17:32:58,296.48,295.0,25.0,0.0018433396666666666,0.001,1.8433396666666666,0.0018433396666666666,0.001,1.8433396666666666
17:33:02,296.36,295.0,25.0,0.0018469971666666668,0.001,1.8469971666666667,0.0018469971666666668,0.001,1.8469971666666667
17:33:05,296.13,295.0,26.0,0.0018463603333333334,0.001,1.8463603333333334,0.0018463603333333334,0.001,1.8463603333333334
17:33:08,296.02,295.0,26.0,0.0018478131666666666,0.001,1.8478131666666666,0.0018478131666666666,0.001,1.8478131666666666
17:33:11,295.79,295.0,27.0,0.0018486606666666668,0.001,1.8486606666666667,0.0018486606666666668,0.001,1.8486606666666667
17:33:15,295.56,295.0,28.0,0.0018502428333333333,0.001,1.8502428333333332,0.0018502428333333333,0.001,1.8502428333333332
17:33:18,295.45,295.0,29.0,0.001852482,0.001,1.852482,0.001852482,0.001,1.852482
17:33:21,295.34,295.0,30.0,0.0018549006666666668,0.001,1.8549006666666668,0.0018549006666666668,0.001,1.8549006666666668
17:33:24,295.11,295.0,31.0,0.0018560693333333335,0.001,1.8560693333333333,0.0018560693333333335,0.001,1.8560693333333333
17:33:27,294.99,295.0,33.0,0.0018571935,0.001,1.8571935,0.0018571935,0.001,1.8571935
17:33:30,294.86,295.0,34.0,0.0018582125,0.001,1.8582125,0.0018582125,0.001,1.8582125
17:33:33,294.64,295.0,36.0,0.0018570384999999998,0.001,1.8570384999999998,0.0018570384999999998,0.001,1.8570384999999998
17:33:36,294.41,295.0,37.0,0.001856781666666667,0.001,1.856781666666667,0.001856781666666667,0.001,1.856781666666667
17:33:40,294.18,295.0,39.0,0.00185776,0.001,1.8577599999999999,0.00185776,0.001,1.8577599999999999
17:33:43,294.07,294.27,41.0,0.0018578600000000002,0.001,1.8578600000000003,0.0018578600000000002,0.001,1.8578600000000003
17:33:46,293.96,294.16,39.0,0.0018587551666666667,0.001,1.8587551666666666,0.0018587551666666667,0.001,1.8587551666666666
17:33:49,293.84,294.05,41.0,0.001862491833333333,0.001,1.8624918333333331,0.001862491833333333,0.001,1.8624918333333331
17:33:53,293.73,293.94,42.0,0.0018647518333333333,0.001,1.8647518333333333,0.0018647518333333333,0.001,1.8647518333333333
17:33:56,293.5,293.84,43.0,0.0018669633333333333,0.001,1.8669633333333333,0.0018669633333333333,0.001,1.8669633333333333
17:33:59,293.39,293.73,44.0,0.0018695129999999997,0.001,1.8695129999999998,0.0018695129999999997,0.001,1.8695129999999998
17:34:02,293.17,293.62,46.0,0.0018714625,0.001,1.8714624999999998,0.0018714625,0.001,1.8714624999999998
17:34:06,293.05,293.52,47.0,0.0018755333333333336,0.001,1.8755333333333335,0.0018755333333333336,0.001,1.8755333333333335
17:34:09,292.94,293.41,49.0,0.0018778686666666667,0.001,1.8778686666666666,0.0018778686666666667,0.001,1.8778686666666666
17:34:12,292.83,293.3,50.0,0.0018796908333333334,0.001,1.8796908333333333,0.0018796908333333334,0.001,1.8796908333333333
17:34:15,292.7,293.19,51.0,0.0018814393333333335,0.001,1.8814393333333335,0.0018814393333333335,0.001,1.8814393333333335
17:34:18,292.47,293.09,53.0,0.001883477333333333,0.001,1.883477333333333,0.001883477333333333,0.001,1.883477333333333
17:34:22,292.36,292.98,54.0,0.001884875,0.001,1.884875,0.001884875,0.001,1.884875
17:34:25,292.25,292.87,56.0,0.0018856761666666668,0.001,1.8856761666666668,0.0018856761666666668,0.001,1.8856761666666668
17:34:28,292.14,292.76,57.0,0.0018864828333333332,0.001,1.8864828333333332,0.0018864828333333332,0.001,1.8864828333333332
17:34:31,292.02,292.66,58.0,0.0018883456666666668,0.001,1.8883456666666667,0.0018883456666666668,0.001,1.8883456666666667
17:34:35,291.91,292.55,60.0,0.0018895401666666667,0.001,1.8895401666666667,0.0018895401666666667,0.001,1.8895401666666667
17:34:38,291.8,292.44,61.0,0.0018930663333333335,0.001,1.8930663333333335,0.0018930663333333335,0.001,1.8930663333333335
17:34:41,291.8,292.33,62.0,0.0018927801666666667,0.001,1.8927801666666666,0.0018927801666666667,0.001,1.8927801666666666
17:34:44,291.69,292.22,64.0,0.0018933413333333331,0.001,1.893341333333333,0.0018933413333333331,0.001,1.893341333333333
17:34:47,291.58,292.12,65.0,0.0018946503333333333,0.001,1.8946503333333333,0.0018946503333333333,0.001,1.8946503333333333
17:34:51,291.46,292.01,66.0,0.0018965705,0.001,1.8965705,0.0018965705,0.001,1.8965705
17:34:54,291.35,291.9,68.0,0.0018970023333333332,0.001,1.8970023333333332,0.0018970023333333332,0.001,1.8970023333333332
17:34:57,291.35,291.79,68.0,0.0018987083333333332,0.001,1.8987083333333332,0.0018987083333333332,0.001,1.8987083333333332
