Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
19 29 53,301.53,301.29,0.0,0.0029105640000000005,0.001,2.9105640000000004,0.0029105640000000005,0.001,2.9105640000000004
Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
19 32 01,301.53,301.4,0.0,0.002857125,0.001,2.857125,0.002857125,0.001,2.857125
19 32 10,301.53,301.4,0.0,0.0028574518333333333,0.001,2.857451833333333,0.0028574518333333333,0.001,2.857451833333333
19 32 18,301.53,301.4,0.0,0.0028581956666666668,0.001,2.8581956666666666,0.0028581956666666668,0.001,2.8581956666666666
19 32 26,301.53,301.4,0.0,0.002858562833333333,0.001,2.858562833333333,0.002858562833333333,0.001,2.858562833333333
19 32 33,301.53,301.4,0.0,0.002857025166666666,0.001,2.857025166666666,0.002857025166666666,0.001,2.857025166666666
19 32 42,301.53,301.53,0.0,0.0032153919999999996,0.00025000000000000006,12.861567999999995,0.0032153919999999996,0.00025000000000000006,12.861567999999995
19 32 50,301.53,301.33,0.0,0.0012860193333333334,0.0001,12.860193333333333,0.0012860193333333334,0.0001,12.860193333333333
19 32 59,301.53,301.13,0.0,0.0012859438333333332,0.0001,12.859438333333332,0.0012859438333333332,0.0001,12.859438333333332
19 33 08,301.53,300.93,0.0,0.001285568833333333,0.0001,12.85568833333333,0.001285568833333333,0.0001,12.85568833333333
19 33 16,301.53,300.73,0.0,0.001285244,0.0001,12.85244,0.001285244,0.0001,12.85244
19 33 25,301.53,300.53,0.0,0.001285115,0.0001,12.85115,0.001285115,0.0001,12.85115
19 33 34,301.53,300.33,0.0,0.0012849875,0.0001,12.849874999999999,0.0012849875,0.0001,12.849874999999999
19 33 42,301.53,300.13,0.0,0.0012849433333333334,0.0001,12.849433333333334,0.0012849433333333334,0.0001,12.849433333333334
19 33 51,301.53,299.93,0.0,0.0012849411666666667,0.0001,12.849411666666667,0.0012849411666666667,0.0001,12.849411666666667
19 33 59,301.53,299.73,0.0,0.0012849025,0.0001,12.849025,0.0012849025,0.0001,12.849025
19 34 08,301.53,299.53,0.0,0.0012848508333333333,0.0001,12.848508333333331,0.0012848508333333333,0.0001,12.848508333333331
19 34 17,301.53,299.33,0.0,0.0012847881666666668,0.0001,12.847881666666668,0.0012847881666666668,0.0001,12.847881666666668
19 34 25,301.53,299.13,0.0,0.0012878231666666668,0.0001,12.878231666666668,0.0012878231666666668,0.0001,12.878231666666668
19 34 34,301.53,298.93,0.0,0.0028435481666666674,2.5e-05,113.74192666666669,0.0028435481666666674,2.5e-05,113.74192666666669
19 34 43,301.53,298.73,0.0,0.0011363121666666668,1e-05,113.63121666666667,0.0011363121666666668,1e-05,113.63121666666667
19 34 51,301.53,298.53,0.0,0.0011361791666666665,1e-05,113.61791666666664,0.0011361791666666665,1e-05,113.61791666666664
19 35 01,301.53,298.33,0.0,0.0011361255,1e-05,113.61254999999998,0.0011361255,1e-05,113.61254999999998
19 35 10,301.53,298.13,0.0,0.0011360868333333332,1e-05,113.60868333333332,0.0011360868333333332,1e-05,113.60868333333332
19 35 19,301.53,297.93,0.0,0.0011360740000000002,1e-05,113.60740000000001,0.0011360740000000002,1e-05,113.60740000000001
19 35 28,301.53,297.73,0.0,0.0011360518333333334,1e-05,113.60518333333333,0.0011360518333333334,1e-05,113.60518333333333
19 35 37,301.53,297.53,0.0,0.0010441663333333334,5.5e-05,18.984842424242423,0.0010441663333333334,5.5e-05,18.984842424242423
19 35 46,301.53,297.33,0.0,0.0012818748333333332,0.0001,12.818748333333332,0.0012818748333333332,0.0001,12.818748333333332
19 35 54,301.53,297.13,0.0,0.0012813468333333334,0.0001,12.813468333333333,0.0012813468333333334,0.0001,12.813468333333333
19 36 03,301.53,296.93,0.0,0.0012808575,0.0001,12.808575,0.0012808575,0.0001,12.808575
