Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
20 04 25,292.29,294.172,0.0,0.046140069150000004,5.500000000000001e-06,8389.103481818182,0.008388572850000001,1e-06,8388.572850000002
20 04 34,293.784,294.372,21.0,0.00838848695,1e-06,8388.48695,0.008388624899999999,1e-06,8388.624899999999
20 04 43,294.984,294.572,0.0,0.008388603000000001,1e-06,8388.603000000001,0.0083886704,1e-06,8388.670399999999
20 04 52,303.697,294.772,0.0,0.008388490200000001,1e-06,8388.490200000002,0.00838857115,1e-06,8388.57115
20 05 02,289.217,295.0,67.0,0.008388558599999998,1e-06,8388.558599999998,0.00838843165,1e-06,8388.43165
20 05 11,293.154,295.0,27.9,0.00838837475,1e-06,8388.37475,0.00838839445,1e-06,8388.39445
20 05 19,293.762,295.0,0.0,0.00838844425,1e-06,8388.44425,0.00838958025,1e-06,8389.58025
20 05 26,294.036,295.0,0.0,0.008388461199999999,1e-06,8388.4612,0.00838827135,1e-06,8388.27135
20 05 34,289.911,293.414,88.7,0.008388459550000001,1e-06,8388.459550000001,0.00838863255,1e-06,8388.63255
20 05 44,292.707,293.214,4.3,0.008388481449999999,1e-06,8388.48145,0.008388578300000001,1e-06,8388.578300000001
20 05 53,292.74,293.014,0.0,0.008388695049999999,1e-06,8388.695049999998,0.0083886074,1e-06,8388.607399999999
20 06 02,290.428,292.814,100.0,0.008388816,1e-06,8388.816,0.008388881099999999,1e-06,8388.881099999999
20 06 12,301.93,292.614,0.0,0.0083886808,1e-06,8388.6808,0.0083886868,1e-06,8388.6868
20 06 21,296.672,292.414,0.0,0.00838869345,1e-06,8388.69345,0.008388796850000001,1e-06,8388.796850000002
20 06 30,294.706,292.214,0.0,0.008388781500000001,1e-06,8388.781500000001,0.00838878475,1e-06,8388.78475
20 06 40,300.365,292.014,0.0,0.00838879025,1e-06,8388.79025,0.00838883625,1e-06,8388.83625
20 06 49,295.981,291.814,38.3,0.0083888718,1e-06,8388.871799999999,0.0083889407,1e-06,8388.940700000001
20 06 59,282.061,291.614,100.0,0.008388975199999999,1e-06,8388.975199999999,0.008388817100000001,1e-06,8388.817100000002
20 07 08,291.206,291.414,100.0,0.00838896205,1e-06,8388.96205,0.008388985049999999,1e-06,8388.98505
20 07 17,294.975,291.214,0.0,0.008388901349999998,1e-06,8388.901349999998,0.008388882149999999,1e-06,8388.88215
20 07 27,310.356,291.014,0.0,0.008389182549999999,1e-06,8389.18255,0.008389127350000001,1e-06,8389.12735
20 07 36,291.758,290.814,14.6,0.00838864135,1e-06,8388.64135,0.0083885237,1e-06,8388.523700000002
20 07 45,303.285,290.614,0.0,0.00838867745,1e-06,8388.67745,0.00838899655,1e-06,8388.99655
20 07 55,292.968,290.414,0.0,0.008388895899999999,1e-06,8388.8959,0.00838887175,1e-06,8388.87175
20 08 04,282.374,290.214,0.0,0.00838890075,1e-06,8388.90075,0.008388957150000001,1e-06,8388.957150000002
20 08 14,287.78,290.014,0.0,0.008389008600000001,1e-06,8389.008600000001,0.008389008,1e-06,8389.008
20 08 23,294.487,289.814,100.0,0.0083888543,1e-06,8388.8543,0.008388891499999999,1e-06,8388.8915
20 08 32,293.006,289.614,0.0,0.0083888422,1e-06,8388.842200000001,0.0083888034,1e-06,8388.8034
20 08 42,301.104,289.414,0.0,0.00838884935,1e-06,8388.84935,0.0083887399,1e-06,8388.7399
20 08 51,292.627,289.214,0.0,0.0083888986,1e-06,8388.8986,0.008388927599999998,1e-06,8388.927599999999
20 09 00,286.709,289.014,0.0,0.0083886989,1e-06,8388.6989,0.0083886978,1e-06,8388.697800000002
20 09 10,289.25,288.814,0.0,0.00838863695,1e-06,8388.63695,0.008388649599999999,1e-06,8388.649599999999
20 09 19,279.043,288.614,0.0,0.0083888313,1e-06,8388.8313,0.0083888225,1e-06,8388.8225
20 09 29,292.272,288.414,0.0,0.0083887979,1e-06,8388.7979,0.0083888116,1e-06,8388.8116
20 09 38,298.549,288.214,0.0,0.00838882855,1e-06,8388.82855,0.00838891555,1e-06,8388.915550000002
20 09 47,289.656,288.014,0.0,0.00838889695,1e-06,8388.89695,0.00838866165,1e-06,8388.66165
20 09 57,296.923,287.814,0.0,0.0083886896,1e-06,8388.689600000002,0.008388645699999999,1e-06,8388.6457
20 10 06,291.622,287.614,7.4,0.00838873115,1e-06,8388.731150000001,0.0083888001,1e-06,8388.8001
20 10 16,297.97,287.414,0.0,0.0083887175,1e-06,8388.7175,0.0083887383,1e-06,8388.7383
20 10 25,299.306,287.214,0.0,0.0083889358,1e-06,8388.935800000001,0.008388782599999998,1e-06,8388.782599999999
20 10 34,292.486,287.014,83.2,0.00838882695,1e-06,8388.82695,0.0083885319,1e-06,8388.5319
20 10 43,287.468,286.814,0.0,0.00838904305,1e-06,8389.04305,0.0083889079,1e-06,8388.9079
20 10 53,290.706,286.614,0.0,0.00838887675,1e-06,8388.87675,0.00838883785,1e-06,8388.837850000002
