Tiempo,T(K),Setpoint(K),Heater,V muestra 1 (V),I muestra 1 (A),R muestra 1 (Ohm),V muestra 2 (V),I muestra 2 (A),R muestra 2 (Ohm)
12 50 31,302.49,302.49,0.0,1.6499999999999998e+37,0.00019000000000000004,8.684210526315787e+40,1.6499999999999998e+37,0.00019000000000000004,8.684210526315787e+40
12 50 35,302.49,302.49,2.0,0.0010950399666666665,1e-05,109.50399666666665,0.0010950399666666665,1e-05,109.50399666666665
12 50 40,302.49,302.66,4.0,0.0010950345,1e-05,109.50344999999999,0.0010950345,1e-05,109.50344999999999
12 50 45,302.49,302.66,5.0,0.0010950417833333335,1e-05,109.50417833333334,0.0010950417833333335,1e-05,109.50417833333334
12 50 50,302.49,302.82,7.0,0.0010950365000000001,1e-05,109.50365000000001,0.0010950365000000001,1e-05,109.50365000000001
12 50 54,302.49,302.82,11.0,0.0010950423333333334,1e-05,109.50423333333333,0.0010950423333333334,1e-05,109.50423333333333
12 50 59,302.37,302.99,15.0,0.0010950377833333332,1e-05,109.50377833333332,0.0010950377833333332,1e-05,109.50377833333332
12 51 04,302.37,302.99,20.0,0.0010950438,1e-05,109.50438,0.0010950438,1e-05,109.50438
12 51 09,302.37,303.0,24.0,0.0010950423333333334,1e-05,109.50423333333333,0.0010950423333333334,1e-05,109.50423333333333
12 51 13,302.37,303.0,28.0,0.0010950481833333335,1e-05,109.50481833333333,0.0010950481833333335,1e-05,109.50481833333333
12 51 18,302.37,303.0,35.0,0.0010950434166666666,1e-05,109.50434166666666,0.0010950434166666666,1e-05,109.50434166666666
12 51 23,302.37,303.0,43.0,0.0010950418166666667,1e-05,109.50418166666667,0.0010950418166666667,1e-05,109.50418166666667
12 51 27,302.37,303.0,44.0,0.0010950452666666666,1e-05,109.50452666666665,0.0010950452666666666,1e-05,109.50452666666665
12 51 32,302.37,303.0,47.0,0.0010950423500000002,1e-05,109.50423500000001,0.0010950423500000002,1e-05,109.50423500000001
12 51 37,302.49,303.0,54.0,0.0010950386833333333,1e-05,109.50386833333332,0.0010950386833333333,1e-05,109.50386833333332
12 51 41,302.6,303.0,52.0,0.0010950293833333334,1e-05,109.50293833333333,0.0010950293833333334,1e-05,109.50293833333333
12 51 46,302.72,303.0,57.0,0.0010950323333333333,1e-05,109.50323333333331,0.0010950323333333333,1e-05,109.50323333333331
12 51 51,302.84,303.0,53.0,0.0010950529166666666,1e-05,109.50529166666665,0.0010950529166666666,1e-05,109.50529166666665
12 51 54,302.98,303.0,53.0,0.001190379,1e-05,119.0379,0.001190379,1e-05,119.0379
12 51 58,302.98,303.0,51.0,0.0011903837666666667,1e-05,119.03837666666666,0.0011903837666666667,1e-05,119.03837666666666
