T,L1,R2,C2,R3
280,5.352528718639137,12.507672755769748,2.4221213707061124e-09,-10.492046916559381
260,5.766067598526895,12.780843211054382,2.5428474081071428e-09,-10.608457698167019
240,5.314672258822869,13.38900302328833,2.5637019705527697e-09,-11.063437083075943
220,5.0964574695431475,13.550193626896306,2.8718536965638695e-09,-11.048503253214369
200,4.590629070187262,14.514252268795483,4.198372023193427e-09,-11.485765799107364
180,4.2209194382868755,15.777280801424869,4.874976057624324e-09,-12.540777975928481
160,4.54013669716936,17.37074339083242,5.944083035507059e-09,-13.953412524011135
140,6.32842190753416,22.970930635977147,5.70318848329683e-09,-19.41320840894643
120,6.161194244213387,26.668165871360785,7.938811050662454e-09,-23.034053135038956
100,6.558907238301881,33.41303533565088,1.0857216670886037e-08,-29.789279732770822
85,8.265107855709532,42.24334014529896,1.2639453938318527e-08,-38.76254858802864
