td,ad,rd,ta,aa,ra
295,2.760e-03±7.088e-04,25.215±0.702,100,2.71e-04±8.061e-05,902.709±102.396
270,3.357e-03±2.992e-04,38.582±1.089,120,4.189e-04±3.546e-05,649.387±36.636
250,-6.971e-05±8.691e-04,37.556±1.911,140,6.839e-04±9.102e-05,484.219±33.07
230,2.563e-03±1.58e-04,50.898±0.999,160,6.719e-04±2.017e-05,314.698±4.881
210,5.648e-04±1.027e-03,60.948±5.957,180,1.023e-03±1.114e-04,249.984±10.838
190,1.362e-03±2.414e-04,84.918±4.255,200,1.279e-03±3.799e-05,98.554±0.906
170,1.606e-03±4.192e-04,142.474±13.261,220,1.62e-03±9.788e-05,52.958±0.428
150,1.000e-03±2.133e-04,228.158±27.126,240,1.464e-03±1.235e-04,38.03±0.297
130,8.836e-04±7.544e-04,356.487±148.829,260,2.653e-03±2.163e-04,32.422±0.297
110,4.829e-04±2.623e-05,512.767±16.91,280,1.99e-03±3.269e-04,26.186±0.269
90,3.257e-04±8.26e-05,791.278±81.034,,,
80,2.581e-04±2.937e-05,932.52±62.429,,,
