[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1717122231.719000 5/30/2024, 11:23:51 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, SIO1
INFO, WEIGHT, 0.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MdeH_5T_RSO fast1.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1717122231.719,,0.000000e+000,5.000148e+001,9.284583e-006,5.860017e-009,1.020836e-001,2.196051e-003,3,9.654535e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,0.000000e+000,0,,0,
1717122251.119,,2.512431e+002,4.999976e+001,2.980595e-005,1.789619e-005,-4.574417e-004,6.469202e-004,3,4.237090e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122271.269,,5.024570e+002,5.000090e+001,9.233087e-005,2.349203e-007,1.296925e-002,1.062667e-003,3,9.823664e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122291.194,,7.534372e+002,5.000033e+001,1.325657e-004,9.454641e-007,2.355364e-003,5.911414e-003,3,9.623525e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122317.594,,1.004710e+003,5.000033e+001,1.670703e-004,6.341578e-008,5.675780e-004,3.527191e-003,3,9.701940e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122338.304,,1.255661e+003,5.000148e+001,1.994082e-004,8.376172e-007,-3.641716e-003,1.883493e-003,3,9.777781e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,0.000000e+000,0,,0,
1717122358.954,,1.506757e+003,5.000091e+001,2.437794e-004,1.042949e-006,-9.477228e-003,3.518987e-003,3,9.836852e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,6.931305e-003,0,,0,
1717122378.604,,1.757577e+003,4.999976e+001,3.260206e-004,1.257326e-006,-1.548448e-002,2.867099e-003,3,9.576511e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122405.024,,2.008879e+003,4.999976e+001,4.230653e-004,3.509548e-006,-1.034655e-002,2.884598e-003,3,9.743681e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122425.924,,2.259669e+003,4.999976e+001,4.320149e-004,1.407906e-005,-9.849447e-003,5.919564e-004,3,9.568581e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122445.574,,2.510970e+003,4.999918e+001,4.069552e-004,2.483108e-005,-4.752101e-003,1.025729e-002,3,9.235640e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,0.000000e+000,0,,0,
1717122465.524,,2.762271e+003,4.999976e+001,4.104870e-004,2.705630e-006,-3.585225e-002,1.835220e-002,3,9.325689e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122485.234,,3.013062e+003,5.000033e+001,4.071841e-004,2.568112e-005,-2.767371e-002,3.987836e-003,3,9.554784e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122505.184,,3.264218e+003,5.000090e+001,3.999909e-004,1.932205e-005,-3.805711e-002,1.304237e-002,3,9.679210e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122530.534,,3.515373e+003,4.999976e+001,3.750802e-004,1.773481e-006,-3.356929e-002,6.872579e-003,3,9.659690e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122551.184,,3.766456e+003,5.000090e+001,3.597720e-004,5.215261e-006,-4.272385e-002,1.097326e-002,3,9.133040e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122571.584,,4.017538e+003,5.000033e+001,3.493994e-004,1.841868e-008,-4.997301e-002,1.172839e-002,3,9.518178e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122596.359,,4.268693e+003,4.999976e+001,3.362561e-004,4.812108e-007,-4.898728e-002,3.947287e-003,3,9.690521e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122616.649,,4.519483e+003,4.999976e+001,3.189780e-004,1.216414e-006,-5.216828e-002,5.699518e-004,3,9.531652e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122637.104,,4.770639e+003,4.999976e+001,3.102411e-004,5.518397e-007,-6.459873e-002,5.025361e-003,3,9.586051e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122657.754,,5.021795e+003,5.000090e+001,2.804467e-004,1.072162e-005,-8.178899e-002,1.327959e-002,3,8.390549e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122732.459,,5.524397e+003,5.000033e+001,2.681475e-004,3.935524e-006,-9.064269e-002,2.563561e-003,3,9.329738e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122753.609,,6.026708e+003,5.000033e+001,2.469332e-004,7.705496e-006,-1.160882e-001,1.108820e-003,3,9.287412e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122775.509,,6.529020e+003,5.000090e+001,2.161738e-004,2.355037e-006,-1.261472e-001,1.985011e-004,3,9.022899e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122843.409,,7.033522e+003,5.000148e+001,2.218439e-004,4.031305e-005,-1.923328e-001,3.390396e-002,3,7.981546e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,0.000000e+000,0,,0,
1717122864.849,,7.535687e+003,5.000090e+001,1.649368e-004,3.600139e-006,-2.094615e-001,7.345680e-003,3,8.555781e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122886.749,,8.037706e+003,5.000034e+001,1.469417e-004,1.319147e-008,-2.642946e-001,6.182226e-003,3,8.433363e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,4.611969e-003,0,,0,
1717122920.579,,8.540455e+003,4.999976e+001,1.259648e-004,2.829663e-006,-3.256755e-001,1.946622e-002,3,7.845000e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122942.479,,9.042182e+003,4.999860e+001,6.959584e-005,4.714531e-005,-7.181394e-001,3.996705e-001,3,3.506035e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.319336e-003,0,,0,
1717122963.879,,9.546537e+003,5.000033e+001,8.939886e-005,2.132984e-006,-6.172405e-001,3.548904e-002,3,5.759950e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717122984.029,,1.004768e+004,4.999976e+001,1.686732e-005,2.106131e-006,0.000000e+000,0.000000e+000,3,0.000000e+000,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717123065.974,,1.205166e+004,4.999918e+001,-1.585625e-004,2.387430e-007,5.701995e-001,3.185543e-003,3,9.551430e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,0.000000e+000,0,,0,
1717123094.919,,1.405915e+004,5.000090e+001,-2.531862e-004,9.672372e-008,3.731836e-001,1.091393e-003,3,9.259809e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717123130.819,,1.606869e+004,5.000033e+001,-3.588622e-004,1.641216e-007,2.892869e-001,2.556628e-004,3,9.264375e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717123159.469,,1.807764e+004,4.999918e+001,-4.724519e-004,3.822439e-007,2.487402e-001,7.767348e-004,3,9.277176e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,0.000000e+000,0,,0,
1717123187.119,,2.008367e+004,4.999976e+001,-5.828342e-004,1.825444e-006,2.186132e-001,1.522681e-003,3,9.300840e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717123215.269,,2.209408e+004,4.999918e+001,-6.977217e-004,1.300461e-006,2.008660e-001,9.133117e-004,3,9.323851e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,0.000000e+000,0,,0,
1717123243.919,,2.410158e+004,4.999860e+001,-8.113688e-004,7.091289e-007,1.893192e-001,1.096766e-004,3,9.363770e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,4.619598e-003,0,,0,
1717123272.069,,2.610979e+004,5.000090e+001,-9.241486e-004,5.290993e-007,1.803755e-001,1.843955e-006,3,9.404535e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717123309.949,,2.812240e+004,4.999918e+001,-9.348852e-004,1.095640e-004,1.441277e-001,4.186328e-002,3,7.877103e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,4.619598e-003,0,,0,
1717123337.599,,3.012770e+004,5.000033e+001,-1.157325e-003,1.923114e-006,1.670709e-001,1.963516e-004,3,9.404111e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717123365.499,,3.213738e+004,5.000033e+001,-1.272359e-003,4.811491e-007,1.618762e-001,3.155113e-004,3,9.416369e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717123392.899,,3.414560e+004,4.999918e+001,-1.389419e-003,4.161589e-006,1.576008e-001,1.118577e-003,3,9.420395e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,4.619598e-003,0,,0,
1717123420.579,,3.615528e+004,5.000033e+001,-1.505506e-003,1.410520e-006,1.546789e-001,1.289788e-003,3,9.443492e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717123448.494,,3.816350e+004,4.999975e+001,-1.619786e-003,1.495802e-006,1.523437e-001,6.754041e-006,3,9.440820e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,4.619598e-003,0,,0,
1717123476.644,,4.017246e+004,5.000033e+001,-1.738737e-003,8.102155e-006,1.516484e-001,2.602041e-003,3,9.433143e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717123504.544,,4.218067e+004,4.999918e+001,-1.850775e-003,2.212792e-006,1.480839e-001,1.457649e-004,3,9.449791e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,0.000000e+000,0,,0,
1717123531.694,,4.419109e+004,4.999860e+001,-1.969025e-003,2.337833e-006,1.460335e-001,6.314336e-004,3,9.448727e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.319336e-003,0,,0,
1717123560.029,,4.620151e+004,4.999918e+001,-2.082280e-003,8.011194e-007,1.433150e-001,3.339190e-004,3,9.454635e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,4.619598e-003,0,,0,
1717123588.579,,4.821045e+004,5.000033e+001,-2.207301e-003,1.284606e-005,1.353482e-001,1.181275e-002,3,9.365049e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717123625.429,,5.021794e+004,4.999976e+001,-2.460023e-003,2.070518e-004,1.892155e-001,6.683286e-002,3,8.221452e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
1717123703.329,,4.919667e+004,5.000033e+001,-2.258038e-003,1.563714e-006,1.428053e-001,1.569549e-004,3,9.462364e-001,1.799000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,1,2,2.300262e-003,0,,0,
