Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS
1717111006,,1.00E+03,2.89E+02,-4.43E-05,1.48E-08,-1.01E-02,8.02E-05,3,9.81E-01,1.80E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.00E+00,4,2,1.27E-01,0,,0
1717111025,,1.00E+03,2.89E+02,-4.43E-05,1.53E-09,-1.02E-02,2.29E-04,3,9.81E-01,1.80E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.00E+00,4,2,6.25E-01,0,,0
1717111043,,1.00E+03,2.88E+02,-4.43E-05,1.72E-08,-9.87E-03,8.86E-05,3,9.81E-01,1.80E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.00E+00,4,2,7.16E-01,0,,0
1717111062,,1.00E+03,2.87E+02,-4.43E-05,1.66E-08,-1.01E-02,1.82E-04,3,9.82E-01,1.80E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.00E+00,4,2,7.58E-01,0,,0
1717111081,,1.00E+03,2.86E+02,-4.43E-05,2.87E-08,-1.00E-02,1.50E-04,3,9.81E-01,1.80E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.00E+00,4,2,6.99E-01,0,,0
1717111098,,1.00E+03,2.86E+02,-4.43E-05,1.19E-08,-1.03E-02,4.33E-05,3,9.81E-01,1.80E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.00E+00,4,2,6.49E-01,0,,0
1717111116,,1.00E+03,2.85E+02,-4.43E-05,1.61E-08,-1.04E-02,1.65E-04,3,9.82E-01,1.80E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.00E+00,4,2,5.30E-01,0,,0
1717111136,,1.00E+03,2.84E+02,-4.43E-05,3.97E-09,-1.08E-02,1.83E-04,3,9.82E-01,1.80E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.00E+00,4,2,5.12E-01,0,,0
1717111153,,1.00E+03,2.84E+02,-4.43E-05,2.18E-08,-1.08E-02,4.89E-06,3,9.81E-01,1.80E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.00E+00,4,2,4.57E-01,0,,0
1717111171,,1.00E+03,2.83E+02,-4.43E-05,1.74E-08,-1.08E-02,1.13E-04,3,9.81E-01,1.80E+00,,,,,,,,,,,,,,,,,,0,4.00E+00,1.00E+00,4,2,4.55E-01,0,,0
